"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:02:10 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"10:02:37 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:02:48 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:03:11 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:03:12 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:03:39 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:03:46 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:04:16 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:04:32 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:04:47 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:05:07 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:05:36 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:05:53 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:06:16 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:06:26 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:06:51 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:19 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:34 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:56 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:08:04 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:08:25 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:08:40 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:09:04 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:09:24 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:10:00 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:10:01 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"10:10:38 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
