"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:40:49 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:41:18 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:41:28 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:41:47 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:42:11 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:42:40 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:42:51 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:43:18 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:43:30 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:43:52 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:44:09 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:44:30 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:44:49 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:45:11 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:45:37 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:45:51 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:46:16 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:46:28 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:46:48 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:47:08 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:47:33 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:47:49 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:48:08 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:48:34 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:48:48 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:49:20 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:49:28 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:49:55 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:50:10 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:50:36 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:50:49 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:51:18 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:51:29 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:51:50 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:52:11 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:52:27 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:52:47 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:53:09 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:53:30 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:53:49 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:54:16 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:54:35 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:54:48 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:55:27 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:55:30 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:55:48 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:56:20 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:56:37 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:56:50 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:57:09 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:57:29 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:57:56 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:58:11 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:58:37 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:58:49 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:59:17 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:59:27 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:59:57 PM","NA","NA","NA","NA",NA,NA,NA,"NCAA"
