"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"12:00:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:00:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:00:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:01:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:01:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:01:48 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:02:08 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:02:28 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:02:48 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:03:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:03:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:03:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:04:24 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:04:28 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:04:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"12:05:10 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:05:42 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:05:49 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:06:15 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:06:29 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:06:54 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:07:08 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:07:35 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:07:50 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:08:17 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:08:28 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:08:59 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:09:11 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:09:35 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:09:48 AM","Pre-game","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:10:19 AM","1st 20:00","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:10:28 AM","1st 20:00","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:10:55 AM","1st 20:00","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:11:08 AM","1st 20:00","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:11:36 AM","1st 20:00","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:11:50 AM","1st 20:00","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:12:16 AM","1st 19:42","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:12:29 AM","1st 19:42","First Half","0",NA,"2.26","1.59","3","NCAA"
"12:12:56 AM","1st 19:19","First Half","0",NA,"2.11","1.67","2.5","NCAA"
"12:13:16 AM","1st 18:56","First Half","0",NA,"2.11","1.67","2.5","NCAA"
