"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:30:51 AM","2nd 13:31",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:12 AM","2nd 13:31",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:31 AM","2nd 13:31",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:52 AM","2nd 13:31",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:11 AM","2nd 13:31",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:32 AM","2nd 13:31",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:51 AM","2nd 12:13",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:11 AM","2nd 12:13",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:33 AM","2nd 12:13",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:52 AM","2nd 12:13",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:13 AM","2nd 12:13",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:30 AM","2nd 12:13",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:55 AM","2nd 11:44",NA,NA,NA,NA,NA,NA,"NCAA"
"09:35:13 AM","2nd 11:44",NA,NA,NA,NA,NA,NA,"NCAA"
"10:06:50 AM","2nd 2:13",NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:09 AM","2nd 2:13",NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:30 AM","2nd 1:39",NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:49 AM","2nd 1:29",NA,NA,NA,NA,NA,NA,"NCAA"
"10:08:09 AM","2nd 1:29","First Half","3","140.5","3.45","1.28","7.5","NCAA"
"10:08:29 AM","2nd 1:29","First Half","3","140.5","3.45","1.28","7.5","NCAA"
"10:08:51 AM","2nd 1:29","First Half","3","138.5","3.45","1.28","8","NCAA"
"10:09:09 AM","2nd 1:29","First Half","3","138.5","3.45","1.28","8","NCAA"
"10:09:28 AM","2nd 1:29","First Half","3","138.5","3.69","1.25","9","NCAA"
"10:09:48 AM","2nd 1:29","First Half","3","138.5","3.69","1.25","9","NCAA"
"10:10:09 AM","2nd 1:24","First Half","3","139.5","4.05","1.22","9.5","NCAA"
"10:10:30 AM","2nd 1:24","First Half","5","139.5","4.05","1.22","9.5","NCAA"
"10:10:48 AM","2nd 1:24","First Half","5","136.5","4.2","1.2","9.5","NCAA"
"10:11:11 AM","2nd 1:24","First Half","5","136.5","4.2","1.2","9.5","NCAA"
"10:11:30 AM","2nd 0:57","First Half","5","137.5","4.25","1.2","9","NCAA"
"10:11:50 AM","2nd 0:57","First Half","5","137.5","4.25","1.2","9","NCAA"
"10:12:10 AM","2nd 0:57","First Half","5","141.5","3.45","1.28","7.5","NCAA"
"10:12:28 AM","2nd 0:57","First Half","5","141.5","3.45","1.28","7.5","NCAA"
"10:12:49 AM","1st 17:28","First Half","5","141.5","3.45","1.28","8","NCAA"
"10:13:10 AM","1st 17:28","First Half","8","141.5","3.45","1.28","8","NCAA"
"10:13:33 AM","1st 17:22","First Half","8","141.5","4.25","1.2","8","NCAA"
"10:13:50 AM","1st 17:22","First Half","8","141.5","4.25","1.2","8","NCAA"
"10:14:09 AM","2nd 0:42","First Half","9","136.5","4","1.22","7","NCAA"
"10:14:31 AM","2nd 0:42","First Half","9","136.5","4","1.22","7","NCAA"
"10:14:50 AM","2nd 0:42","First Half","9","139.5","3.45","1.28","7.5","NCAA"
"10:15:11 AM","2nd 0:40","First Half","9","139.5","3.45","1.28","7.5","NCAA"
"10:15:32 AM","2nd 0:40","First Half","9","138.5","3.45","1.28","7.5","NCAA"
"10:15:48 AM","2nd 0:28","First Half","9","138.5","3.45","1.28","7.5","NCAA"
