"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:11:04 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"07:11:24 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"07:11:41 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"07:11:59 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"07:12:29 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"07:12:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:26:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
