"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:10:28 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:10:45 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:11:12 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:11:26 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:11:51 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:12:09 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:12:26 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:12:46 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:13:09 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:13:25 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:13:46 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:14:08 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:14:26 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:14:50 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:15:10 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:15:27 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:15:46 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:16:07 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:16:26 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:16:46 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:17:08 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:17:25 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:17:49 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:18:09 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:18:27 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:18:46 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:19:10 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:19:26 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:19:45 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:20:07 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:20:27 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:20:46 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:21:06 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:21:27 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:21:45 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:22:06 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:22:27 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:22:46 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:23:06 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:23:25 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
"09:23:46 AM","Kings",NA,NA,NA,NA,NA,NA,"NBA"
