"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:55 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:11:12 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:11:33 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:11:51 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:12:17 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:12:30 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:12:50 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:13:11 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:13:34 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:13:50 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:14:12 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:14:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:51 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:16:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:30 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"08:16:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
