"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:41:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:12 AM","11:42 1st",NA,NA,"212.5","2.6","1.46","5","NBA"
"08:12:31 AM","11:01 1st",NA,NA,"212.5","2.6","1.46","5","NBA"
"08:12:51 AM","10:49 1st",NA,NA,"212.5","2.6","1.46","5","NBA"
"08:13:10 AM","10:49 1st",NA,NA,"212.5","2.85","1.4","5","NBA"
"08:13:38 AM","10:25 1st","Q1","3","215.5","3","1.36","6","NBA"
"08:13:51 AM","10:08 1st","Q1","3","215.5","3","1.36","6","NBA"
"08:14:14 AM","10:08 1st","Q1","8","216.5","3.3","1.3","7","NBA"
"08:14:32 AM","10:03 1st","Q1","8","216.5","3.3","1.3","7","NBA"
"08:14:51 AM","10:03 1st","Q1","8","213.5","3.3","1.3","7","NBA"
"08:15:12 AM","10:03 1st","Q1","9","213.5","3.3","1.3","7","NBA"
"08:15:33 AM","9:54 1st","Q1","9","213.5","3","1.36","6","NBA"
"08:15:51 AM","9:54 1st","Q1","11","213.5","3","1.36","6","NBA"
"08:16:13 AM","9:37 1st","Q1","13","213.5","2.75","1.42","5","NBA"
"08:16:32 AM","9:04 1st","Q1","13","213.5","2.75","1.42","5","NBA"
"08:16:57 AM","8:41 1st","Q1","13","209.5","2.75","1.42","5","NBA"
"08:17:11 AM","8:41 1st","Q1","15","209.5","2.75","1.42","5","NBA"
"08:17:31 AM","8:21 1st","Q1","15","210.5","2.6","1.46","4","NBA"
"08:17:53 AM","8:21 1st","Q1","17","210.5","2.6","1.46","4","NBA"
"08:18:11 AM","8:01 1st","Q1","19","210.5","2.5","1.5","4","NBA"
"08:18:31 AM","8:01 1st","Q1","19","210.5","2.5","1.5","4","NBA"
"08:18:54 AM","7:03 1st","Q1","22","209.5","2.75","1.42","5","NBA"
"08:19:10 AM","6:37 1st","Q1","22","209.5","2.75","1.42","5","NBA"
"08:19:31 AM","6:37 1st","Q1","22","206.5","2.7","1.44","5","NBA"
"08:19:51 AM","6:25 1st","Q1","22","206.5","2.7","1.44","5","NBA"
"08:20:10 AM","6:25 1st","Q1","22","206.5","2.7","1.44","5","NBA"
"08:20:30 AM","6:25 1st","Q1","22","206.5","2.7","1.44","5","NBA"
"08:20:51 AM","6:25 1st","Q1","22","206.5","2.7","1.44","5","NBA"
"08:21:11 AM","6:25 1st","Q1","22","206.5","2.7","1.44","5","NBA"
"08:21:29 AM","6:25 1st","Q1","22","206.5","2.7","1.44","5","NBA"
"08:21:50 AM","6:25 1st","Q1","22","206.5","2.7","1.44","5","NBA"
"08:22:12 AM","6:11 1st","Q1","24","210.5","2.6","1.46","4","NBA"
"08:22:31 AM","5:46 1st","Q1","24","210.5","2.6","1.46","4","NBA"
"08:22:52 AM","5:46 1st","Q1","24","207.5","2.6","1.48","4","NBA"
"08:23:10 AM","5:37 1st","Q1","24","207.5","2.6","1.48","4","NBA"
"08:23:32 AM","5:37 1st","Q1","24","206.5","2.35","1.56","3","NBA"
"08:23:50 AM","5:37 1st","Q1","26","206.5","2.35","1.56","3","NBA"
"08:24:12 AM","5:22 1st","Q1","26","206.5","2.35","1.56","3","NBA"
"08:24:30 AM","5:03 1st","Q1","26","206.5","2.35","1.56","3","NBA"
"08:24:51 AM","5:03 1st","Q1","26","206.5","2.35","1.56","3","NBA"
"08:25:11 AM","4:36 1st","Q1","26","206.5","2.35","1.56","3","NBA"
"08:25:32 AM","4:18 1st","Q1","26","204.5","2.35","1.56","3","NBA"
"08:25:51 AM","4:18 1st","Q1","26","204.5","2.35","1.56","3","NBA"
"08:26:12 AM","4:18 1st","Q1","26","204.5","2.35","1.56","3","NBA"
"08:26:30 AM","4:06 1st","Q1","26","204.5","2.35","1.56","3","NBA"
"08:26:52 AM","4:06 1st","Q1","26","204.5","2.35","1.56","3","NBA"
"08:27:15 AM","3:32 1st","Q1","28","204.5","2.35","1.56","3","NBA"
"08:27:34 AM","3:20 1st","Q1","28","205.5","2.15","1.66","2","NBA"
"08:27:51 AM","3:20 1st","Q1","28","204.5","2.15","1.66","2","NBA"
"08:28:13 AM","3:20 1st","Q1","28","204.5","2.15","1.66","2","NBA"
"08:28:32 AM","3:20 1st","Q1","28","201.5","2.15","1.66","2","NBA"
"08:28:52 AM","3:20 1st","Q1","28","201.5","2.15","1.66","2","NBA"
"08:29:10 AM","3:20 1st","Q1","28","201.5","2.15","1.66","2","NBA"
"08:29:32 AM","3:20 1st","Q1","28","201.5","2.15","1.66","2","NBA"
"08:29:55 AM","3:11 1st","Q1","28","201.5","2.25","1.62","3","NBA"
"08:30:12 AM","3:11 1st","Q1","30","201.5","2.25","1.62","3","NBA"
"08:30:32 AM","2:58 1st","Q1","30","200.5","2.25","1.62","3","NBA"
"08:30:52 AM","2:58 1st","Q1","30","200.5","2.25","1.62","3","NBA"
"08:31:13 AM","2:58 1st","Q1","30","200.5","2.25","1.62","3","NBA"
"08:31:30 AM","2:58 1st","Q1","30","200.5","2.25","1.62","3","NBA"
"08:31:51 AM","2:58 1st","Q1","30","199.5","2.25","1.62","3","NBA"
"08:32:14 AM","2:58 1st","Q1","30","199.5","2.25","1.62","3","NBA"
"08:32:32 AM","2:31 1st","Q1","30","201.5","2.5","1.5","4","NBA"
"08:32:52 AM","2:11 1st","Q1","33","201.5","2.5","1.5","4","NBA"
"08:33:14 AM","2:11 1st","Q1","37","203.5","2.7","1.44","4","NBA"
"08:33:32 AM","1:31 1st","Q1","37","203.5","2.7","1.44","4","NBA"
"08:33:53 AM","1:31 1st","Q1","41","204.5","2.15","1.66","2","NBA"
"08:34:13 AM","1:09 1st","Q1","41","204.5","2.15","1.66","2","NBA"
"08:34:32 AM",":50.0 1st","Q1","45","205.5","2.15","1.66","2","NBA"
"08:34:50 AM",":50.0 1st","Q1","45","205.5","2.15","1.66","2","NBA"
"08:35:12 AM",":05.8 1st","Q1","45","205.5","2.15","1.66","2","NBA"
"08:35:30 AM","End 1st","Q1","45","205.5","2.15","1.66","2","NBA"
"08:35:53 AM","End 1st","Q1","45","205.5","2.15","1.66","2","NBA"
"08:36:09 AM","End 1st","Q1","45","205.5","2.15","1.66","2","NBA"
"08:36:30 AM","End 1st","Q1","45","205.5","2.15","1.66","2","NBA"
"08:36:54 AM","End 1st","Q1","45","205.5","2.15","1.66","2","NBA"
"08:37:11 AM","End 1st","Q1","45","205.5","2.15","1.66","2","NBA"
