"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:40:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
