"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"01:27:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:27:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:27:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:28:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:28:27 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:28:46 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:29:06 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:29:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:29:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:30:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:30:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:30:48 AM","Mar 9-11:30 AM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:32:06 AM","1st 20:00","First Half","0","159.5","1.69","2.09","1.5","NCAA"
"01:32:35 AM","1st 20:00","First Half","0","159.5","1.69","2.09","1.5","NCAA"
"01:32:54 AM","1st 20:00","First Half","0","159.5","1.69","2.09","1.5","NCAA"
"01:33:09 AM","1st 20:00","First Half","0","159.5","1.69","2.09","1.5","NCAA"
"01:33:32 AM","1st 20:00","First Half","0","159.5","1.69","2.09","1.5","NCAA"
"01:33:47 AM","1st 20:00","First Half","0","159.5","1.69","2.09","1.5","NCAA"
"01:34:07 AM","1st 20:00","First Half","0","161.5","1.78","1.96","1.5","NCAA"
"01:34:37 AM","1st 20:00","First Half","2","160.5","1.61","2.21","2.5","NCAA"
"01:34:48 AM","1st 20:00","First Half","2","160.5","1.61","2.21","2.5","NCAA"
"01:35:15 AM","1st 20:00","First Half","4","162.5","1.83","1.9","1.5","NCAA"
"01:35:39 AM","1st 20:00","First Half","6","162.5","1.83","1.9","1.5","NCAA"
"01:35:50 AM","1st 20:00","First Half","6","162.5","1.76","1.98","1.5","NCAA"
"01:36:14 AM","1st 20:00","First Half","8","162.5","1.76","1.98","1.5","NCAA"
"01:36:37 AM","1st 20:00","First Half","8","160.5","1.69","2.08","1.5","NCAA"
"01:36:56 AM","1st 20:00","First Half","8","160.5","1.69","2.08","1.5","NCAA"
"01:37:21 AM","1st 17:49","First Half","10","161.5","1.52","2.42","3.5","NCAA"
"01:37:35 AM","1st 17:49","First Half","10","161.5","1.52","2.42","3.5","NCAA"
"01:37:57 AM","1st 17:49","First Half","12","160.5","1.54","2.36","3.5","NCAA"
"01:38:13 AM","1st 17:49","First Half","12","160.5","1.54","2.36","3.5","NCAA"
"01:38:32 AM","1st 17:49","First Half","12","160.5","1.46","2.58","4.5","NCAA"
"01:38:53 AM","1st 17:49","First Half","12","160.5","1.46","2.58","4.5","NCAA"
