"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:22:40 AM","1st 12:54","First Half","18","128.5","2.52","1.48","4.5","NCAA"
"10:22:54 AM","1st 12:11","First Half","20","128.5","2.52","1.48","4.5","NCAA"
"10:23:05 AM","1st 12:11","First Half","20","127.5","2.58","1.46","4.5","NCAA"
"10:23:09 AM","1st 11:13","First Half","20","127.5","2.58","1.46","4.5","NCAA"
"10:23:15 AM","1st 11:13","First Half","20","127.5","2.58","1.46","4.5","NCAA"
"10:23:39 AM","1st 11:13","First Half","20","127.5","2.58","1.46","4.5","NCAA"
"10:23:55 AM","1st 11:13","First Half","20","127.5","2.58","1.46","4.5","NCAA"
"10:24:19 AM","1st 11:13","First Half","20","127.5","2.58","1.46","4.5","NCAA"
"10:24:35 AM","1st 11:13","First Half","20","127.5","2.58","1.46","4.5","NCAA"
"10:24:59 AM","1st 11:13","First Half","20","127.5","2.58","1.46","4.5","NCAA"
"10:25:18 AM","1st 11:13","First Half","20","127.5","2.58","1.46","4.5","NCAA"
"10:25:45 AM","1st 11:13","First Half","20","126.5","2.58","1.46","4.5","NCAA"
"10:25:46 AM","1st 11:13","First Half","20","126.5","2.58","1.46","4.5","NCAA"
"10:25:58 AM","1st 11:13","First Half","20","126.5","2.58","1.46","4.5","NCAA"
"10:26:18 AM","1st 11:13","First Half","20","124.5","2.59","1.46","4.5","NCAA"
"10:26:38 AM","1st 11:13","First Half","20","124.5","2.59","1.46","4.5","NCAA"
"10:27:03 AM","1st 11:13","First Half","20","122.5","2.8","1.4","5.5","NCAA"
"10:27:05 AM","1st 11:13","First Half","20","122.5","2.8","1.4","5.5","NCAA"
"10:27:20 AM","1st 11:13","First Half","20","122.5","2.8","1.4","5.5","NCAA"
"10:27:39 AM","1st 11:13","First Half","20","122.5","2.8","1.4","5.5","NCAA"
"10:28:02 AM","1st 10:05","First Half","22","122.5","2.8","1.4","5.5","NCAA"
"10:28:19 AM","1st 10:05","First Half","22","124.5","3.27","1.31","6.5","NCAA"
"10:28:38 AM","1st 9:40","First Half","24","124.5","3.27","1.31","6.5","NCAA"
"10:28:56 AM","1st 9:40","First Half","24","122.5","3.13","1.33","6.5","NCAA"
"10:29:14 AM","1st 9:40","First Half","22","122.5","3.13","1.33","6.5","NCAA"
"10:29:34 AM","1st 9:40","First Half","22","121.5","3.24","1.31","5.5","NCAA"
"10:29:55 AM","1st 8:51","First Half","22","121.5","3.24","1.31","5.5","NCAA"
"10:30:14 AM","1st 8:51","First Half","24","120.5","3.2","1.33","6.5","NCAA"
