"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:07:49 AM","1st 20:00",NA,NA,"159","2.33","1.56","3.5","NCAA"
"11:08:10 AM","1st 20:00",NA,NA,"159","2.33","1.56","3.5","NCAA"
"11:08:31 AM","1st 20:00","First Half","4","161.5","2.13","1.66","0.5","NCAA"
"11:08:49 AM","1st 20:00","First Half","4","161.5","2.13","1.66","0.5","NCAA"
"11:09:09 AM","1st 19:03","First Half","4","164","2.05","1.71","0.5","NCAA"
"11:09:31 AM","1st 19:03","First Half","4","164","2.05","1.71","0.5","NCAA"
"11:09:52 AM","1st 18:41","First Half","4","165","1.8","1.93","1.5","NCAA"
"11:10:11 AM","1st 18:04","First Half","10","165","1.8","1.93","1.5","NCAA"
"11:10:32 AM","1st 18:04","First Half","10","163.5","1.94","1.8","0.5","NCAA"
"11:10:52 AM","1st 17:30","First Half","10","163.5","1.94","1.8","0.5","NCAA"
"11:11:11 AM","1st 17:30","First Half","10","169.5","1.99","1.75","0.5","NCAA"
"11:11:30 AM","1st 17:30","First Half","15","169.5","1.99","1.75","0.5","NCAA"
"11:11:52 AM","1st 17:01","First Half","15","170.5","2.04","1.72","0.5","NCAA"
"11:12:10 AM","1st 17:01","First Half","15","170.5","2.04","1.72","0.5","NCAA"
"11:12:29 AM","1st 16:31","First Half","15","166.5","2.02","1.73","0.5","NCAA"
"11:12:53 AM","1st 16:31","First Half","18","166.5","2.02","1.73","0.5","NCAA"
"11:13:10 AM","1st 16:30","First Half","18","166.5","1.81","1.92","0.5","NCAA"
"11:13:29 AM","1st 15:38","First Half","18","166.5","1.81","1.92","0.5","NCAA"
"11:13:50 AM","1st 15:38","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:14:15 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:14:30 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:14:51 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:15:11 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:15:31 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:15:52 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:16:14 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:16:30 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:16:51 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:17:11 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:17:32 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:17:49 AM","1st 15:10","First Half","20","167.5","1.87","1.86","0.5","NCAA"
"11:18:12 AM","1st 15:10","First Half","20","166.5","1.87","1.86","0.5","NCAA"
"11:18:29 AM","1st 15:10","First Half","20","166.5","1.87","1.86","0.5","NCAA"
"11:18:51 AM","1st 15:07","First Half","20","161.5","1.74","2.01","1.5","NCAA"
"11:19:10 AM","1st 14:21","First Half","21","161.5","1.74","2.01","1.5","NCAA"
"11:19:30 AM","1st 14:21","First Half","21","167.5","1.76","1.99","1.5","NCAA"
"11:19:50 AM","1st 14:21","First Half","21","167.5","1.76","1.99","1.5","NCAA"
"11:20:10 AM","1st 14:21","First Half","21","168.5","1.63","2.19","2.5","NCAA"
"11:20:33 AM","1st 13:57","First Half","28","168.5","1.63","2.19","2.5","NCAA"
"11:20:55 AM","1st 13:26","First Half","28","171.5","1.49","2.49","3.5","NCAA"
"11:21:12 AM","1st 13:26","First Half","28","171.5","1.49","2.49","3.5","NCAA"
"11:21:34 AM","1st 12:35","First Half","32","168.5","1.65","2.16","2.5","NCAA"
