"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:10:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:12 AM",NA,NA,NA,"223.5","6","1.11","11","NBA"
"09:11:32 AM","12:00 1st",NA,NA,"223.5","6","1.11","11","NBA"
"09:11:51 AM","11:34 1st",NA,NA,"223.5","6","1.11","12","NBA"
"09:12:14 AM","11:34 1st","Q1","1","223.5","6","1.11","12","NBA"
"09:12:31 AM","11:19 1st","Q1","1","221.5","6.25","1.1","12","NBA"
"09:12:52 AM","11:19 1st","Q1","1","221.5","6.25","1.1","12","NBA"
"09:13:14 AM","10:43 1st","Q1","2","221.5","6.25","1.1","12","NBA"
"09:13:33 AM","10:10 1st","Q1","4","221.5","6.25","1.1","12","NBA"
"09:13:50 AM","9:50 1st","Q1","4","218.5","6.25","1.1","12","NBA"
"09:14:11 AM","9:50 1st","Q1","4","218.5","6.25","1.1","12","NBA"
"09:14:30 AM","9:21 1st","Q1","10","222.5","6.25","1.1","12","NBA"
"09:14:53 AM","9:21 1st","Q1","10","222.5","6.25","1.1","12","NBA"
"09:15:13 AM","9:21 1st","Q1","10","223.5","6","1.11","12","NBA"
"09:15:30 AM","9:21 1st","Q1","11","223.5","6","1.11","12","NBA"
"09:15:51 AM","9:21 1st","Q1","11","223.5","6.25","1.1","12","NBA"
"09:16:14 AM","9:21 1st","Q1","13","223.5","6.25","1.1","12","NBA"
"09:16:34 AM","8:10 1st","Q1","15","223.5","5.2","1.14","10","NBA"
"09:16:52 AM","8:10 1st","Q1","15","223.5","5.2","1.14","10","NBA"
"09:17:15 AM","8:10 1st","Q1","18","223.5","4.3","1.19","8","NBA"
"09:17:32 AM","7:51 1st","Q1","20","223.5","4.3","1.19","8","NBA"
"09:17:53 AM","7:13 1st","Q1","20","225.5","4.2","1.2","8","NBA"
"09:18:14 AM","7:13 1st","Q1","23","225.5","4.2","1.2","8","NBA"
"09:18:31 AM","7:13 1st","Q1","23","224.5","4","1.22","8","NBA"
"09:18:51 AM","6:19 1st","Q1","27","224.5","4","1.22","8","NBA"
"09:19:12 AM","6:19 1st","Q1","29","226.5","4","1.22","7","NBA"
"09:19:31 AM","6:04 1st","Q1","30","226.5","3.3","1.3","7","NBA"
"09:19:51 AM","5:53 1st","Q1","30","226.5","3.3","1.3","7","NBA"
"09:20:19 AM","5:53 1st","Q1","30","226.5","4","1.22","8","NBA"
"09:20:30 AM","5:53 1st","Q1","30","226.5","4","1.22","8","NBA"
"09:20:51 AM","5:53 1st","Q1","30","226.5","4","1.22","8","NBA"
"09:21:16 AM","5:53 1st","Q1","30","226.5","4","1.22","8","NBA"
"09:21:35 AM","5:53 1st","Q1","30","226.5","4","1.22","8","NBA"
"09:21:53 AM","5:53 1st","Q1","30","226.5","4","1.22","8","NBA"
"09:22:13 AM","5:53 1st","Q1","30","226.5","4","1.22","8","NBA"
"09:22:31 AM","5:53 1st","Q1","30","226.5","4","1.22","8","NBA"
"09:22:55 AM","5:53 1st","Q1","31","226.5","4.1","1.2","8","NBA"
"09:23:11 AM","5:42 1st","Q1","31","226.5","4.1","1.2","8","NBA"
"09:23:35 AM","5:42 1st","Q1","33","228.5","4.8","1.16","9","NBA"
"09:23:51 AM","5:20 1st","Q1","36","228.5","4.8","1.16","9","NBA"
"09:24:09 AM","5:20 1st","Q1","36","228.5","5.7","1.12","10","NBA"
"09:24:31 AM","4:54 1st","Q1","39","228.5","5.7","1.12","10","NBA"
"09:24:50 AM","4:27 1st","Q1","41","229.5","6.5","1.09","12","NBA"
"09:25:11 AM","4:27 1st","Q1","41","229.5","6.5","1.09","12","NBA"
"09:25:32 AM","4:27 1st","Q1","41","229.5","6.5","1.09","12","NBA"
"09:25:53 AM","4:27 1st","Q1","41","229.5","6.5","1.09","12","NBA"
"09:26:12 AM","4:27 1st","Q1","41","229.5","6.5","1.09","12","NBA"
"09:26:34 AM","4:27 1st","Q1","41","229.5","6.5","1.09","12","NBA"
"09:26:57 AM","4:27 1st","Q1","41","229.5","6.5","1.09","12","NBA"
"09:27:12 AM","4:27 1st","Q1","41","229.5","6.5","1.09","12","NBA"
"09:27:33 AM","4:27 1st","Q1","41","229.5","6","1.11","11","NBA"
"09:27:51 AM","4:11 1st","Q1","43","229.5","6","1.11","11","NBA"
"09:28:19 AM","3:55 1st","Q1","50","232.5","6.75","1.09","12","NBA"
"09:28:34 AM","3:22 1st","Q1","50","232.5","6.75","1.09","12","NBA"
"09:28:51 AM","3:22 1st","Q1","52","231.5","6.25","1.1","11","NBA"
"09:29:10 AM","2:51 1st","Q1","52","231.5","6.25","1.1","11","NBA"
"09:29:35 AM","2:28 1st","Q1","52","233.5","6","1.11","10","NBA"
"09:29:53 AM","2:28 1st","Q1","56","233.5","6","1.11","10","NBA"
"09:30:12 AM","2:07 1st","Q1","59","236.5","7","1.08","12","NBA"
"09:30:32 AM","2:07 1st","Q1","59","236.5","7","1.08","12","NBA"
"09:30:58 AM","1:43 1st","Q1","59","237.5","9","1.05","13","NBA"
"09:31:11 AM","1:05 1st","Q1","61","237.5","9","1.05","13","NBA"
"09:31:33 AM","1:05 1st","Q1","61","237.5","9.5","1.04","14","NBA"
"09:31:50 AM",":34.9 1st","Q1","63","237.5","9.5","1.04","14","NBA"
"09:32:10 AM",":34.9 1st","Q1","63","236.5","9","1.05","14","NBA"
"09:32:34 AM",":06.1 1st","Q1","63","232.5","9","1.05","14","NBA"
"09:32:53 AM",":00.9 1st","Q1","63","232.5","9","1.05","14","NBA"
"09:33:11 AM","End 1st","Q1","63","230.5","9.5","1.04","15","NBA"
"09:33:30 AM","End 1st","Q1","63","230.5","9.5","1.04","15","NBA"
"09:33:51 AM","End 1st","Q1","63","230.5","9.5","1.04","15","NBA"
"09:34:17 AM","End 1st","Q1","63","230.5","9.5","1.04","15","NBA"
"09:34:33 AM","End 1st","Q1","63","230.5","9.5","1.04","15","NBA"
"09:34:49 AM","End 1st","Q1","63","230.5","9.5","1.04","15","NBA"
"09:35:15 AM","12:00 2nd","Q1","63","230.5","9.5","1.04","15","NBA"
"09:35:38 AM","12:00 2nd","Q1","63","229.5","9","1.05","14","NBA"
"09:35:51 AM","11:49 2nd","Q1","63","229.5","9","1.05","14","NBA"
"09:36:15 AM","11:49 2nd","Q1","63","229.5","9.5","1.04","15","NBA"
"09:36:36 AM","11:24 2nd","Q2","65","229.5","9.5","1.04","15","NBA"
"09:36:51 AM","10:59 2nd","Q2","65","228.5","10","1.03","16","NBA"
"09:37:14 AM","10:59 2nd","Q2","69","228.5","10","1.03","16","NBA"
"09:37:36 AM","10:47 2nd","Q2","69","227.5","12","1.02","18","NBA"
"09:37:51 AM","10:09 2nd","Q2","69","227.5","12","1.02","18","NBA"
"09:38:16 AM","10:09 2nd","Q2","69","227.5","12","1.02","18","NBA"
"09:38:53 AM","9:59 2nd","Q2","69","227.5","12","1.02","18","NBA"
"09:39:16 AM","9:49 2nd","Q2","71","228.5","12","1.02","17","NBA"
"09:39:31 AM","9:49 2nd","Q2","74","231.5","13","1.01","18","NBA"
"09:39:54 AM","9:49 2nd","Q2","76","231.5","13","1.01","18","NBA"
"09:40:12 AM","9:12 2nd","Q2","76","231.5","14","1.01","20","NBA"
"09:40:33 AM","8:36 2nd","Q2","76","231.5","14","1.01","20","NBA"
"09:40:54 AM","8:36 2nd","Q2","76","230.5","14","1.01","20","NBA"
"09:41:15 AM","8:36 2nd","Q2","76","230.5","14","1.01","20","NBA"
"09:41:31 AM","8:36 2nd","Q2","76","229.5","13","1.01","19","NBA"
"09:41:54 AM","8:36 2nd","Q2","76","229.5","13","1.01","19","NBA"
"09:42:13 AM","8:36 2nd","Q2","76","229.5","13","1.01","19","NBA"
"09:42:35 AM","8:36 2nd","Q2","76","229.5","13","1.01","19","NBA"
"09:42:57 AM","8:36 2nd","Q2","76","229.5","13","1.01","19","NBA"
"09:43:12 AM","8:36 2nd","Q2","76","229.5","13","1.01","19","NBA"
"09:43:35 AM","8:36 2nd","Q2","76","228.5","13","1.01","19","NBA"
"09:43:50 AM","8:16 2nd","Q2","76","228.5","13","1.01","19","NBA"
"09:44:14 AM","8:16 2nd","Q2","76","227.5","14","1.01","19","NBA"
"09:44:31 AM","8:16 2nd","Q2","77","227.5","14","1.01","19","NBA"
"09:44:50 AM","7:59 2nd","Q2","77","227.5","14","1.01","19","NBA"
"09:45:12 AM","7:59 2nd","Q2","77","227.5","14","1.01","19","NBA"
"09:45:35 AM","7:49 2nd","Q2","80","228.5","16","1.01","22","NBA"
"09:45:51 AM","7:39 2nd","Q2","80","228.5","16","1.01","22","NBA"
"09:46:16 AM","7:39 2nd","Q2","80","228.5","16","1.01","22","NBA"
"09:46:31 AM","7:39 2nd","Q2","80","228.5","16","1.01","22","NBA"
"09:46:50 AM","7:39 2nd","Q2","80","228.5","16","1.01","22","NBA"
"09:47:17 AM","7:39 2nd","Q2","80","228.5","16","1.01","22","NBA"
"09:47:30 AM","7:39 2nd","Q2","80","228.5","16","1.01","22","NBA"
"09:47:49 AM","7:39 2nd","Q2","80","228.5","16","1.01","22","NBA"
"09:48:11 AM","7:39 2nd","Q2","80","228.5","16","1.01","22","NBA"
"09:48:30 AM","7:39 2nd","Q2","80","226.5","20","SUS","22","NBA"
"09:48:51 AM","7:22 2nd","Q2","80","226.5","20","SUS","22","NBA"
"09:49:15 AM","7:22 2nd","Q2","80","226.5","20","SUS","22","NBA"
"09:49:31 AM","7:22 2nd","Q2","84","226.5","20","SUS","22","NBA"
"09:49:50 AM","6:54 2nd","Q2","84","229.5","14","1.01","20","NBA"
"09:50:13 AM","6:54 2nd","Q2","89","229.5","14","1.01","20","NBA"
"09:50:30 AM","6:29 2nd","Q2","89","231.5","16","1.01","21","NBA"
"09:50:51 AM","6:29 2nd","Q2","89","231.5","16","1.01","21","NBA"
"09:51:10 AM","6:29 2nd","Q2","89","232.5","20","SUS","22","NBA"
"09:51:31 AM","6:29 2nd","Q2","89","232.5","20","SUS","22","NBA"
"09:51:50 AM","6:29 2nd","Q2","90","233.5","20","SUS","22","NBA"
"09:52:08 AM","6:13 2nd","Q2","91","233.5","20","SUS","22","NBA"
"09:52:31 AM","6:13 2nd","Q2","92","233.5","20","SUS","22","NBA"
"09:52:47 AM","5:58 2nd","Q2","92","234.5","16","1.01","21","NBA"
"09:53:13 AM","5:54 2nd","Q2","92","234.5","16","1.01","21","NBA"
"09:53:29 AM","5:54 2nd","Q2","92","234.5","16","1.01","21","NBA"
"09:53:51 AM","5:54 2nd","Q2","92","234.5","16","1.01","21","NBA"
"09:54:11 AM","5:54 2nd","Q2","92","234.5","16","1.01","21","NBA"
"09:54:31 AM","5:54 2nd","Q2","94","234.5","20","SUS","22","NBA"
"09:54:51 AM","5:36 2nd","Q2","94","234.5","20","SUS","22","NBA"
"09:55:14 AM","5:36 2nd","Q2","94","233.5","20","SUS","22","NBA"
"09:55:29 AM","5:36 2nd","Q2","94","233.5","20","SUS","22","NBA"
"09:55:48 AM","5:15 2nd","Q2","94","232.5",NA,"","24","NBA"
"09:56:09 AM","4:33 2nd","Q2","97","232.5",NA,"","24","NBA"
"09:56:33 AM","4:33 2nd","Q2","101","233.5","20","SUS","21","NBA"
"09:56:49 AM","4:03 2nd","Q2","101","233.5","20","SUS","21","NBA"
"09:57:14 AM","4:03 2nd","Q2","106","236.5","14","1.01","20","NBA"
"09:57:28 AM","4:03 2nd","Q2","106","236.5","14","1.01","20","NBA"
"09:57:51 AM","3:45 2nd","Q2","111","238.5","20","SUS","20","NBA"
"09:58:08 AM","3:45 2nd","Q2","111","238.5","20","SUS","20","NBA"
"09:58:27 AM","3:14 2nd","Q2","111","238.5","14","1.01","20","NBA"
