"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:41:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
