"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"05:40:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:41:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:41:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:41:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:45:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:45:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:52:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:52:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:52:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:53:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:53:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:53:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:54:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:54:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:54:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:55:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:55:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:55:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:56:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:56:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:56:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:57:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:57:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:57:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:58:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:58:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:58:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:59:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:59:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:59:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:00:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:00:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:00:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:01:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:01:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:01:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:02:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:02:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:02:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:03:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:03:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:03:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:04:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:04:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:04:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:05:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:05:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:05:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:06:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:06:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:06:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:07:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:07:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:07:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:08:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:08:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:08:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:09:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:09:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:09:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:10:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:10:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:11:30 AM","12:00 1st",NA,NA,"217","7","1.08","12","NBA"
"06:11:57 AM","12:00 1st",NA,NA,"217","7","1.08","12","NBA"
"06:12:16 AM","11:14 1st",NA,NA,"217","7","1.08","12","NBA"
"06:12:38 AM","11:14 1st",NA,NA,"217","7","1.08","12","NBA"
"06:12:54 AM","10:22 1st",NA,NA,"217","7","1.08","12","NBA"
"06:13:16 AM","10:22 1st",NA,NA,"217","7","1.08","12","NBA"
"06:13:39 AM","10:05 1st",NA,NA,"217.5","6.75","1.09","12","NBA"
"06:13:54 AM","10:05 1st",NA,NA,"217.5","6.75","1.09","12","NBA"
"06:14:16 AM","10:05 1st","Q1","7","222.5","5.5","1.13","11","NBA"
"06:14:40 AM","10:05 1st","Q1","7","222.5","5.5","1.13","11","NBA"
"06:14:54 AM","10:05 1st","Q1","13","225.5","5.5","1.13","10","NBA"
"06:15:16 AM","10:05 1st","Q1","14","225.5","5.5","1.13","10","NBA"
"06:15:37 AM","10:05 1st","Q1","14","223.5","5.2","1.14","10","NBA"
"06:16:01 AM","8:58 1st","Q1","14","223.5","5.2","1.14","10","NBA"
"06:16:15 AM","8:37 1st","Q1","14","217.5","4.3","1.19","9","NBA"
"06:16:37 AM","8:37 1st","Q1","16","217.5","4.3","1.19","9","NBA"
"06:16:56 AM","8:06 1st","Q1","16","214.5","4.3","1.19","8","NBA"
"06:17:16 AM","8:06 1st","Q1","16","214.5","4.3","1.19","8","NBA"
"06:17:33 AM","7:35 1st","Q1","16","211.5","4.3","1.19","8","NBA"
"06:17:57 AM","7:35 1st","Q1","16","211.5","4.3","1.19","8","NBA"
"06:18:17 AM","7:02 1st","Q1","16","211.5","4.3","1.19","8","NBA"
"06:18:38 AM","7:02 1st","Q1","16","211.5","4.3","1.19","8","NBA"
"06:18:54 AM","7:02 1st","Q1","17","213.5","4.1","1.2","8","NBA"
"06:19:22 AM","7:02 1st","Q1","19","213.5","4.1","1.2","8","NBA"
"06:19:36 AM","6:46 1st","Q1","19","213.5","4.1","1.2","9","NBA"
"06:19:59 AM","6:46 1st","Q1","22","213.5","4.1","1.2","9","NBA"
"06:20:21 AM","6:46 1st","Q1","22","211.5","4.3","1.19","9","NBA"
"06:20:40 AM","6:19 1st","Q1","24","211.5","4.3","1.19","9","NBA"
"06:20:57 AM","6:19 1st","Q1","24","209.5","5","1.15","9","NBA"
"06:21:15 AM","5:34 1st","Q1","24","209.5","5","1.15","9","NBA"
"06:21:34 AM","5:34 1st","Q1","26","214.5","5.7","1.12","10","NBA"
"06:21:55 AM","5:24 1st","Q1","26","214.5","5.7","1.12","10","NBA"
"06:22:12 AM","5:24 1st","Q1","26","213.5","6","1.11","11","NBA"
"06:22:36 AM","5:24 1st","Q1","26","213.5","6","1.11","11","NBA"
"06:22:57 AM","5:24 1st","Q1","26","213.5","6","1.11","11","NBA"
"06:23:15 AM","5:24 1st","Q1","26","213.5","6","1.11","11","NBA"
"06:23:36 AM","5:24 1st","Q1","26","213.5","5.5","1.13","10","NBA"
"06:23:56 AM","5:24 1st","Q1","26","213.5","5.5","1.13","10","NBA"
"06:24:14 AM","5:24 1st","Q1","28","215.5","5.7","1.12","10","NBA"
"06:24:35 AM","4:56 1st","Q1","28","215.5","5.7","1.12","10","NBA"
"06:24:55 AM","4:41 1st","Q1","32","219.5","5.7","1.12","10","NBA"
"06:25:15 AM","4:24 1st","Q1","32","219.5","5.7","1.12","10","NBA"
"06:25:36 AM","4:11 1st","Q1","34","220.5","5.2","1.14","10","NBA"
"06:25:58 AM","4:11 1st","Q1","34","220.5","5.2","1.14","10","NBA"
"06:26:17 AM","4:11 1st","Q1","34","217.5","5.2","1.14","10","NBA"
"06:26:42 AM","4:11 1st","Q1","34","217.5","5.2","1.14","10","NBA"
"06:26:57 AM","4:11 1st","Q1","34","215.5","6","1.11","11","NBA"
"06:27:18 AM","4:11 1st","Q1","34","215.5","6","1.11","11","NBA"
"06:27:33 AM","4:11 1st","Q1","34","215.5","6","1.11","11","NBA"
"06:28:01 AM","4:11 1st","Q1","34","215.5","6","1.11","11","NBA"
"06:28:26 AM","3:44 1st","Q1","38","218.5","4.3","1.18","9","NBA"
"06:28:42 AM","3:28 1st","Q1","38","218.5","4.3","1.18","9","NBA"
"06:28:54 AM","3:15 1st","Q1","40","219.5","4.5","1.18","9","NBA"
"06:29:14 AM","3:15 1st","Q1","40","219.5","4.5","1.18","9","NBA"
"06:29:40 AM","2:44 1st","Q1","40","214.5","4.5","1.18","9","NBA"
"06:29:54 AM","2:44 1st","Q1","40","214.5","4.5","1.18","9","NBA"
"06:30:18 AM","2:15 1st","Q1","40","212.5","4.5","1.18","9","NBA"
"06:30:39 AM","2:15 1st","Q1","40","212.5","4.5","1.18","9","NBA"
"06:30:54 AM","1:52 1st","Q1","40","211.5","4.3","1.19","8","NBA"
"06:31:15 AM","1:52 1st","Q1","44","211.5","4.3","1.19","8","NBA"
"06:31:40 AM","1:50 1st","Q1","44","213.5","4","1.22","7","NBA"
"06:32:03 AM","1:50 1st","Q1","44","213.5","4","1.22","7","NBA"
"06:32:16 AM","1:34 1st","Q1","48","217.5","4.3","1.18","8","NBA"
