"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"05:42:59 AM","1st 15:49",NA,NA,"138.5","1.6","2.24","3.5","NCAA"
"05:43:19 AM",NA,NA,NA,"138.5","1.6","2.24","3.5","NCAA"
"05:43:40 AM","1st 14:28","First Half","0","138.5","1.6","2.24","3.5","NCAA"
"05:44:00 AM","1st 14:28","First Half","0","138.5","1.6","2.24","3.5","NCAA"
"05:44:22 AM","1st 14:28","First Half","0","138.5","1.6","2.24","3.5","NCAA"
"05:44:39 AM","1st 14:28","First Half","0","138.5","1.6","2.24","3.5","NCAA"
"05:44:59 AM","1st 14:28","First Half","0","149.5","1.56","2.32","3.5","NCAA"
"05:45:25 AM","1st 12:46","First Half","0","149.5","1.56","2.32","3.5","NCAA"
"05:45:42 AM","1st 12:46","First Half","0","150.5","1.49","2.5","4.5","NCAA"
"05:46:00 AM","1st 12:46","First Half","0","150.5","1.49","2.5","4.5","NCAA"
"05:46:21 AM","1st 12:46","First Half","0","151.5","1.2","4.25","8","NCAA"
"05:46:41 AM","1st 12:46","First Half","0","151.5","1.2","4.25","8","NCAA"
"05:46:59 AM","1st 12:46","First Half","0","151.5","1.2","4.25","8","NCAA"
"05:47:22 AM","1st 12:46","First Half","34","151.5","1.2","4.25","8","NCAA"
"05:47:40 AM","1st 12:46","First Half","34","151.5","1.2","4.25","8","NCAA"
"05:48:03 AM","1st 12:46","First Half","34","151.5","1.2","4.25","8","NCAA"
"05:48:24 AM","1st 12:46","First Half","34","151.5","1.2","4.25","8","NCAA"
"05:48:40 AM","1st 12:46","First Half","34","151.5","1.2","4.25","8","NCAA"
"05:48:59 AM","1st 11:30","First Half","34","151.5","1.2","4.25","8","NCAA"
"05:49:23 AM","1st 11:30","First Half","34","151.5","1.2","4.25","8","NCAA"
"05:49:41 AM","1st 11:30","First Half","34","151.5","1.2","4.25","8","NCAA"
"05:50:05 AM","1st 11:30","First Half","34","151.5","1.2","4.25","8","NCAA"
"05:50:21 AM","1st 11:30","First Half","34","148.5","1.25","3.7","7.5","NCAA"
"05:50:42 AM","1st 11:30","First Half","34","148.5","1.25","3.7","7.5","NCAA"
"05:50:59 AM","1st 10:40","First Half","34","148.5","1.25","3.7","7.5","NCAA"
"05:51:23 AM","1st 10:40","First Half","35","148.5","1.25","3.7","7.5","NCAA"
"05:51:40 AM","1st 10:40","First Half","35","148.5","1.25","3.7","8","NCAA"
"05:52:00 AM",NA,"First Half","35","148.5","1.25","3.7","8","NCAA"
"05:52:20 AM","1st 10:40","First Half","35","151.5","1.22","4","9","NCAA"
"05:52:42 AM","1st 10:40","First Half","41","151.5","1.22","4","9","NCAA"
"05:52:58 AM","1st 10:40","First Half","41","147","1.2","4.3","9","NCAA"
"05:53:22 AM","1st 9:35","First Half","41","147","1.2","4.3","9","NCAA"
"05:53:42 AM","1st 9:35","First Half","41","144.5","1.17","4.6","9","NCAA"
"05:54:00 AM","1st 9:35","First Half","41","144.5","1.17","4.6","9","NCAA"
"05:54:24 AM","1st 9:35","First Half","43","150","1.17","4.65","9.5","NCAA"
"05:54:41 AM","1st 9:35","First Half","43","150","1.17","4.65","9.5","NCAA"
"05:54:59 AM","1st 8:52","First Half","43","150","1.16","4.8","10","NCAA"
"05:55:21 AM","1st 8:45","First Half","43","150","1.16","4.8","10","NCAA"
"05:55:40 AM","1st 8:35","First Half","45","150","1.22","4","8.5","NCAA"
"05:55:59 AM","1st 8:35","First Half","45","150","1.22","4","8.5","NCAA"
"05:56:25 AM","1st 8:30","First Half","45","147.5","1.2","4.25","9","NCAA"
"05:56:42 AM","1st 8:30","First Half","45","147.5","1.2","4.25","9","NCAA"
"05:57:00 AM","1st 8:13","First Half","45","146.5","1.2","4.25","8","NCAA"
"05:57:21 AM","1st 8:13","First Half","45","146.5","1.2","4.25","8","NCAA"
"05:57:38 AM","1st 8:13","First Half","45","142","1.17","4.65","9","NCAA"
"05:58:00 AM","1st 8:13","First Half","45","142","1.17","4.65","9","NCAA"
"05:58:21 AM","1st 8:13","First Half","45","140","1.17","4.65","8.5","NCAA"
"05:58:38 AM","1st 8:13","First Half","45","140","1.17","4.65","8.5","NCAA"
"05:59:03 AM","1st 8:13","First Half","45","138.5","1.2","4.25","8.5","NCAA"
"05:59:21 AM","1st 8:13","First Half","45","138.5","1.2","4.25","8.5","NCAA"
"05:59:40 AM","1st 8:13","First Half","45","135.5","1.22","4","7.5","NCAA"
"06:00:00 AM","1st 8:13","First Half","45","135.5","1.22","4","7.5","NCAA"
"06:00:22 AM","1st 7:01","First Half","45","133.5","1.2","4.25","8","NCAA"
"06:00:39 AM","1st 7:01","First Half","45","133.5","1.2","4.25","8","NCAA"
"06:01:01 AM","1st 7:01","First Half","45","131.5","1.2","4.25","8","NCAA"
"06:01:23 AM","1st 6:51","First Half","45","131.5","1.2","4.25","8","NCAA"
"06:01:43 AM","1st 6:51","First Half","45","147","1.34","3.1","6","NCAA"
"06:02:01 AM","1st 6:51","First Half","45","147","1.34","3.1","6","NCAA"
