"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:40:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
