"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:11:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:14 AM","11:06 1st",NA,NA,"212.5","4.2","1.2","9","NBA"
"08:42:35 AM","11:06 1st",NA,NA,"212.5","4.2","1.2","9","NBA"
"08:42:58 AM","10:29 1st",NA,NA,"212.5","4.2","1.2","9","NBA"
"08:43:15 AM","10:29 1st",NA,NA,"212.5","4.2","1.2","9","NBA"
"08:43:34 AM","10:29 1st",NA,NA,"212.5","4.3","1.18","9","NBA"
"08:43:56 AM","10:29 1st",NA,NA,"212.5","4.3","1.18","9","NBA"
"08:44:13 AM","10:29 1st","Q1","7","218.5","5.5","1.13","11","NBA"
"08:44:34 AM","10:29 1st","Q1","9","218.5","5.5","1.13","11","NBA"
"08:44:56 AM","10:29 1st","Q1","9","217.5","5.7","1.12","11","NBA"
"08:45:17 AM","10:29 1st","Q1","9","217.5","5.7","1.12","11","NBA"
"08:45:37 AM","10:29 1st","Q1","9","214.5","5.7","1.12","11","NBA"
"08:45:57 AM","10:01 1st","Q1","9","214.5","5.7","1.12","11","NBA"
"08:46:16 AM","9:45 1st","Q1","13","215.5","5.7","1.12","11","NBA"
"08:46:36 AM","9:33 1st","Q1","13","215.5","5.7","1.12","11","NBA"
"08:46:56 AM","8:59 1st","Q1","15","214.5","6.5","1.09","12","NBA"
"08:47:18 AM","8:59 1st","Q1","15","214.5","6.5","1.09","12","NBA"
"08:47:35 AM","8:27 1st","Q1","15","213.5","6","1.11","11","NBA"
"08:47:58 AM","8:27 1st","Q1","17","213.5","6","1.11","11","NBA"
"08:48:19 AM","7:48 1st","Q1","19","212.5","6.25","1.1","12","NBA"
"08:48:34 AM","7:48 1st","Q1","19","212.5","6.25","1.1","12","NBA"
"08:48:57 AM","7:13 1st","Q1","19","210.5","6","1.11","11","NBA"
"08:49:14 AM","6:45 1st","Q1","21","210.5","6","1.11","11","NBA"
"08:49:34 AM","6:39 1st","Q1","21","210.5","6","1.11","11","NBA"
"08:49:55 AM","6:38 1st","Q1","21","210.5","6","1.11","11","NBA"
"08:50:14 AM","6:38 1st","Q1","25","212.5","6","1.11","11","NBA"
"08:50:34 AM","6:02 1st","Q1","25","212.5","6","1.11","11","NBA"
"08:50:56 AM","6:02 1st","Q1","25","209.5","6","1.11","11","NBA"
"08:51:14 AM","5:44 1st","Q1","25","209.5","6","1.11","11","NBA"
"08:51:36 AM","5:44 1st","Q1","25","209.5","6","1.11","11","NBA"
"08:51:57 AM","5:44 1st","Q1","25","209.5","6","1.11","11","NBA"
"08:52:18 AM","5:44 1st","Q1","27","209.5","5.2","1.14","10","NBA"
"08:52:36 AM","5:09 1st","Q1","27","209.5","5.2","1.14","10","NBA"
"08:52:56 AM","5:03 1st","Q1","27","206.5","5.2","1.14","10","NBA"
"08:53:15 AM","5:03 1st","Q1","27","206.5","5.2","1.14","10","NBA"
"08:53:34 AM","5:03 1st","Q1","29","205.5","4.3","1.19","9","NBA"
"08:53:56 AM","4:47 1st","Q1","29","205.5","4.3","1.19","9","NBA"
"08:54:15 AM","4:47 1st","Q1","29","205.5","4.3","1.19","9","NBA"
"08:54:34 AM","4:47 1st","Q1","29","205.5","4.3","1.19","9","NBA"
"08:54:56 AM","4:06 1st","Q1","29","207.5","4","1.22","8","NBA"
"08:55:16 AM","4:06 1st","Q1","31","207.5","4","1.22","8","NBA"
"08:55:35 AM","4:06 1st","Q1","31","206.5","4","1.22","7","NBA"
"08:55:58 AM","3:51 1st","Q1","32","206.5","4","1.22","7","NBA"
"08:56:17 AM","3:51 1st","Q1","33","208.5","4","1.22","7","NBA"
"08:56:35 AM","3:33 1st","Q1","33","208.5","4","1.22","7","NBA"
"08:56:58 AM","3:22 1st","Q1","36","209.5","4","1.22","8","NBA"
"08:57:17 AM","3:22 1st","Q1","39","209.5","4","1.22","8","NBA"
"08:57:41 AM","3:22 1st","Q1","39","212.5","3.5","1.28","7","NBA"
"08:57:56 AM","2:50 1st","Q1","39","212.5","3.5","1.28","7","NBA"
"08:58:14 AM","2:50 1st","Q1","39","212.5","3.5","1.28","7","NBA"
"08:58:35 AM","2:50 1st","Q1","39","212.5","3.5","1.28","7","NBA"
"08:59:00 AM","2:50 1st","Q1","39","212.5","3.5","1.28","7","NBA"
"08:59:14 AM","2:50 1st","Q1","39","212.5","3.5","1.28","7","NBA"
"08:59:34 AM","2:50 1st","Q1","39","212.5","3.5","1.28","7","NBA"
"08:59:53 AM","2:50 1st","Q1","39","212.5","3.5","1.28","7","NBA"
"09:00:15 AM","2:50 1st","Q1","39","212.5","3.5","1.28","7","NBA"
"09:00:36 AM","2:42 1st","Q1","39","212.5","3.5","1.28","7","NBA"
"09:00:55 AM","2:21 1st","Q1","39","209.5","3.5","1.28","7","NBA"
"09:01:15 AM","2:02 1st","Q1","39","209.5","3.5","1.28","7","NBA"
"09:01:36 AM","2:02 1st","Q1","39","206.5","3.3","1.3","6","NBA"
"09:01:57 AM","1:44 1st","Q1","41","206.5","3.3","1.3","6","NBA"
"09:02:18 AM","1:44 1st","Q1","41","205.5","3","1.36","6","NBA"
"09:02:35 AM","1:30 1st","Q1","41","205.5","3","1.36","6","NBA"
"09:03:05 AM",":57.1 1st","Q1","41","201.5","3","1.36","5","NBA"
"09:03:19 AM",":57.1 1st","Q1","45","201.5","3","1.36","5","NBA"
"09:03:33 AM",":47.3 1st","Q1","45","204.5","2.85","1.4","5","NBA"
"09:03:54 AM",":47.3 1st","Q1","45","204.5","2.85","1.4","5","NBA"
"09:04:27 AM",":37.1 1st","Q1","46","205.5","3.2","1.32","6","NBA"
"09:04:36 AM",":37.1 1st","Q1","46","205.5","3.2","1.32","6","NBA"
"09:04:56 AM",":37.1 1st","Q1","49","208.5","2.85","1.4","5","NBA"
"09:05:15 AM",":20.6 1st","Q1","49","208.5","2.85","1.4","5","NBA"
"09:05:36 AM","End 1st","Q1","51","210.5","3.25","1.32","6","NBA"
"09:05:57 AM","End 1st","Q1","51","210.5","3.25","1.32","6","NBA"
"09:06:16 AM","End 1st","Q1","51","210.5","3.25","1.32","6","NBA"
"09:06:36 AM","End 1st","Q1","51","210.5","3.25","1.32","6","NBA"
"09:06:55 AM","End 1st","Q1","51","210.5","3.25","1.32","6","NBA"
"09:07:16 AM","End 1st","Q1","51","210.5","3.25","1.32","6","NBA"
"09:07:41 AM","End 1st","Q1","51","210.5","3.25","1.32","6","NBA"
"09:07:56 AM","12:00 2nd","Q1","51","210.5","3.25","1.32","6","NBA"
"09:08:14 AM","12:00 2nd","Q1","51","211.5","3","1.36","6","NBA"
"09:08:45 AM","11:40 2nd","Q2","53","210.5","3","1.36","5","NBA"
"09:08:57 AM","11:28 2nd","Q2","53","210.5","3","1.36","5","NBA"
"09:09:21 AM","11:22 2nd","Q2","55","210.5","3.25","1.32","6","NBA"
"09:09:34 AM","11:13 2nd","Q2","55","210.5","3.25","1.32","6","NBA"
"09:09:54 AM","11:13 2nd","Q2","55","209.5","3.25","1.32","6","NBA"
"09:10:16 AM","11:13 2nd","Q2","57","209.5","3.25","1.32","6","NBA"
"09:10:35 AM","10:44 2nd","Q2","57","210.5","3.2","1.32","6","NBA"
"09:10:54 AM","10:44 2nd","Q2","59","210.5","3.2","1.32","6","NBA"
"09:11:14 AM","10:04 2nd","Q2","59","208.5","3.2","1.32","6","NBA"
"09:11:37 AM","10:04 2nd","Q2","59","208.5","3.2","1.32","6","NBA"
"09:11:56 AM","9:36 2nd","Q2","61","206.5","3.5","1.28","6","NBA"
