"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"05:40:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:41:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:41:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:45:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:45:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
