"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"04:11:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:11:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:12:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:12:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:12:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:13:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:13:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:13:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:14:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:14:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:14:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:15:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:15:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:15:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:16:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:16:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:16:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:17:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:17:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:17:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:18:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:18:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:19:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:19:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:19:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:19:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:20:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:20:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:20:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:21:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:21:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:21:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:22:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:22:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:22:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:23:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:23:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:23:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:24:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:24:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:24:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:25:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:25:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:25:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:26:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:26:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:26:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:27:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:27:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:27:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:28:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:28:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:28:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:29:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:29:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:29:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:30:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:30:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:30:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:31:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:31:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:31:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:32:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:32:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:32:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:33:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:33:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:33:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:34:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:34:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:34:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:34:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:35:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
