"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:11:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
