"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
