"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:41:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:41:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:43:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:43:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:43:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:44:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:44:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:44:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:45:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:45:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:45:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:46:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:46:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:46:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:47:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:47:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:47:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:48:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:48:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:48:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:49:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:49:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:49:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
