"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:48:58","7:30 1st","Q1","17","207.5","10","1.03","16","NBA"
"09:49:17","7:30 1st","Q1","14","206.5","12","1.02","18","NBA"
"09:49:29","6:46 1st","Q1","14","206.5","12","1.02","18","NBA"
"09:49:47","6:46 1st","Q1","20","209.5","13","1.01","19","NBA"
"09:50:20","6:40 1st","Q1","20","209.5","13","1.01","19","NBA"
"09:56:18","4:27 1st","Q1","31","206.5","10","1.03","17","NBA"
"09:56:58","3:57 1st","Q1","31","206.5","10","1.03","17","NBA"
"09:58:55","3:57 1st","Q1","31","206.5","10","1.03","16","NBA"
"09:59:24","3:12 1st","Q1","31","204.5","10","1.03","16","NBA"
"09:59:36","2:47 1st","Q1","31","204.5","10","1.03","16","NBA"
"09:59:51","3:12 1st","Q1","31","204.5","10","1.03","16","NBA"
"10:00:06","2:33 1st","Q1","33","204.5","12","1.02","17","NBA"
"10:00:25","2:33 1st","Q1","33","204.5","12","1.02","17","NBA"
"10:00:50","2:26 1st","Q1","34","203.5","12","1.02","17","NBA"
"10:01:22","2:26 1st","Q1","33","202.5","12","1.02","17","NBA"
"10:01:44","2:00 1st","Q1","35","202.5","12","1.02","17","NBA"
"10:02:08","2:47 1st","Q1","35","202.5","10","1.03","16","NBA"
"10:03:59",":47.8 1st","Q1","40","203.5","9.5","1.04","14","NBA"
"10:06:36","End 1st","Q1","45","205.5","9.5","1.04","15","NBA"
"10:06:45","End 1st","Q1","45","205.5","9.5","1.04","15","NBA"
"10:06:58","End 1st","Q1","45","205.5","9.5","1.04","15","NBA"
"10:07:30","End 1st","Q1","45","205.5","9.5","1.04","15","NBA"
"10:08:09","End 1st","Q1","45","205.5","9.5","1.04","15","NBA"
"10:08:28","11:48 2nd","Q1","45","205.5","9.5","1.04","15","NBA"
"10:09:59","1st 2:51","First Half","49","125.5","2.42","1.52","3.5","NCAA"
"10:34:14",NA,"Q2","90","204.5","6.5","1.09","10","NBA"
"10:43:53",NA,"Q2","101","207.5","4.3","1.19","7","NBA"
"10:47:59",NA,"Q2","101","207.5","4.3","1.19","7","NBA"
"10:49:04",NA,"Q2","101","207.5","4.3","1.19","7","NBA"
"10:50:22",NA,"Q2","101","207.5","4.3","1.19","7","NBA"
"10:52:53",NA,"Q2","101","207.5","4.3","1.19","7","NBA"
"10:57:23",NA,"Q3","113","208.5","3.6","1.26","6","NBA"
"10:58:40",NA,"Q3","113","209.5","3.25","1.32","5","NBA"
"11:03:06",NA,"Q3","119","207.5","4","1.22","6","NBA"
"11:03:58","7:26 3rd","Q3","119","205.5","4","1.22","6","NBA"
"11:08:14","5:04 3rd","Q3","127","203.5","9","1.05","10","NBA"
"11:09:26","5:04 3rd","Q3","127","203.5","9","1.05","10","NBA"
"11:09:50","5:04 3rd","Q3","127","203.5","9","1.05","10","NBA"
"11:10:17","5:04 3rd","Q3","127","203.5","9","1.05","10","NBA"
"11:10:50","4:37 3rd","Q3","131","207.5","9","1.05","10","NBA"
"11:11:24","4:01 3rd","Q3","133","206.5","10","1.03","11","NBA"
"11:11:53","3:19 3rd","Q3","133","206.5","10","1.03","11","NBA"
"11:12:36","3:29 3rd","Q3","133","200.5","9.5","1.04","11","NBA"
"11:16:16","1:43 3rd","Q3","144","203.5","9.5","1.04","10","NBA"
"11:30:23","8:50 4th","Q4","166","206.5","12","1.02","10","NBA"
"11:30:54","8:26 4th","Q4","166","204.5","12","1.02","10","NBA"
"11:31:13","8:26 4th","Q4","168","205.5","14","1.01","11","NBA"
"11:32:05","8:26 4th","Q4","168","205.5","14","1.01","11","NBA"
"11:33:27","7:12 4th","Q4","170",NA,NA,NA,"13","NBA"
"11:34:51","7:12 4th","Q4","170",NA,NA,NA,"13","NBA"
"11:35:40","6:45 4th","Q4","173",NA,"20","SUS","11","NBA"
"11:36:03","6:25 4th","Q4","173",NA,"14","1.01","10","NBA"
"11:36:23","6:25 4th","Q4","173",NA,"14","1.01","10","NBA"
"11:37:23","6:25 4th","Q4","175",NA,"30","SUS","12","NBA"
"11:37:46","5:35 4th","Q4","175",NA,"30","SUS","12","NBA"
"11:38:47","5:04 4th","Q4","176",NA,NA,"","13.5","NBA"
"11:39:10","5:04 4th","Q4","177",NA,NA,"","13.5","NBA"
"11:39:38","4:49 4th","Q4","177",NA,NA,"","12.5","NBA"
"11:39:55","4:40 4th","Q4","177",NA,NA,"","12.5","NBA"
"11:40:31","4:29 4th","Q4","177",NA,NA,"","12.5","NBA"
"11:41:35","3:53 4th","Q4","179",NA,NA,"","14.5","NBA"
"11:41:49","3:53 4th","Q4","179",NA,NA,"","14.5","NBA"
"11:42:08","3:53 4th","Q4","179",NA,NA,"","14.5","NBA"
"11:44:11","3:33 4th",NA,NA,NA,NA,"",NA,"NBA"
"11:44:27","2:44 4th","NA","NA","NA","","","","NBA"
