"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:40:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
