"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:10:33 AM","Raptors",NA,NA,NA,NA,NA,NA,"NBA"
"07:10:53 AM","Raptors",NA,NA,NA,NA,NA,NA,"NBA"
"07:11:15 AM","Raptors",NA,NA,NA,NA,NA,NA,"NBA"
"07:11:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:11:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
