"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"12:01:23 PM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"12:01:45 PM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"12:02:00 PM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"12:02:20 PM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"12:02:40 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:03:03 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:03:18 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:03:38 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:04:02 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:04:17 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:04:36 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:04:57 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:05:26 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:05:39 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:06:01 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:06:29 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:06:37 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:07:03 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:07:20 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:07:39 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:08:00 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:08:15 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:08:45 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:08:58 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:09:19 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:09:41 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:10:00 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:10:20 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:10:45 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:11:05 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:11:19 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:11:41 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"12:12:02 PM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
