"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:56 AM","Wizards",NA,NA,NA,NA,NA,NA,"NBA"
"08:11:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:21 AM",NA,NA,NA,"213.5","2.25","1.6","4","NBA"
"08:40:39 AM",NA,NA,NA,"213.5","2.25","1.6","4","NBA"
"08:41:01 AM",NA,NA,NA,"213.5","2.25","1.6","4","NBA"
"08:41:22 AM",NA,NA,NA,"213.5","2.25","1.6","4","NBA"
"08:41:41 AM","11:18 1st",NA,NA,"213.5","2.45","1.52","4","NBA"
"08:42:03 AM","11:18 1st",NA,NA,"213.5","2.45","1.52","4","NBA"
"08:42:23 AM","11:01 1st",NA,NA,"214.5","2.55","1.48","4","NBA"
"08:42:38 AM","10:22 1st",NA,NA,"214.5","2.55","1.48","4","NBA"
"08:43:03 AM","10:22 1st","Q1","4","214.5","2.45","1.52","4","NBA"
"08:43:25 AM","10:04 1st","Q1","4","214.5","2.45","1.52","4","NBA"
"08:43:41 AM","9:43 1st","Q1","4","211.5","2.35","1.56","3","NBA"
"08:44:03 AM","9:43 1st","Q1","4","211.5","2.35","1.56","3","NBA"
"08:44:21 AM","9:31 1st","Q1","5","208.5","2.35","1.56","3","NBA"
"08:44:38 AM","9:20 1st","Q1","5","208.5","2.35","1.56","3","NBA"
"08:45:00 AM","11:37 1st","Q1","5","207.5","2.15","1.66","2","NBA"
"08:45:27 AM","9:08 1st","Q1","7","207.5","2.15","1.66","2","NBA"
"08:45:40 AM","9:20 1st","Q1","7","208.5","1.88","1.88","1","NBA"
"08:45:59 AM","8:41 1st","Q1","7","208.5","1.88","1.88","1","NBA"
"08:46:21 AM","8:12 1st","Q1","7","205.5","1.88","1.88","1","NBA"
"08:46:40 AM","7:30 1st","Q1","7","205.5","1.88","1.88","1","NBA"
"08:46:59 AM","7:46 1st","Q1","11","202.5","1.84","1.9","1","NBA"
"08:47:21 AM","7:14 1st","Q1","11","202.5","1.84","1.9","1","NBA"
"08:47:39 AM","6:51 1st","Q1","11","202.5","1.66","2.15","2","NBA"
"08:47:59 AM","6:30 1st","Q1","11","202.5","1.66","2.15","2","NBA"
