"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:10:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:38:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:38:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:38:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:39:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:39:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:39:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:40:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:18 AM","10:43 1st",NA,NA,"220","1.36","3","7","NBA"
"09:42:37 AM","9:52 1st",NA,NA,"220","1.36","3","7","NBA"
"09:42:56 AM","9:52 1st",NA,NA,"220","1.36","3","7","NBA"
"09:43:18 AM","9:34 1st",NA,NA,"220","1.36","3","7","NBA"
"09:43:39 AM","9:17 1st",NA,NA,"219.5","1.3","3.3","7","NBA"
"09:44:00 AM","8:59 1st",NA,NA,"219.5","1.3","3.3","7","NBA"
"09:44:20 AM","8:36 1st","Q1","7","227.5","1.26","3.6","8","NBA"
"09:44:38 AM","8:28 1st","Q1","7","227.5","1.26","3.6","8","NBA"
"09:44:57 AM","8:23 1st","Q1","7","224.5","1.2","4.1","8","NBA"
"09:45:20 AM","8:23 1st","Q1","7","224.5","1.2","4.1","8","NBA"
"09:45:38 AM","8:23 1st","Q1","7","223.5","1.26","3.6","7","NBA"
"09:45:59 AM","8:07 1st","Q1","13","223.5","1.26","3.6","7","NBA"
"09:46:24 AM","7:59 1st","Q1","13","225.5","1.22","4","8","NBA"
"09:46:42 AM","7:43 1st","Q1","13","225.5","1.22","4","8","NBA"
"09:46:59 AM","7:43 1st","Q1","15","213.5","1.22","4","8","NBA"
"09:47:21 AM","7:08 1st","Q1","15","213.5","1.22","4","8","NBA"
"09:47:38 AM","7:05 1st","Q1","15","213.5","1.2","4.2","8","NBA"
"09:47:56 AM","7:05 1st","Q1","15","213.5","1.2","4.2","8","NBA"
"09:48:16 AM","6:49 1st","Q1","17","214.5","1.19","4.3","9","NBA"
"09:48:38 AM","6:32 1st","Q1","17","214.5","1.19","4.3","9","NBA"
"09:48:58 AM","6:32 1st","Q1","17","213.5","1.2","4.1","8","NBA"
"09:49:17 AM","5:58 1st","Q1","17","213.5","1.2","4.1","8","NBA"
"09:49:40 AM","5:58 1st","Q1","17","212.5","1.2","4.2","8","NBA"
"09:49:58 AM","5:49 1st","Q1","19","212.5","1.2","4.2","8","NBA"
"09:50:33 AM","5:49 1st","Q1","19","212.5","1.2","4.2","8","NBA"
"09:50:41 AM","5:49 1st","Q1","19","212.5","1.2","4.2","8","NBA"
"09:50:57 AM","5:49 1st","Q1","19","212.5","1.2","4.2","8","NBA"
"09:51:19 AM","5:49 1st","Q1","19","212.5","1.2","4.2","8","NBA"
"09:51:38 AM","5:49 1st","Q1","19","212.5","1.2","4.2","8","NBA"
"09:52:01 AM","5:49 1st","Q1","19","212.5","1.19","4.3","9","NBA"
"09:52:16 AM","5:39 1st","Q1","19","212.5","1.19","4.3","9","NBA"
"09:52:40 AM","5:15 1st","Q1","21","212.5","1.19","4.3","9","NBA"
"09:52:54 AM","5:15 1st","Q1","21","212.5","1.19","4.3","9","NBA"
"09:53:16 AM","5:04 1st","Q1","21","213.5","1.22","4","8","NBA"
"09:53:35 AM","4:47 1st","Q1","21","213.5","1.22","4","8","NBA"
"09:53:56 AM","4:42 1st","Q1","21","214.5","1.19","4.3","9","NBA"
"09:54:17 AM","4:18 1st","Q1","24","214.5","1.18","4.3","9","NBA"
"09:54:37 AM","4:18 1st","Q1","24","214.5","1.18","4.3","9","NBA"
"09:54:57 AM","4:18 1st","Q1","24","216.5","1.19","4.3","9","NBA"
"09:55:25 AM","4:02 1st","Q1","31","222.5","1.19","4.3","9","NBA"
"09:55:39 AM","4:02 1st","Q1","31","222.5","1.19","4.3","9","NBA"
"09:55:58 AM","4:02 1st","Q1","31","219.5","1.19","4.3","9","NBA"
"09:56:15 AM","4:02 1st","Q1","31","219.5","1.19","4.3","9","NBA"
"09:56:37 AM","4:02 1st","Q1","37","219.5","1.2","4.1","8","NBA"
