"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:41:27 AM","Pacers",NA,NA,NA,NA,NA,NA,"NBA"
"07:41:44 AM","Pacers",NA,NA,NA,NA,NA,NA,"NBA"
"07:42:05 AM","Pacers",NA,NA,NA,NA,NA,NA,"NBA"
"07:42:23 AM","Pacers",NA,NA,NA,NA,NA,NA,"NBA"
"07:42:57 AM","Pacers",NA,NA,NA,NA,NA,NA,"NBA"
"07:43:16 AM","Pacers",NA,NA,NA,NA,NA,NA,"NBA"
"07:43:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
