"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:46:11 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:46:27 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:46:47 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:47:09 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:47:29 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:47:47 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:48:09 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:48:32 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:48:50 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:49:09 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:49:28 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:49:48 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:50:09 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:50:28 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:50:49 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:51:09 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:51:28 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:51:49 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:52:07 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:52:27 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:52:51 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:53:07 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:53:30 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:53:48 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:54:09 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:54:28 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:54:51 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:55:09 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:55:29 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:55:52 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:56:08 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:56:29 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:56:51 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:57:07 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:57:28 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:57:50 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:58:07 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:58:27 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:58:47 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:59:08 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:59:30 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"11:59:51 PM","NA","NA","NA",NA,NA,NA,NA,"NCAA"
