"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:06:24 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:06:47 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:07:04 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:07:25 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:07:44 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:08:08 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:08:33 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:08:47 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:09:10 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:09:29 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:09:46 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:05 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:26 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:49 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:11 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:42 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:50 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:12 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:26 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:49 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:13:06 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:13:23 AM","Mar 23-8:39 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
