"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:40:40 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:57 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:19 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:42 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:57 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:17 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:39 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:56 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:19 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:38 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:59 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:16 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:37 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:55 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:20 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:42 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:59 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:22 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:44 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:58 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:21 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:42 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:02 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:23 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:43 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:58 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:19 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:38 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:57 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:21 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:41 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:55 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:16 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:42 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:00 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:20 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:41 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:58 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:25 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:45 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:58 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:18 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:41 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:56 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:18 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:39 AM","Mar 19-6:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:01 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:43 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:05 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:23 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:24 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:44 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:22 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
