"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:30:51 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:12 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:32 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:54 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:30 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:50 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:32 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:53 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:34:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:34:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:34:51 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:35:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:35:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:35:54 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:32 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:57 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:51 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:12 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:52 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:12 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:33 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:52 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:52 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:15 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:33 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:54 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
