"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:07:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:34 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"10:07:56 AM",NA,"First Half","2","136.5","1.33","3.2","6.5","NCAA"
"10:08:13 AM",NA,"First Half","2","136.5","1.33","3.2","6.5","NCAA"
"10:08:33 AM",NA,"First Half","2","136.5","1.28","3.45","6.5","NCAA"
"10:08:51 AM",NA,"First Half","6","136.5","1.28","3.45","6.5","NCAA"
"10:09:12 AM",NA,"First Half","6","133.5","1.31","3.24","6.5","NCAA"
"10:09:35 AM",NA,"First Half","6","133.5","1.31","3.24","6.5","NCAA"
"10:09:55 AM",NA,"First Half","6","132.5","1.37","2.92","6.5","NCAA"
"10:10:20 AM",NA,"First Half","6","132.5","1.37","2.92","6.5","NCAA"
"10:10:30 AM",NA,"First Half","6","130.5","1.33","3.18","6.5","NCAA"
"10:10:52 AM",NA,"First Half","6","130.5","1.33","3.18","6.5","NCAA"
"10:11:56 AM",NA,"First Half","7","131.5","1.28","3.4","7.5","NCAA"
"10:12:11 AM",NA,"First Half","7","131.5","1.28","3.4","7.5","NCAA"
"10:12:32 AM",NA,"First Half","10","131.5","1.28","3.5","8.5","NCAA"
"10:12:55 AM",NA,"First Half","10","131.5","1.28","3.5","8.5","NCAA"
"10:13:11 AM",NA,"First Half","10","131.5","1.28","3.5","8.5","NCAA"
"10:13:31 AM",NA,"First Half","10","131.5","1.28","3.5","8.5","NCAA"
"10:13:54 AM",NA,"First Half","10","131.5","1.28","3.5","8.5","NCAA"
"10:14:18 AM",NA,"First Half","10","131.5","1.28","3.5","8.5","NCAA"
"10:14:32 AM",NA,"First Half","10","131.5","1.28","3.5","8.5","NCAA"
"10:14:52 AM",NA,"First Half","10","131.5","1.28","3.5","8.5","NCAA"
"10:15:14 AM",NA,"First Half","10","131.5","1.28","3.5","8.5","NCAA"
"10:15:35 AM",NA,"First Half","10","131.5","1.28","3.5","8.5","NCAA"
"10:15:57 AM",NA,"First Half","10","134.5","1.17","4.6","9.5","NCAA"
"10:16:12 AM",NA,"First Half","13","131.5","1.25","3.75","7.5","NCAA"
"10:16:34 AM",NA,"First Half","13","131.5","1.25","3.75","7.5","NCAA"
"10:16:54 AM",NA,"First Half","13","130.5","1.17","4.6","9.5","NCAA"
"10:17:14 AM",NA,"First Half","13","130.5","1.17","4.6","9.5","NCAA"
"10:17:34 AM",NA,"First Half","13","131.5","1.25","3.7","8.5","NCAA"
"10:18:05 AM",NA,"First Half","16","131.5","1.25","3.7","8.5","NCAA"
"10:18:13 AM",NA,"First Half","16","131.5","1.22","3.96","8.5","NCAA"
"10:18:30 AM",NA,"First Half","16","131.5","1.22","3.96","8.5","NCAA"
"10:18:53 AM",NA,"First Half","16","130.5","1.25","3.7","8.5","NCAA"
"10:19:12 AM",NA,"First Half","17","130.5","1.25","3.7","8.5","NCAA"
"10:19:34 AM",NA,"First Half","17","131.5","1.3","3.32","7.5","NCAA"
"10:19:51 AM",NA,"First Half","17","131.5","1.3","3.32","7.5","NCAA"
"10:20:13 AM",NA,"First Half","22","132.5","1.35","3.04","6.5","NCAA"
"10:20:33 AM",NA,"First Half","22","132.5","1.35","3.04","6.5","NCAA"
"10:20:53 AM",NA,"First Half","22","132.5","1.4","2.8","6.5","NCAA"
"10:21:12 AM",NA,"First Half","22","132.5","1.4","2.8","6.5","NCAA"
"10:21:34 AM",NA,"First Half","22","132.5","1.4","2.8","6.5","NCAA"
"10:21:53 AM",NA,"First Half","24","132.5","1.4","2.8","6.5","NCAA"
"10:22:11 AM",NA,"First Half","24","132.5","1.4","2.8","6.5","NCAA"
"10:22:33 AM",NA,"First Half","24","132.5","1.4","2.8","6.5","NCAA"
"10:22:54 AM",NA,"First Half","24","132.5","1.4","2.8","6.5","NCAA"
"10:23:10 AM",NA,"First Half","24","132.5","1.4","2.8","6.5","NCAA"
"10:23:32 AM",NA,"First Half","24","132.5","1.4","2.8","6.5","NCAA"
"10:23:51 AM",NA,"First Half","24","132.5","1.4","2.8","6.5","NCAA"
"10:24:14 AM",NA,"First Half","24","132.5","1.4","2.8","6.5","NCAA"
"10:24:35 AM",NA,"First Half","24","132.5","1.4","2.8","6.5","NCAA"
"10:24:50 AM",NA,"First Half","24","131.5","1.33","3.16","6.5","NCAA"
"10:25:14 AM",NA,"First Half","24","131.5","1.33","3.16","6.5","NCAA"
"10:25:34 AM",NA,"First Half","24","130.5","1.36","2.97","5.5","NCAA"
"10:25:51 AM",NA,"First Half","24","130.5","1.36","2.97","5.5","NCAA"
"10:26:11 AM",NA,"First Half","24","129.5","1.57","2.3","3.5","NCAA"
"10:26:34 AM",NA,"First Half","26","129.5","1.57","2.3","3.5","NCAA"
"10:26:51 AM",NA,"First Half","26","128.5","1.46","2.59","4.5","NCAA"
"10:27:13 AM",NA,"First Half","26","128.5","1.46","2.59","4.5","NCAA"
"10:27:35 AM",NA,"First Half","26","126.5","1.37","2.92","4.5","NCAA"
"10:27:51 AM",NA,"First Half","26","126.5","1.37","2.92","4.5","NCAA"
"10:28:11 AM",NA,"First Half","26","127.5","1.5","2.46","3.5","NCAA"
"10:28:33 AM",NA,"First Half","26","127.5","1.5","2.46","3.5","NCAA"
"10:28:58 AM",NA,"First Half","26","128.5","1.37","2.92","6.5","NCAA"
"10:29:12 AM",NA,"First Half","26","128.5","1.37","2.92","6.5","NCAA"
"10:29:31 AM",NA,"First Half","28","128.5","1.37","2.92","6.5","NCAA"
"10:29:50 AM",NA,"First Half","28","128.5","1.37","2.92","6.5","NCAA"
"10:30:12 AM",NA,"First Half","28","131.5","1.28","3.5","7.5","NCAA"
"10:30:32 AM",NA,"First Half","30","131.5","1.28","3.5","7.5","NCAA"
"10:30:55 AM",NA,"First Half","30","129.5","1.25","3.7","7.5","NCAA"
"10:31:12 AM",NA,"First Half","30","129.5","1.25","3.7","7.5","NCAA"
"10:31:33 AM",NA,"First Half","30","128.5","1.25","3.7","7.5","NCAA"
"10:31:53 AM",NA,"First Half","30","128.5","1.25","3.7","7.5","NCAA"
"10:32:19 AM",NA,"First Half","30","129.5","1.22","4.05","9.5","NCAA"
"10:32:32 AM",NA,"First Half","30","129.5","1.22","4.05","9.5","NCAA"
"10:32:53 AM",NA,"First Half","30","129.5","1.22","4.05","9.5","NCAA"
"10:33:10 AM",NA,"First Half","32","129.5","1.22","4.05","9.5","NCAA"
"10:33:30 AM",NA,"First Half","32","127.5","1.28","3.45","7.5","NCAA"
"10:33:52 AM",NA,"First Half","32","127.5","1.28","3.45","7.5","NCAA"
"10:34:11 AM",NA,"First Half","33","128.5","1.25","3.8","6.5","NCAA"
"10:34:30 AM",NA,"First Half","33","128.5","1.25","3.8","6.5","NCAA"
"10:35:02 AM",NA,"First Half","33","128.5","1.25","3.8","6.5","NCAA"
"10:35:14 AM",NA,"First Half","33","128.5","1.25","3.8","6.5","NCAA"
"10:35:31 AM",NA,"First Half","33","128.5","1.25","3.8","6.5","NCAA"
"10:35:54 AM",NA,"First Half","33","128.5","1.25","3.8","6.5","NCAA"
"10:36:12 AM",NA,"First Half","33","128.5","1.25","3.8","6.5","NCAA"
"10:36:32 AM",NA,"First Half","33","128.5","1.25","3.8","6.5","NCAA"
"10:36:51 AM",NA,"First Half","33","127.5","1.17","4.6","8.5","NCAA"
"10:37:10 AM",NA,"First Half","33","127.5","1.17","4.6","8.5","NCAA"
"10:37:37 AM",NA,"First Half","33","128.5","1.22","4","9.5","NCAA"
"10:37:50 AM",NA,"First Half","33","128.5","1.22","4","9.5","NCAA"
"10:38:11 AM",NA,"First Half","35","127.5","1.17","4.6","9.5","NCAA"
"10:38:29 AM",NA,"First Half","35","127.5","1.17","4.6","9.5","NCAA"
"10:38:49 AM",NA,"First Half","35","124.5","1.2","4.25","8.5","NCAA"
"10:39:09 AM",NA,"First Half","35","124.5","1.2","4.25","8.5","NCAA"
"10:39:33 AM",NA,"First Half","35","125.5","1.17","4.6","9.5","NCAA"
"10:39:57 AM",NA,"First Half","35","125.5","1.17","4.6","9.5","NCAA"
"10:40:10 AM",NA,"First Half","35","123.5","1.13","5.4","9.5","NCAA"
"10:40:35 AM",NA,"First Half","35","123.5","1.13","5.4","9.5","NCAA"
"10:40:52 AM",NA,"First Half","37","124.5","1.17","4.65","9.5","NCAA"
"10:41:10 AM",NA,"First Half","37","124.5","1.17","4.65","9.5","NCAA"
"10:41:29 AM",NA,"First Half","37","124.5","1.17","4.65","9.5","NCAA"
"10:41:50 AM",NA,"First Half","37","124.5","1.17","4.65","9.5","NCAA"
"10:42:12 AM",NA,"First Half","37","124.5","1.17","4.65","9.5","NCAA"
