"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:57:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:55 AM",NA,NA,NA,"215","5.2","1.14","11","NBA"
"10:11:50 AM","11:28 1st",NA,NA,"215","5.2","1.14","11","NBA"
"10:12:09 AM","11:28 1st",NA,NA,"215","5.2","1.14","11","NBA"
"10:12:26 AM","11:45 1st",NA,NA,"215","5.2","1.14","11","NBA"
"10:12:47 AM","10:50 1st",NA,NA,"215","5.2","1.14","11","NBA"
"10:13:06 AM","10:30 1st",NA,NA,"215.5","5.5","1.13","11","NBA"
"10:13:25 AM","10:30 1st",NA,NA,"219.5","6","1.11","11","NBA"
"10:13:54 AM","10:20 1st","Q1","5","221.5","7.5","1.07","13","NBA"
"10:14:05 AM","10:09 1st","Q1","5","221.5","7.5","1.07","13","NBA"
"10:14:25 AM","10:09 1st","Q1","5","223.5","6.5","1.09","12","NBA"
"10:14:51 AM","10:09 1st","Q1","5","223.5","6.5","1.09","12","NBA"
"10:15:10 AM","10:09 1st","Q1","18","225.5","6","1.11","11","NBA"
"10:15:58 AM","10:09 1st","Q1","18","216.5","5.2","1.14","10","NBA"
"10:16:02 AM","10:09 1st","Q1","18","216.5","5.2","1.14","10","NBA"
"10:16:14 AM","8:13 1st","Q1","18","216.5","5.2","1.14","10","NBA"
"10:16:35 AM","10:09 1st","Q1","20","215.5","5.5","1.13","10","NBA"
"10:16:53 AM","7:44 1st","Q1","20","215.5","5.5","1.13","10","NBA"
"10:17:31 AM","7:20 1st","Q1","20","216.5","5.2","1.14","10","NBA"
"10:17:54 AM","7:03 1st","Q1","24","216.5","6","1.11","11","NBA"
"10:18:15 AM","7:03 1st","Q1","24","216.5","6","1.11","11","NBA"
"10:18:32 AM","7:03 1st","Q1","24","216.5","5.5","1.13","10","NBA"
"10:18:54 AM","6:31 1st","Q1","24","216.5","5.5","1.13","10","NBA"
"10:19:06 AM","6:07 1st","Q1","24","218.5","5.7","1.12","11","NBA"
"10:19:24 AM","5:53 1st","Q1","31","218.5","5.7","1.12","11","NBA"
"10:19:47 AM","5:53 1st","Q1","31","218.5","5.7","1.12","11","NBA"
"10:20:01 AM","5:53 1st","Q1","31","218.5","5.7","1.12","11","NBA"
"10:20:30 AM","5:53 1st","Q1","31","218.5","5.7","1.12","11","NBA"
"10:20:58 AM","5:53 1st","Q1","31","218.5","5.7","1.12","11","NBA"
"10:21:10 AM","5:53 1st","Q1","31","218.5","5.7","1.12","11","NBA"
"10:21:26 AM","5:53 1st","Q1","31","218.5","5.7","1.12","11","NBA"
"10:21:43 AM","5:53 1st","Q1","32","218.5","5.7","1.12","11","NBA"
"10:22:00 AM","5:53 1st","Q1","32","217.5","6.25","1.1","11","NBA"
"10:22:20 AM","5:53 1st","Q1","32","217.5","6.25","1.1","11","NBA"
"10:22:51 AM","5:53 1st","Q1","32","217.5","6.25","1.1","11","NBA"
"10:23:02 AM","5:19 1st","Q1","32","217.5","6.25","1.1","11","NBA"
"10:23:19 AM","5:19 1st","Q1","34","219.5","7","1.08","12","NBA"
"10:23:39 AM","4:59 1st","Q1","34","219.5","7","1.08","12","NBA"
"10:24:21 AM","3:49 1st","Q1","34","214.5","6.5","1.09","11","NBA"
"10:24:30 AM","4:21 1st","Q1","34","214.5","6.5","1.09","11","NBA"
"10:24:47 AM","3:49 1st","Q1","36","214.5","6.5","1.09","11","NBA"
"10:25:06 AM","3:49 1st","Q1","36","213.5","5.7","1.12","10","NBA"
"10:25:19 AM","3:34 1st","Q1","36","213.5","5.7","1.12","10","NBA"
"10:25:38 AM","3:11 1st","Q1","36","213.5","6","1.11","11","NBA"
"10:26:03 AM","2:58 1st","Q1","36","212.5","5.5","1.13","10","NBA"
"10:26:20 AM","2:58 1st","Q1","42","212.5","5.5","1.13","10","NBA"
"10:26:37 AM","2:13 1st","Q1","42","209.5","5.5","1.13","10","NBA"
"10:26:58 AM","2:08 1st","Q1","42","209.5","5.5","1.13","10","NBA"
"10:27:17 AM","2:08 1st","Q1","42","215.5","5.7","1.12","10","NBA"
