"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:25:36 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:25:59 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:26:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:26:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:27:01 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:27:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:27:42 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:27:58 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:28:42 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:28:58 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:29:21 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:29:36 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:29:55 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:30:24 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:30:43 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:01 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:36 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:15 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:34 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:59 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:52 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:22 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:39 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:55 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:22 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:36 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:54 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:22 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:01 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:35 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:58 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:33 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:57 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:16 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:36 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:53 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:12 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:53 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:18 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:34 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:54 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:34 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:54 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:22 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:35 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:59 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:34 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:59 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:16 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:35 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:16 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:33 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:53 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:15 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:25 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:34 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:57 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:36 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:54 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:01:18 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:01:33 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:01:57 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:02:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:02:35 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:02:53 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:03:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:03:33 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:03:53 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:04:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:04:32 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:04:59 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:05:22 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
