"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:11:17 AM","2:26 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:35 AM","2:16 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:57 AM","2:15 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:19 AM","2:15 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:37 AM","2:06 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:55 AM","1:45 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:17 AM","1:45 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:41 AM","1:19 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:55 AM","1:05 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:18 AM",":43.7 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:41 AM",":34.3 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:54 AM",":34.3 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:15:13 AM",":17.7 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:15:32 AM",":09.8 4th",NA,NA,NA,NA,NA,NA,"NBA"
"11:15:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:33:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:33:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:33:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:34:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:34:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:34:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:35:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:35:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:35:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:36:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:36:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:36:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:37:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:37:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:37:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:38:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:38:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:38:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:39:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:39:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:39:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:40:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:40:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:40:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:41:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:41:34 AM",NA,NA,NA,"210.5","1.62","2.25","3","NBA"
"11:41:53 AM",NA,NA,NA,"210.5","1.62","2.25","3","NBA"
"11:42:12 AM",NA,NA,NA,"210.5","1.62","2.25","3","NBA"
"11:42:34 AM",NA,NA,NA,"210.5","1.62","2.25","3","NBA"
"11:42:51 AM",NA,NA,NA,"210.5","1.62","2.25","3","NBA"
"11:43:15 AM",NA,NA,NA,"210.5","1.6","2.25","3","NBA"
"11:43:34 AM",NA,NA,NA,"210.5","1.6","2.25","3","NBA"
"11:43:49 AM",NA,NA,NA,"210.5","1.6","2.25","3","NBA"
"11:44:11 AM",NA,NA,NA,"210.5","1.6","2.25","3","NBA"
"11:44:32 AM",NA,NA,NA,"210.5","1.6","2.25","3","NBA"
"11:44:48 AM",NA,NA,NA,"210.5","1.6","2.25","3","NBA"
"11:45:09 AM",NA,NA,NA,"210.5","1.6","2.25","3","NBA"
"11:45:28 AM",NA,NA,NA,"210.5","1.6","2.25","3","NBA"
"11:45:48 AM",NA,NA,NA,"210.5","1.6","2.25","3","NBA"
"11:46:14 AM",NA,NA,NA,"210.5","1.6","2.25","3","NBA"
"11:46:28 AM","12:00 1st",NA,NA,"210.5","1.62","2.25","3","NBA"
"11:46:52 AM","11:43 1st","Q1","2","210.5","1.62","2.25","3","NBA"
"11:47:12 AM","11:19 1st","Q1","2","209.5","1.68","2.1","2","NBA"
"11:47:30 AM","11:19 1st","Q1","2","209.5","1.68","2.1","2","NBA"
"11:47:50 AM","10:40 1st","Q1","2","207.5","1.62","2.25","3","NBA"
"11:48:12 AM","10:14 1st","Q1","2","207.5","1.6","2.25","3","NBA"
"11:48:31 AM","10:14 1st","Q1","4","207.5","1.6","2.25","3","NBA"
"11:48:49 AM","9:51 1st","Q1","4","207.5","1.52","2.45","4","NBA"
"11:49:14 AM","9:51 1st","Q1","6","207.5","1.52","2.45","4","NBA"
"11:49:29 AM","9:44 1st","Q1","6","203.5","1.52","2.45","4","NBA"
"11:49:52 AM","9:44 1st","Q1","6","203.5","1.52","2.45","4","NBA"
"11:50:09 AM","8:40 1st","Q1","6","202.5","1.48","2.55","4","NBA"
"11:50:33 AM","8:24 1st","Q1","6","202.5","1.48","2.55","4","NBA"
"11:50:49 AM","8:24 1st","Q1","6","201.5","1.52","2.45","4","NBA"
"11:51:10 AM","8:24 1st","Q1","6","201.5","1.52","2.45","4","NBA"
"11:51:31 AM","7:57 1st","Q1","6","198.5","1.48","2.55","4","NBA"
"11:51:53 AM","7:47 1st","Q1","6","198.5","1.48","2.55","4","NBA"
"11:52:13 AM","7:31 1st","Q1","8","198.5","1.4","2.85","5","NBA"
