"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:10:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
