"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:11:22 AM","7:11 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:11:57 AM","6:56 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:04 AM","6:33 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:37 AM","5:54 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:12:51 AM","5:38 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:09 AM","5:38 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:31 AM","5:15 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:13:49 AM","5:00 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:08 AM","5:00 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:24 AM","5:00 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:14:41 AM","5:00 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:17:49 AM","4:41 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:01 AM","4:10 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:23 AM","4:10 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:49 AM","3:54 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:18:53 AM","4:20 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:13 AM","3:08 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:23 AM","3:08 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:19:52 AM","3:08 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:04 AM","2:54 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:16 AM","2:50 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:34 AM","2:50 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:20:49 AM","2:50 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:21:06 AM","2:50 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:21:23 AM","2:50 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:21:38 AM","2:50 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:22:00 AM","2:50 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:22:20 AM","2:50 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:22:34 AM","2:50 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:22:53 AM","2:48 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:23:13 AM","2:37 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:23:28 AM","2:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:23:47 AM","2:25 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:19 AM","1:46 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:36 AM","1:46 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:49 AM","1:46 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:25:07 AM","1:21 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:25:27 AM","1:01 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:25:45 AM","1:01 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:26:02 AM",":48.2 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:26:22 AM",":48.2 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:26:40 AM",":48.2 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:06 AM",":48.2 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:19 AM",":48.2 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:41 AM",":48.2 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:56 AM",":48.2 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:28:22 AM",":48.2 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:28:37 AM",":48.2 4th",NA,NA,NA,NA,NA,NA,"NBA"
"10:29:05 AM",":48.2 4th",NA,NA,NA,NA,NA,NA,"NBA"
