"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:05 AM","Pistons",NA,NA,NA,NA,NA,NA,"NBA"
"08:41:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:29 AM","Final",NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:56 AM",NA,NA,NA,"209","1.66","2.15","3","NBA"
"09:16:48 AM","12:00 1st","Q1","2","210.5","1.62","2.25","3","NBA"
"09:17:01 AM","11:23 1st","Q1","2","210.5","1.62","2.25","3","NBA"
"09:17:19 AM",NA,"Q1","4","212.5","1.62","2.25","3","NBA"
"09:17:37 AM","11:23 1st","Q1","4","212.5","1.62","2.25","3","NBA"
"09:18:01 AM","11:23 1st","Q1","8","214.5","1.7","2.1","2","NBA"
"09:18:21 AM","11:23 1st","Q1","8","214.5","1.7","2.1","2","NBA"
"09:18:39 AM","10:51 1st","Q1","11","212.5","1.62","2.25","3","NBA"
"09:19:00 AM",NA,"Q1","12","212.5","1.62","2.25","3","NBA"
"09:19:16 AM","10:23 1st","Q1","12","212.5","1.6","2.25","3","NBA"
"09:19:36 AM","10:03 1st","Q1","12","212.5","1.6","2.25","3","NBA"
"09:19:52 AM","9:50 1st","Q1","14","213.5","1.52","2.45","4","NBA"
"09:20:13 AM","9:50 1st","Q1","14","213.5","1.52","2.45","4","NBA"
"09:20:38 AM","9:55 1st","Q1","14","210.5","1.52","2.45","4","NBA"
"09:20:57 AM","9:30 1st","Q1","14","210.5","1.52","2.45","4","NBA"
"09:21:20 AM","9:19 1st","Q1","16","209.5","1.4","2.85","5","NBA"
"09:21:40 AM","8:57 1st","Q1","18","210.5","1.48","2.55","4","NBA"
"09:21:55 AM","8:25 1st","Q1","16","210.5","1.48","2.55","4","NBA"
"09:22:16 AM","8:25 1st","Q1","22","211.5","1.52","2.45","4","NBA"
"09:22:44 AM","7:32 1st","Q1","22","209.5","1.48","2.55","4","NBA"
"09:22:58 AM","8:04 1st","Q1","22","209.5","1.48","2.55","4","NBA"
"09:23:19 AM","7:54 1st","Q1","24","212.5","1.44","2.7","5","NBA"
