"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"01:01:00 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:01:13 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:01:41 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:01:53 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:02:20 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:02:35 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:02:55 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:03:31 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:03:38 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:03:52 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:04:15 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:04:40 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:04:54 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:05:24 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:05:34 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:05:59 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:06:17 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:06:41 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:06:53 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:07:18 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:07:34 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:07:58 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:08:15 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:08:39 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:08:53 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:09:24 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:09:30 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:09:56 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:10:13 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:10:34 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:10:51 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:11:18 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:11:31 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:11:51 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:12:17 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:12:31 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:12:55 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:13:14 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:13:35 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:13:49 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:14:13 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:14:35 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:14:50 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:15:17 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:15:34 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:15:58 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:16:10 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:16:34 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:16:50 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:17:15 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:17:31 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:17:51 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:18:15 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:18:31 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:18:56 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:19:10 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:19:33 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:19:56 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:20:14 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:20:34 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:20:49 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:21:12 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:21:31 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:21:52 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:22:15 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:22:36 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:22:57 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:23:11 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:23:38 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:24:06 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:24:13 AM","Mar 17-12:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:24:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:24:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:25:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:25:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:25:57 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"01:26:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"01:26:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:26:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:27:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:27:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:27:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:28:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:28:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:28:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:29:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:29:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:29:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:30:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:30:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:32:16 AM","1st 20:00","First Half","0","146.5","1.9","1.83","1","NCAA"
"01:32:41 AM","1st 20:00","First Half","0","146.5","1.9","1.83","1","NCAA"
"01:32:53 AM","1st 20:00","First Half","0","146.5","1.9","1.83","1","NCAA"
"01:33:17 AM","1st 20:00","First Half","0","146.5","1.9","1.83","1","NCAA"
"01:33:39 AM","1st 20:00","First Half","0","145.5","1.94","1.79","0.5","NCAA"
"01:33:52 AM","1st 20:00","First Half","0","145.5","1.94","1.79","0.5","NCAA"
"01:34:18 AM","1st 20:00","First Half","0","146.5","1.97","1.77","1.5","NCAA"
"01:34:33 AM","1st 20:00","First Half","0","146.5","1.97","1.77","1.5","NCAA"
"01:35:03 AM","1st 20:00","First Half","2","143.5","2.15","1.65","2.5","NCAA"
"01:35:15 AM","1st 20:00","First Half","2","143.5","2.15","1.65","2.5","NCAA"
"01:35:37 AM","1st 20:00","First Half","2","146.5","1.92","1.81","2","NCAA"
"01:35:53 AM","1st 20:00","First Half","2","146.5","1.92","1.81","2","NCAA"
"01:36:11 AM","1st 20:00","First Half","6","145.5","1.97","1.77","0.5","NCAA"
"01:36:32 AM","1st 20:00","First Half","6","145.5","1.97","1.77","0.5","NCAA"
"01:36:52 AM","1st 20:00","First Half","6","147.5","1.98","1.76","3","NCAA"
"01:37:17 AM","1st 16:39","First Half","6","147.5","1.98","1.76","3","NCAA"
"01:37:33 AM","1st 16:39","First Half","6","148.5","2.17","1.64","2.5","NCAA"
"01:37:58 AM","1st 16:16","First Half","14","148.5","2.17","1.64","2.5","NCAA"
"01:38:13 AM","1st 16:16","First Half","14","151.5","2.33","1.56","2.5","NCAA"
"01:38:39 AM","1st 16:00","First Half","14","151.5","2.33","1.56","2.5","NCAA"
"01:38:52 AM","1st 16:00","First Half","20","149.5","2.13","1.66","2","NCAA"
"01:39:22 AM","1st 15:26","First Half","20","149.5","2.13","1.66","2","NCAA"
"01:39:39 AM","1st 15:26","First Half","20","149.5","2.13","1.66","2","NCAA"
"01:39:57 AM","1st 15:26","First Half","20","149.5","2.13","1.66","2","NCAA"
"01:40:20 AM","1st 15:26","First Half","20","149.5","2.13","1.66","2","NCAA"
"01:40:39 AM","1st 15:26","First Half","20","149.5","2.13","1.66","2","NCAA"
"01:40:57 AM","1st 15:26","First Half","20","149.5","2.13","1.66","2","NCAA"
"01:41:15 AM","1st 15:26","First Half","20","149.5","2.13","1.66","2","NCAA"
"01:41:41 AM","1st 15:26","First Half","20","149.5","2.13","1.66","2","NCAA"
"01:41:54 AM","1st 15:26","First Half","20","153.5","2.12","1.67","2.5","NCAA"
"01:42:24 AM","1st 15:26","First Half","20","155.5","1.98","1.77","1.5","NCAA"
"01:42:33 AM","1st 15:26","First Half","20","155.5","1.98","1.77","1.5","NCAA"
"01:42:57 AM","1st 15:26","First Half","20","156.5","2.07","1.7","2","NCAA"
"01:43:12 AM","1st 14:55","First Half","27","156.5","2.07","1.7","2","NCAA"
"01:43:37 AM","1st 14:33","First Half","27","156.5","2.21","1.61","3","NCAA"
"01:43:51 AM","1st 14:33","First Half","27","156.5","2.21","1.61","3","NCAA"
"01:44:18 AM","1st 14:33","First Half","27","155.5","2.08","1.69","2","NCAA"
"01:44:30 AM","1st 14:33","First Half","27","155.5","2.08","1.69","2","NCAA"
"01:44:51 AM","1st 14:33","First Half","27","155.5","2.29","1.58","3","NCAA"
"01:45:23 AM","1st 14:08","First Half","27","154.5","2.41","1.52","4","NCAA"
"01:45:37 AM","1st 13:58","First Half","29","154.5","2.41","1.52","4","NCAA"
"01:45:58 AM","1st 13:58","First Half","29","153.5","2.27","1.59","3.5","NCAA"
"01:46:12 AM","1st 13:23","First Half","29","153.5","2.27","1.59","3.5","NCAA"
"01:46:38 AM","1st 13:23","First Half","29","154.5","1.82","1.91","1","NCAA"
"01:46:53 AM","1st 13:11","First Half","29","154.5","1.82","1.91","1","NCAA"
"01:47:21 AM","1st 13:11","First Half","32","155.5","1.9","1.83","0.5","NCAA"
"01:47:33 AM","1st 13:11","First Half","32","155.5","1.9","1.83","0.5","NCAA"
"01:47:56 AM","1st 12:28","First Half","32","157.5","1.89","1.84","0.5","NCAA"
"01:48:22 AM","1st 12:28","First Half","32","157.5","1.89","1.84","0.5","NCAA"
"01:48:32 AM","1st 12:28","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:49:07 AM","1st 11:55","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:49:16 AM","1st 11:32","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:49:47 AM","1st 11:32","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:49:55 AM","1st 11:22","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:50:17 AM","1st 11:22","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:50:34 AM","1st 11:22","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:51:01 AM","1st 11:22","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:51:12 AM","1st 11:22","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:51:39 AM","1st 11:22","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:51:52 AM","1st 11:22","First Half","36","155.5","2.03","1.73","1.5","NCAA"
"01:52:18 AM","1st 11:22","First Half","36","156.5","2.19","1.63","2.5","NCAA"
"01:52:36 AM","1st 11:22","First Half","38","156.5","2.19","1.63","2.5","NCAA"
"01:52:59 AM","1st 11:22","First Half","38","155.5","2.17","1.64","2.5","NCAA"
"01:53:15 AM","1st 11:09","First Half","38","155.5","2.17","1.64","2.5","NCAA"
"01:53:35 AM","1st 11:09","First Half","38","155.5","2.17","1.64","3","NCAA"
"01:54:03 AM","1st 10:52","First Half","38","155.5","2.17","1.64","3","NCAA"
"01:54:17 AM","1st 10:52","First Half","38","153.5","2.39","1.53","3.5","NCAA"
"01:54:38 AM","1st 10:43","First Half","38","153.5","2.39","1.53","3.5","NCAA"
"01:55:00 AM","1st 10:23","First Half","42","154.5","2.16","1.65","2.5","NCAA"
"01:55:16 AM","1st 10:05","First Half","42","154.5","2.16","1.65","2.5","NCAA"
"01:55:35 AM","1st 10:05","First Half","42","149.5","2.13","1.66","2.5","NCAA"
"01:56:00 AM","1st 9:31","First Half","42","149.5","2.13","1.66","2.5","NCAA"
"01:56:12 AM","1st 9:47","First Half","42","151.5","1.89","1.84","0.5","NCAA"
"01:56:38 AM","1st 9:10","First Half","43","151.5","1.89","1.84","0.5","NCAA"
"01:56:51 AM","1st 9:10","First Half","43","154.5","1.92","1.81","0.5","NCAA"
"01:57:18 AM","1st 8:51","First Half","43","154.5","1.92","1.81","0.5","NCAA"
"01:57:32 AM","1st 8:39","First Half","43","155.5","2.29","1.58","3","NCAA"
"01:57:54 AM","1st 8:39","First Half","43","155.5","2.29","1.58","3","NCAA"
"01:58:14 AM","1st 8:39","First Half","46","157.5","2.04","1.72","1.5","NCAA"
"01:58:32 AM","1st 8:39","First Half","46","157.5","2.04","1.72","1.5","NCAA"
"01:58:53 AM","1st 8:19","First Half","46","156.5","2.04","1.72","0.5","NCAA"
"01:59:12 AM","1st 8:19","First Half","48","156.5","2.04","1.72","0.5","NCAA"
"01:59:38 AM","1st 8:09","First Half","48","157.5","1.97","1.77","1.5","NCAA"
"01:59:52 AM","1st 8:09","First Half","48","157.5","1.97","1.77","1.5","NCAA"
"02:00:18 AM","1st 7:42","First Half","48","157.5","1.97","1.77","1.5","NCAA"
"02:00:32 AM","1st 7:42","First Half","48","157.5","1.97","1.77","1.5","NCAA"
"02:00:57 AM","1st 6:40","First Half","52","156.5","1.81","1.92","1","NCAA"
"02:01:11 AM","1st 6:40","First Half","52","156.5","1.81","1.92","1","NCAA"
"02:01:32 AM","1st 6:23","First Half","52","155.5","1.87","1.86","0.5","NCAA"
"02:01:57 AM","1st 6:23","First Half","52","155.5","1.87","1.86","0.5","NCAA"
"02:02:11 AM","1st 6:23","First Half","54","158.5","1.75","2","1.5","NCAA"
"02:02:37 AM","1st 6:23","First Half","54","158.5","1.75","2","1.5","NCAA"
"02:02:52 AM","1st 6:23","First Half","54","158.5","1.75","2","1.5","NCAA"
"02:03:20 AM","1st 6:23","First Half","54","158.5","1.75","2","1.5","NCAA"
"02:03:31 AM","1st 6:23","First Half","54","158.5","1.75","2","1.5","NCAA"
"02:03:59 AM","1st 6:23","First Half","56","158.5","1.75","2","1.5","NCAA"
"02:04:12 AM","1st 6:23","First Half","56","158.5","1.64","2.17","2","NCAA"
"02:04:31 AM","1st 6:23","First Half","56","158.5","1.64","2.17","2","NCAA"
"02:04:53 AM","1st 6:23","First Half","58","158.5","2.23","1.61","2","NCAA"
"02:05:12 AM","1st 5:46","First Half","58","158.5","2.23","1.61","2","NCAA"
"02:05:40 AM","1st 5:46","First Half","58","157.5","2.21","1.62","3.5","NCAA"
"02:05:51 AM","1st 5:46","First Half","58","157.5","2.21","1.62","3.5","NCAA"
"02:06:27 AM","1st 5:12","First Half","61","157.5","2.21","1.62","3.5","NCAA"
"02:06:34 AM","1st 5:12","First Half","61","157.5","2.21","1.62","3.5","NCAA"
"02:06:51 AM","1st 4:59","First Half","61","157.5","2.21","1.62","3.5","NCAA"
"02:07:11 AM","1st 4:59","First Half","61","157.5","2.21","1.62","3.5","NCAA"
"02:07:39 AM","1st 4:59","First Half","61","157.5","2.21","1.62","3.5","NCAA"
"02:07:51 AM","1st 4:59","First Half","61","157.5","2.21","1.62","3.5","NCAA"
"02:08:17 AM","1st 4:59","First Half","61","157.5","2.21","1.62","3.5","NCAA"
"02:08:33 AM","1st 4:59","First Half","61","157.5","2.21","1.62","3.5","NCAA"
"02:08:53 AM","1st 4:59","First Half","61","157.5","2.21","1.62","3.5","NCAA"
"02:09:11 AM","1st 4:59","First Half","61","158.5","2.28","1.58","3","NCAA"
"02:09:30 AM","1st 4:59","First Half","61","158.5","2.28","1.58","3","NCAA"
"02:09:57 AM","1st 4:59","First Half","61","157.5","1.82","1.91","1","NCAA"
"02:10:15 AM","1st 4:59","First Half","64","157.5","1.82","1.91","1","NCAA"
"02:10:37 AM","1st 4:59","First Half","64","157.5","2.07","1.7","1.5","NCAA"
"02:10:51 AM","1st 4:05","First Half","64","157.5","2.07","1.7","1.5","NCAA"
"02:11:17 AM","1st 4:14","First Half","64","156.5","2.27","1.58","2.5","NCAA"
"02:11:31 AM","1st 4:02","First Half","64","156.5","2.27","1.58","2.5","NCAA"
"02:11:56 AM","1st 4:02","First Half","64","156.5","2.27","1.58","2.5","NCAA"
"02:12:12 AM","1st 4:02","First Half","64","156.5","2.27","1.58","2.5","NCAA"
