"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"03:01:02 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:01:25 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:01:46 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:02:13 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:02:29 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:02:57 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:03:15 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:03:39 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:03:57 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:04:17 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:04:35 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:04:53 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:05:20 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:05:37 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:05:58 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:06:19 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:06:34 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:06:51 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:07:09 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:07:36 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:07:51 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:08:14 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:08:39 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:08:58 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:09:17 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:09:44 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:09:53 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:10:23 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:10:37 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:11:03 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:11:14 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:11:44 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:11:57 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:12:19 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:12:37 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:12:51 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:13:09 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:13:36 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:14:13 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:14:13 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:14:34 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:14:53 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:15:25 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:15:40 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:16:06 AM","Mar 4-1:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:16:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:16:45 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:16:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:17:22 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:17:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:17:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:18:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:18:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:18:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:19:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:19:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:19:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:20:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:20:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:20:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:21:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:21:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:21:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:22:23 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:22:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:22:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:23:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:23:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:23:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:24:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:24:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:25:01 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:25:24 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:25:44 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:25:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:26:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:26:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:27:01 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:27:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:27:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:27:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:28:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:28:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:28:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:29:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:29:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:29:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:30:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:30:40 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"03:32:14 AM","1st 20:00",NA,NA,"143","4.2","1.2","8.5","NCAA"
"03:32:39 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:32:55 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:33:20 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:33:32 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:34:02 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:34:24 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:34:35 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:34:57 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:35:19 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:35:40 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:35:58 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:36:21 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:36:33 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:37:00 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:37:14 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:37:36 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:37:52 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:38:19 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:38:45 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:39:02 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:39:27 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:39:38 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:39:53 AM","1st 20:00","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:40:15 AM","1st 19:31","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:40:44 AM","1st 18:31","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:40:58 AM","1st 18:31","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:41:19 AM","1st 18:15","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:41:42 AM","1st 18:15","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:42:05 AM","1st 18:15","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:42:19 AM","1st 18:15","First Half","0","143","4.2","1.2","8.5","NCAA"
"03:42:37 AM","1st 17:42","First Half","0","143.0","4.20","1.20","8.5","NCAA"
