"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:57:12 AM","1st 17:27",NA,NA,NA,NA,NA,NA,"NCAA"
"08:57:32 AM","1st 17:16",NA,NA,NA,NA,NA,NA,"NCAA"
"08:57:51 AM","1st 17:16","First Half","2","141.5","3.04","1.35","5.5","NCAA"
"08:58:16 AM","1st 17:16","First Half","6","141.5","3.04","1.35","5.5","NCAA"
"08:58:32 AM","1st 17:04","First Half","6","139","3.28","1.31","6.5","NCAA"
"08:58:51 AM","1st 17:04","First Half","6","139","3.28","1.31","6.5","NCAA"
"08:59:11 AM","1st 17:04","First Half","6","136.5","3.32","1.3","6.5","NCAA"
"08:59:31 AM","1st 17:04","First Half","8","136.5","3.32","1.3","6.5","NCAA"
"08:59:51 AM","1st 16:36","First Half","8","139.5","2.97","1.36","6.5","NCAA"
"09:00:12 AM","1st 16:18","First Half","8","139.5","2.97","1.36","6.5","NCAA"
"09:00:31 AM","1st 16:18","First Half","10","143","2.76","1.41","5.5","NCAA"
"09:00:51 AM","1st 16:18","First Half","10","143","2.76","1.41","5.5","NCAA"
"09:01:14 AM","1st 15:51","First Half","10","143","2.76","1.41","5.5","NCAA"
"09:01:32 AM","1st 15:51","First Half","10","143","2.76","1.41","5.5","NCAA"
"09:01:52 AM","1st 15:51","First Half","10","143","2.76","1.41","5.5","NCAA"
"09:02:12 AM","1st 15:51","First Half","10","143","2.76","1.41","5.5","NCAA"
"09:02:31 AM","1st 15:51","First Half","10","140.5","2.53","1.48","4.5","NCAA"
"09:02:51 AM","1st 15:51","First Half","10","140.5","2.53","1.48","4.5","NCAA"
"09:03:13 AM","1st 15:51","First Half","10","140.5","2.53","1.48","4.5","NCAA"
"09:03:32 AM","1st 15:51","First Half","10","140.5","2.53","1.48","4.5","NCAA"
"09:03:52 AM","1st 15:51","First Half","10","142","2.47","1.5","3.5","NCAA"
"09:04:11 AM","1st 15:51","First Half","10","142","2.47","1.5","3.5","NCAA"
"09:04:31 AM","1st 15:51","First Half","10","142.5","2.83","1.39","5.5","NCAA"
"09:04:50 AM","1st 15:10","First Half","12","142.5","2.83","1.39","5.5","NCAA"
"09:05:14 AM","1st 15:10","First Half","17","148.5","2.84","1.39","5.5","NCAA"
"09:05:31 AM","1st 14:43","First Half","19","148.5","2.84","1.39","5.5","NCAA"
"09:05:51 AM","1st 14:27","First Half","19","149.5","2.4","1.53","2.5","NCAA"
"09:06:15 AM","1st 14:27","First Half","22","149.5","2.4","1.53","2.5","NCAA"
"09:06:31 AM","1st 13:54","First Half","22","149.5","2.4","1.53","2.5","NCAA"
"09:06:53 AM","1st 13:54","First Half","22","149.5","2.4","1.53","2.5","NCAA"
"09:07:12 AM","1st 13:54","First Half","22","147.5","2.24","1.6","3.5","NCAA"
"09:07:31 AM","1st 13:54","First Half","22","147.5","2.24","1.6","3.5","NCAA"
"09:07:52 AM","1st 13:18","First Half","23","150.5","2.55","1.47","4.5","NCAA"
"09:08:11 AM","1st 13:18","First Half","23","150.5","2.55","1.47","4.5","NCAA"
"09:08:29 AM","1st 13:18","First Half","24","147","2.67","1.44","4.5","NCAA"
"09:08:50 AM","1st 13:18","First Half","24","147","2.67","1.44","4.5","NCAA"
"09:09:14 AM","1st 12:54","First Half","24","150","2.07","1.7","2.5","NCAA"
"09:09:33 AM","1st 12:38","First Half","27","150","2.07","1.7","2.5","NCAA"
"09:09:50 AM","1st 12:38","First Half","27","147","2.31","1.57","2.5","NCAA"
"09:10:13 AM","1st 12:37","First Half","27","147","2.31","1.57","2.5","NCAA"
"09:10:33 AM","1st 12:18","First Half","27","149","2.18","1.63","2.5","NCAA"
"09:10:54 AM","1st 12:18","First Half","28","149","2.18","1.63","2.5","NCAA"
"09:11:16 AM","1st 12:01","First Half","29","148.5","2.39","1.53","2.5","NCAA"
"09:11:35 AM","1st 12:01","First Half","29","148.5","2.39","1.53","2.5","NCAA"
"09:11:53 AM","1st 12:01","First Half","29","151","2.52","1.48","4.5","NCAA"
"09:12:13 AM","1st 11:46","First Half","32","151","2.52","1.48","4.5","NCAA"
"09:12:33 AM","1st 11:11","First Half","32","150","2.94","1.37","4.5","NCAA"
"09:12:54 AM","1st 11:11","First Half","32","150","2.94","1.37","4.5","NCAA"
"09:13:13 AM","1st 11:11","First Half","32","150","2.94","1.37","4.5","NCAA"
"09:13:36 AM","1st 11:11","First Half","32","150","2.94","1.37","4.5","NCAA"
"09:13:55 AM","1st 11:11","First Half","32","150","2.94","1.37","4.5","NCAA"
"09:14:13 AM","1st 11:11","First Half","32","150","2.94","1.37","4.5","NCAA"
"09:14:33 AM","1st 11:11","First Half","32","150","2.84","1.39","4.5","NCAA"
"09:14:52 AM","1st 11:11","First Half","32","150","2.84","1.39","4.5","NCAA"
"09:15:14 AM","1st 11:11","First Half","32","150.5","2.67","1.44","3.5","NCAA"
"09:15:34 AM","1st 11:11","First Half","32","150.5","2.67","1.44","3.5","NCAA"
"09:15:53 AM","1st 11:11","First Half","32","150","3","1.36","5.5","NCAA"
"09:16:12 AM","1st 11:11","First Half","32","150","3","1.36","5.5","NCAA"
"09:16:32 AM","1st 10:51","First Half","35","149.5","3.27","1.31","6.5","NCAA"
"09:16:54 AM","1st 10:36","First Half","35","149.5","3.27","1.31","6.5","NCAA"
"09:17:37 AM","1st 10:15","First Half","35","147.5","3.45","1.28","7.5","NCAA"
"09:17:56 AM","1st 9:56","First Half","35","146.5","3.69","1.25","7.5","NCAA"
"09:18:25 AM","1st 9:30","First Half","35","146.5","3.69","1.25","7.5","NCAA"
"09:18:37 AM","1st 9:16","First Half","35","147","3.32","1.3","6.5","NCAA"
"09:18:53 AM","1st 9:16","First Half","35","147","3.32","1.3","6.5","NCAA"
"09:19:17 AM","1st 9:00","First Half","35","145.5","3.45","1.28","7.5","NCAA"
"09:19:31 AM","1st 8:48","First Half","35","145.5","3.45","1.28","7.5","NCAA"
"09:19:55 AM","1st 8:45","First Half","35","143","3.45","1.28","6.5","NCAA"
"09:20:11 AM",NA,"First Half","35","143","3.45","1.28","6.5","NCAA"
"09:20:32 AM","1st 8:14","First Half","35","140","2.92","1.37","5.5","NCAA"
"09:20:52 AM","1st 8:14","First Half","35","140","2.92","1.37","5.5","NCAA"
"09:21:18 AM","1st 8:14","First Half","35","140.5","3.32","1.3","6.5","NCAA"
"09:21:32 AM","1st 7:43","First Half","35","140.5","3.32","1.3","6.5","NCAA"
"09:21:51 AM","1st 7:43","First Half","35","140.5","3.32","1.3","6.5","NCAA"
"09:22:12 AM","1st 7:43","First Half","35","140.5","3.32","1.3","6.5","NCAA"
"09:22:33 AM","1st 7:43","First Half","35","140.5","3.32","1.3","6.5","NCAA"
"09:22:54 AM","1st 7:43","First Half","35","140.5","3.32","1.3","6.5","NCAA"
"09:23:13 AM","1st 7:43","First Half","35","140.5","3.32","1.3","6.5","NCAA"
"09:23:34 AM","1st 7:43","First Half","35","140.5","3.32","1.3","6.5","NCAA"
"09:23:53 AM","1st 7:43","First Half","37","143.5","3.98","1.22","7.5","NCAA"
"09:24:12 AM","1st 7:43","First Half","37","143.5","3.98","1.22","7.5","NCAA"
"09:24:31 AM","1st 7:43","First Half","37","141","3.69","1.25","7.5","NCAA"
"09:24:53 AM","1st 7:43","First Half","37","141","3.69","1.25","7.5","NCAA"
"09:25:18 AM","1st 7:43","First Half","40","144","3.96","1.22","8.5","NCAA"
"09:25:33 AM","1st 7:43","First Half","40","144","3.96","1.22","8.5","NCAA"
"09:25:56 AM","1st 6:57","First Half","40","141","5.2","1.14","9.5","NCAA"
"09:26:12 AM","1st 6:39","First Half","40","141","5.2","1.14","9.5","NCAA"
"09:26:33 AM",NA,"First Half","41","141.5","5.4","1.13","10.5","NCAA"
"09:26:52 AM","1st 6:20","First Half","41","141.5","5.4","1.13","10.5","NCAA"
"09:27:13 AM","1st 6:20","First Half","42","142.5","4.8","1.16","9.5","NCAA"
"09:27:31 AM","1st 6:08","First Half","43","142.5","4.8","1.16","9.5","NCAA"
"09:27:54 AM","1st 6:08","First Half","43","144.5","5.4","1.13","10.5","NCAA"
"09:28:12 AM","1st 6:08","First Half","46","144.5","5.4","1.13","10.5","NCAA"
"09:28:37 AM","1st 5:41","First Half","46","143","6","1.1","10.5","NCAA"
"09:28:53 AM","1st 6:08","First Half","46","143","6","1.1","10.5","NCAA"
"09:29:13 AM","1st 5:22","First Half","46","142.5","5.4","1.13","10.5","NCAA"
"09:29:31 AM","1st 5:18","First Half","46","142.5","5.4","1.13","10.5","NCAA"
"09:29:55 AM","1st 5:18","First Half","46","143.5","5","1.15","9.5","NCAA"
"09:30:16 AM","1st 5:02","First Half","48","143.5","5","1.15","9.5","NCAA"
"09:30:33 AM","1st 5:02","First Half","48","142.5","4.25","1.2","9.5","NCAA"
"09:30:55 AM","1st 5:02","First Half","48","142.5","4.25","1.2","9.5","NCAA"
"09:31:14 AM","1st 5:02","First Half","48","142.5","4.65","1.17","8.5","NCAA"
"09:31:33 AM","1st 4:24","First Half","48","142.5","4.65","1.17","8.5","NCAA"
"09:31:54 AM","1st 4:24","First Half","48","142.5","4.65","1.17","8.5","NCAA"
"09:32:13 AM","1st 4:15","First Half","48","139","5.2","1.14","9.5","NCAA"
"09:32:35 AM","1st 4:15","First Half","48","139","5.2","1.14","9.5","NCAA"
"09:32:52 AM","1st 4:15","First Half","48","139","5.2","1.14","9.5","NCAA"
"09:33:19 AM","1st 3:48","First Half","48","139","5.2","1.14","9.5","NCAA"
"09:33:34 AM","1st 3:48","First Half","48","139","5.2","1.14","9.5","NCAA"
"09:33:53 AM","1st 3:48","First Half","48","139","5.2","1.14","9.5","NCAA"
"09:34:11 AM","1st 3:48","First Half","48","139","5.2","1.14","9.5","NCAA"
"09:34:31 AM","1st 3:48","First Half","48","139","5.2","1.14","9.5","NCAA"
"09:34:52 AM","1st 3:48","First Half","48","139","5.2","1.14","9.5","NCAA"
"09:35:18 AM","1st 3:48","First Half","48","139","5.2","1.14","9.5","NCAA"
"09:35:32 AM","1st 3:48","First Half","48","139","5.2","1.14","8.5","NCAA"
"09:35:56 AM","1st 3:48","First Half","48","139","5.2","1.14","8.5","NCAA"
"09:36:19 AM","1st 3:48","First Half","48","137.5","4.65","1.17","9.5","NCAA"
"09:36:31 AM","1st 3:48","First Half","48","137.5","4.65","1.17","9.5","NCAA"
"09:36:52 AM","1st 3:33","First Half","48","136.5","5.2","1.14","9.5","NCAA"
"09:37:11 AM","1st 3:33","First Half","48","136.5","5.2","1.14","9.5","NCAA"
"09:37:33 AM","1st 3:23","First Half","48","135","4","1.22","8.5","NCAA"
"09:37:56 AM","1st 2:58","First Half","48","135","4","1.22","8.5","NCAA"
"09:38:12 AM","1st 2:58","First Half","51","137.5","4","1.22","7.5","NCAA"
"09:38:34 AM","1st 2:41","First Half","51","137.5","4","1.22","7.5","NCAA"
"09:38:52 AM","1st 2:29","First Half","51","134.5","3.66","1.25","6.5","NCAA"
"09:39:12 AM","1st 2:20","First Half","51","134.5","3.66","1.25","6.5","NCAA"
"09:39:34 AM","1st 2:20","First Half","51","133","3.45","1.28","6.5","NCAA"
"09:39:51 AM","1st 1:43","First Half","51","133","3.45","1.28","6.5","NCAA"
"09:40:13 AM","1st 1:43","First Half","51","132","3.45","1.28","5.5","NCAA"
"09:40:30 AM","1st 1:43","First Half","51","132","3.45","1.28","5.5","NCAA"
"09:40:50 AM","1st 1:04","First Half","51","132","4.25","1.2","7.5","NCAA"
"09:41:11 AM","1st 1:04","First Half","51","132","4.25","1.2","7.5","NCAA"
"09:41:31 AM","1st 1:04","First Half","51","132","4.25","1.2","7.5","NCAA"
"09:41:53 AM","1st 1:04","First Half","51","132","4.25","1.2","7.5","NCAA"
"09:42:12 AM","1st 1:04","First Half","51","132","3.45","1.28","5.5","NCAA"
"09:42:33 AM","1st 1:04","First Half","51","132","3.45","1.28","5.5","NCAA"
"09:42:50 AM","1st 1:04","First Half","51","132","3.45","1.28","5.5","NCAA"
"09:43:09 AM","1st 1:04","First Half","51","132","3.45","1.28","5.5","NCAA"
"09:43:34 AM","1st 1:04","First Half","51","129.5","4.3","1.2","8.5","NCAA"
"09:43:49 AM","1st 1:04","First Half","51","129.5","4.3","1.2","8.5","NCAA"
"09:44:13 AM","1st 0:46","First Half","52","133","4.6","1.17","8.5","NCAA"
"09:44:29 AM","1st 0:46","First Half","53","133","4.6","1.17","8.5","NCAA"
"09:44:49 AM","1st 0:46","First Half","53","129.5","4.05","1.22","7.5","NCAA"
"09:45:09 AM","1st 0:46","First Half","53","129.5","4.05","1.22","7.5","NCAA"
"09:45:29 AM","1st 0:34","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:45:49 AM","1st 0:34","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:46:09 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:46:30 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:46:51 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:47:15 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:47:31 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:47:50 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:48:14 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:48:34 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:48:51 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:49:14 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:49:32 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:49:50 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:50:14 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:50:32 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:50:53 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:51:11 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:51:31 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:51:51 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:52:12 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:52:35 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:52:53 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:53:13 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:53:32 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:53:51 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:54:15 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:54:32 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:54:51 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:55:12 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:55:31 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:55:51 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:56:20 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:56:31 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:56:50 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:57:12 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:57:33 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:57:51 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:58:11 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:58:31 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:58:50 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:59:10 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:59:30 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"09:59:50 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
"10:00:13 AM","Halftime","First Half","53","128.5","4.65","1.17","8.5","NCAA"
