"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"01:30:50 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:31:11 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:31:40 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:31:53 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:32:13 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:32:38 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:32:52 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:33:17 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:33:32 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:33:54 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:34:15 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:34:31 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:34:53 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:35:17 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:35:37 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:35:57 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:36:22 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:36:35 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:36:56 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:37:13 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:37:37 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:37:53 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:38:15 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:38:32 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:38:51 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:39:15 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:39:36 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:39:55 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:40:22 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:40:35 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:40:55 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:41:16 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:41:33 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:41:57 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:42:13 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:42:34 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:42:53 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:43:16 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:43:32 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:43:52 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:44:17 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:44:33 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:44:55 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:45:16 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:45:33 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:45:55 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:46:14 AM","Mar 16-1:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:46:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:46:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:47:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:47:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:47:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:48:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:48:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:48:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:49:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:49:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:49:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:50:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:50:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:50:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:51:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:51:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:51:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:52:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:52:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:52:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:53:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:53:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:53:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:54:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:54:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:54:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:55:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:55:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:55:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:56:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:56:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:56:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:57:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:57:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:57:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:58:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:58:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:58:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:59:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:59:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:59:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:00:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:00:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"02:02:30 AM","1st 20:00",NA,NA,"156.5","12","1.02","23","NCAA"
"02:02:50 AM","1st 20:00",NA,NA,"156.5","12","1.02","23","NCAA"
"02:03:14 AM","1st 20:00","First Half","0","150.5","34","1.004","22","NCAA"
"02:03:31 AM","1st 19:13","First Half","0","150.5","34","1.004","22","NCAA"
"02:03:53 AM","1st 19:13","First Half","0","151.5","14","1.01","20","NCAA"
"02:04:14 AM","1st 17:53","First Half","0","151.5","14","1.01","20","NCAA"
"02:04:31 AM","1st 17:53","First Half","0","152.5","12","1.02","18","NCAA"
"02:04:52 AM","1st 17:53","First Half","7","152.5","12","1.02","18","NCAA"
"02:05:13 AM","1st 17:53","First Half","7","151.5","10","1.03","17.5","NCAA"
"02:05:30 AM","1st 17:53","First Half","7","151.5","10","1.03","17.5","NCAA"
"02:05:52 AM","1st 16:51","First Half","10","151.5","8.5","1.05","18.5","NCAA"
"02:06:12 AM","1st 16:51","First Half","10","151.5","10","1.03","17.5","NCAA"
"02:06:35 AM","1st 16:51","First Half","10","153.5","13","1.01","18.5","NCAA"
"02:06:50 AM","1st 16:51","First Half","10","153.5","13","1.01","18.5","NCAA"
"02:07:11 AM","1st 16:51","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:07:32 AM","1st 16:28","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:07:54 AM","1st 16:05","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:08:11 AM","1st 16:05","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:08:32 AM","1st 15:33","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:08:54 AM","1st 15:33","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:09:17 AM","1st 15:33","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:09:31 AM","1st 15:33","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:09:56 AM","1st 15:33","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:10:11 AM","1st 15:33","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:10:31 AM","1st 15:33","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:10:54 AM","1st 15:33","First Half","14","153.5","13","1.01","18.5","NCAA"
"02:11:17 AM","1st 15:28","First Half","14","148.5","12","1.02","18.5","NCAA"
"02:11:34 AM","1st 15:28","First Half","14","148.5","12","1.02","18.5","NCAA"
"02:11:56 AM","1st 15:28","First Half","14","149.5","12","1.02","17.5","NCAA"
"02:12:15 AM","1st 14:26","First Half","14","149.5","12","1.02","17.5","NCAA"
"02:12:34 AM","1st 14:26","First Half","14","146.5","12","1.02","15.5","NCAA"
"02:12:50 AM","1st 14:26","First Half","16","146.5","12","1.02","15.5","NCAA"
"02:13:11 AM","1st 14:26","First Half","16","147.5","13","1.01","16.5","NCAA"
"02:13:34 AM","1st 13:42","First Half","16","147.5","13","1.01","16.5","NCAA"
"02:13:50 AM","1st 13:42","First Half","16","151.5","10","1.03","16.5","NCAA"
"02:14:13 AM","1st 13:42","First Half","19","151.5","10","1.03","16.5","NCAA"
"02:14:32 AM","1st 13:25","First Half","19","151.5","13","1.01","18.5","NCAA"
"02:14:51 AM","1st 13:25","First Half","19","151.5","13","1.01","18.5","NCAA"
"02:15:16 AM","1st 12:22","First Half","24","151.5","13","1.01","18.5","NCAA"
"02:15:31 AM","1st 12:22","First Half","24","151.5","13","1.01","18.5","NCAA"
"02:15:53 AM","1st 12:22","First Half","24","146.5","13","1.01","18.5","NCAA"
"02:16:14 AM","1st 11:49","First Half","24","146.5","13","1.01","18.5","NCAA"
"02:16:30 AM","1st 11:49","First Half","24","147.5","13","1.01","18.5","NCAA"
"02:16:51 AM","1st 11:49","First Half","24","147.5","13","1.01","18.5","NCAA"
