"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:31:06 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:53 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:09 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:48 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:33 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:51 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:47 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:36 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:57 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:40 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:39 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:39 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:54 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:35 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:43 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:53 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:16 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:45 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:21 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:39 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:03 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:23 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:59 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:16 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:55 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:21 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:47 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:04 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:19 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:57 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:47 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:03 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:21 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:35 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:19 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:43 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:58 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:46 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:03 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:23 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:19 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:39 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:57 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:54:21 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:54:48 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:03 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:56:19 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:56:50 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:05 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:25 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:53 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:01 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:41 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:24 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:41 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:22 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:49 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:11:45 AM",NA,NA,NA,"127.5","2.33","1.56","3.5","NCAA"
"08:12:08 AM",NA,NA,NA,"127.5","2.33","1.56","3.5","NCAA"
"08:12:34 AM",NA,"First Half","0","127.5","2.67","1.44","5.5","NCAA"
"08:13:11 AM",NA,"First Half","0","130.5","2.34","1.55","3.5","NCAA"
"08:13:35 AM",NA,"First Half","12","130.5","2.34","1.55","3.5","NCAA"
"08:13:50 AM",NA,"First Half","12","146","1.91","1.82","0.5","NCAA"
"08:14:09 AM",NA,"First Half","12","146","1.91","1.82","0.5","NCAA"
"08:14:34 AM",NA,"First Half","12","145","2.37","1.54","2.5","NCAA"
"08:14:55 AM",NA,"First Half","12","145","2.37","1.54","2.5","NCAA"
"08:15:09 AM",NA,"First Half","26","147.5","2.86","1.39","6.5","NCAA"
"08:15:41 AM",NA,"First Half","26","147.5","2.86","1.39","6.5","NCAA"
"08:15:53 AM",NA,"First Half","26","144.5","2.72","1.42","4.5","NCAA"
"08:16:06 AM",NA,"First Half","26","144.5","2.72","1.42","4.5","NCAA"
"08:16:31 AM",NA,"First Half","26","144.5","2.72","1.42","4.5","NCAA"
"08:16:51 AM",NA,"First Half","29","144.5","2.72","1.42","4.5","NCAA"
"08:17:16 AM",NA,"First Half","29","144.5","2.72","1.42","4.5","NCAA"
"08:17:36 AM",NA,"First Half","29","144.5","2.72","1.42","4.5","NCAA"
"08:17:59 AM",NA,"First Half","29","143","2.65","1.44","4.5","NCAA"
"08:18:08 AM",NA,"First Half","29","143","2.65","1.44","4.5","NCAA"
"08:18:33 AM",NA,"First Half","29","146","2.52","1.48","4.5","NCAA"
"08:18:52 AM",NA,"First Half","33","146","2.52","1.48","4.5","NCAA"
"08:19:09 AM",NA,"First Half","33","146","2.65","1.44","5.5","NCAA"
"08:19:34 AM",NA,"First Half","33","146","2.65","1.44","5.5","NCAA"
"08:19:58 AM",NA,"First Half","33","146.5","2.5","1.49","4.5","NCAA"
"08:20:15 AM",NA,"First Half","33","146.5","2.5","1.49","4.5","NCAA"
"08:20:32 AM",NA,"First Half","35","145","2.58","1.46","4.5","NCAA"
"08:20:52 AM",NA,"First Half","35","145","2.58","1.46","4.5","NCAA"
"08:21:09 AM",NA,"First Half","35","145.5","2.23","1.61","2.5","NCAA"
"08:21:35 AM",NA,"First Half","35","145.5","2.23","1.61","2.5","NCAA"
"08:22:01 AM",NA,"First Half","37","145.5","2.06","1.71","2.5","NCAA"
"08:22:16 AM",NA,"First Half","37","145.5","2.06","1.71","2.5","NCAA"
"08:22:36 AM",NA,"First Half","37","148.5","3.03","1.35","5.5","NCAA"
"08:22:51 AM",NA,"First Half","37","148.5","3.03","1.35","5.5","NCAA"
"08:23:15 AM",NA,"First Half","46","149","3.12","1.33","5.5","NCAA"
"08:23:29 AM",NA,"First Half","46","149","3.12","1.33","5.5","NCAA"
"08:23:58 AM",NA,"First Half","46","149","3.12","1.33","5.5","NCAA"
"08:24:15 AM",NA,"First Half","46","149","3.12","1.33","5.5","NCAA"
"08:24:33 AM",NA,"First Half","46","146","3.4","1.28","6.5","NCAA"
"08:24:49 AM",NA,"First Half","43","146","3.4","1.28","6.5","NCAA"
"08:25:11 AM",NA,"First Half","43","146","3.4","1.28","6.5","NCAA"
"08:25:35 AM",NA,"First Half","43","146","3.4","1.28","6.5","NCAA"
"08:25:52 AM",NA,"First Half","43","146","3.4","1.28","6.5","NCAA"
"08:26:12 AM",NA,"First Half","43","146","3.4","1.28","6.5","NCAA"
"08:26:31 AM",NA,"First Half","43","144","4","1.22","7.5","NCAA"
"08:27:05 AM",NA,"First Half","44","146.5","4.65","1.17","9.5","NCAA"
"08:27:17 AM",NA,"First Half","44","146.5","4.65","1.17","9.5","NCAA"
"08:27:35 AM",NA,"First Half","44","147.5","3.7","1.25","7.5","NCAA"
"08:27:59 AM",NA,"First Half","44","147.5","3.7","1.25","7.5","NCAA"
"08:28:10 AM",NA,"First Half","44","147.5","3.7","1.25","7.5","NCAA"
"08:28:31 AM",NA,"First Half","44","147.5","3.7","1.25","7.5","NCAA"
"08:28:50 AM",NA,"First Half","47","146","3.7","1.25","7.5","NCAA"
"08:29:09 AM",NA,"First Half","47","146","3.7","1.25","7.5","NCAA"
"08:29:29 AM",NA,"First Half","47","146","3.69","1.25","8.5","NCAA"
"08:29:57 AM",NA,"First Half","49","146","3.69","1.25","8.5","NCAA"
"08:30:13 AM",NA,"First Half","49","146","4.25","1.2","8.5","NCAA"
"08:30:39 AM",NA,"First Half","49","146","4.25","1.2","8.5","NCAA"
"08:31:01 AM",NA,"First Half","49","147","3.45","1.28","6.5","NCAA"
"08:31:16 AM",NA,"First Half","49","147","3.45","1.28","6.5","NCAA"
"08:31:38 AM",NA,"First Half","52","151","3.96","1.22","7.5","NCAA"
"08:32:06 AM",NA,"First Half","52","151","3.96","1.22","7.5","NCAA"
"08:32:20 AM",NA,"First Half","52","150","3.92","1.23","7.5","NCAA"
"08:32:34 AM",NA,"First Half","57","150","3.92","1.23","7.5","NCAA"
"08:32:55 AM",NA,"First Half","57","149.5","3.7","1.25","7.5","NCAA"
"08:33:09 AM",NA,"First Half","57","149.5","3.7","1.25","7.5","NCAA"
"08:33:26 AM",NA,"First Half","57","149","4","1.22","7.5","NCAA"
"08:33:52 AM",NA,"First Half","57","149","4","1.22","7.5","NCAA"
"08:34:15 AM",NA,"First Half","57","150","4.6","1.17","8.5","NCAA"
"08:34:29 AM",NA,"First Half","57","150","4.6","1.17","8.5","NCAA"
"08:34:50 AM",NA,"First Half","57","150","4.6","1.17","8.5","NCAA"
"08:35:06 AM",NA,"First Half","57","150","4.6","1.17","8.5","NCAA"
"08:35:31 AM",NA,"First Half","60","150","4.6","1.17","8.5","NCAA"
"08:35:58 AM",NA,"First Half","60","150","4.6","1.17","8.5","NCAA"
"08:36:13 AM",NA,"First Half","60","150.5","4.65","1.17","9.5","NCAA"
"08:36:35 AM",NA,"First Half","60","150.5","4.65","1.17","9.5","NCAA"
"08:36:58 AM",NA,"First Half","60","150.5","4.65","1.17","9.5","NCAA"
"08:37:14 AM",NA,"First Half","60","150.5","4.65","1.17","9.5","NCAA"
"08:37:33 AM",NA,"First Half","60","149.5","5.2","1.14","9.5","NCAA"
"08:37:55 AM",NA,"First Half","60","149.5","5.2","1.14","9.5","NCAA"
"08:38:13 AM",NA,"First Half","60","145.5","5.2","1.14","10.5","NCAA"
"08:38:29 AM",NA,"First Half","60","145.5","5.2","1.14","10.5","NCAA"
"08:39:01 AM",NA,"First Half","60","146.5","6","1.1","10.5","NCAA"
"08:39:14 AM",NA,"First Half","62","146.5","6","1.1","10.5","NCAA"
"08:39:40 AM",NA,"First Half","62","146.5","6.5","1.08","11.5","NCAA"
"08:39:53 AM",NA,"First Half","62","146.5","6.5","1.08","11.5","NCAA"
"08:40:20 AM",NA,"First Half","62","150","7.5","1.06","11.5","NCAA"
"08:40:34 AM",NA,"First Half","62","150","7.5","1.06","11.5","NCAA"
"08:40:58 AM",NA,"First Half","69","148.5","8","1.06","12.5","NCAA"
"08:41:40 AM",NA,"First Half","69","147","8.5","1.05","12.5","NCAA"
"08:41:53 AM",NA,"First Half","69","147","8.5","1.05","12.5","NCAA"
"08:42:11 AM",NA,"First Half","69","147.5","9.5","1.04","12.5","NCAA"
"08:42:38 AM",NA,"First Half","69","147.5","9.5","1.04","12.5","NCAA"
"08:42:54 AM",NA,"First Half","69","147.5","9.5","1.04","12.5","NCAA"
"08:43:18 AM",NA,"First Half","69","147.5","9.5","1.04","12.5","NCAA"
"08:43:37 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:43:51 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:44:12 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:44:24 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:44:57 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:45:21 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:45:31 AM",NA,"First Half","71","147","12","1.02","13.5","NCAA"
"08:45:55 AM",NA,"First Half","71","147","12","1.02","13.5","NCAA"
"08:46:08 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:46:35 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:46:51 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:47:06 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:47:26 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:47:53 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:48:16 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:48:25 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:49:01 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:49:14 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:49:33 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:49:56 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:50:14 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:50:28 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:50:55 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:51:19 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:51:40 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:52:06 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:52:21 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:52:41 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:52:58 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:53:12 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:53:30 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:53:49 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:54:14 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:54:34 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:54:49 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:55:17 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:55:32 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:55:59 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:56:23 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:56:38 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:57:00 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:57:14 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:57:36 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:57:53 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:58:16 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:58:29 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:58:49 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:59:16 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:59:25 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"08:59:51 AM",NA,"First Half","71","147.5","10","1.03","13.5","NCAA"
"09:00:07 AM",NA,"First Half","71","147","11","1.02","14.5","NCAA"
"09:00:32 AM",NA,"First Half","71","147","11","1.02","14.5","NCAA"
"09:00:53 AM",NA,"First Half","71","148","12","1.02","14.5","NCAA"
"09:01:23 AM",NA,"Second Half","75","146.5","12","1.02","14.5","NCAA"
"09:01:36 AM",NA,"Second Half","75","146.5","12","1.02","14.5","NCAA"
"09:01:50 AM",NA,"Second Half","75","146.5","12","1.02","14.5","NCAA"
"09:02:11 AM",NA,"Second Half","75","145.5","12","1.02","15.5","NCAA"
"09:02:33 AM",NA,"Second Half","75","145.5","12","1.02","15.5","NCAA"
"09:02:44 AM",NA,"Second Half","77","146.5","34","1.002","17.5","NCAA"
