"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"01:41:55 AM","Mar 9-12:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:42:19 AM","Mar 9-12:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:42:48 AM","Mar 9-12:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:42:54 AM","Mar 9-12:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:43:15 AM","Mar 9-12:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"01:43:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:43:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:44:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:44:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:44:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:45:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:45:46 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:46:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:46:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:46:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:46:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:47:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:47:42 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:47:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:48:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:48:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:48:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:49:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:49:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:49:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:50:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:50:42 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:50:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:51:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:51:44 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"01:51:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:52:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:52:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:52:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"01:53:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
