"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:11 AM","12:00 1st",NA,NA,NA,NA,NA,NA,"NBA"
"09:09:27 AM","11:44 1st",NA,NA,NA,NA,NA,NA,"NBA"
"09:09:49 AM","11:32 1st",NA,NA,"211","1.52","2.45","4","NBA"
"09:10:11 AM","11:32 1st",NA,NA,"212.5","1.44","2.7","5","NBA"
"09:10:31 AM","10:57 1st",NA,NA,"212.5","1.44","2.7","5","NBA"
"09:10:50 AM","10:57 1st",NA,NA,"217.5","1.48","2.55","4","NBA"
"09:11:09 AM","10:20 1st","Q1","8","217.5","1.48","2.55","4","NBA"
"09:11:34 AM","9:43 1st","Q1","8","218.5","1.66","2.15","2","NBA"
"09:11:54 AM","9:43 1st","Q1","8","218.5","1.66","2.15","2","NBA"
"09:12:09 AM","9:38 1st","Q1","8","214.5","1.66","2.15","2","NBA"
"09:12:29 AM","9:38 1st","Q1","8","214.5","1.66","2.15","2","NBA"
"09:12:50 AM","9:38 1st","Q1","12","210.5","1.66","2.15","2","NBA"
