"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:20 AM","11:47 1st",NA,NA,"196.5","1.95","1.8","1","NBA"
"08:42:40 AM","11:47 1st",NA,NA,"196.5","1.95","1.8","1","NBA"
"08:42:59 AM","11:27 1st",NA,NA,"196.5","1.95","1.8","1","NBA"
"08:43:20 AM","11:27 1st",NA,NA,"195.5","1.72","2.05","2","NBA"
"08:43:39 AM","10:55 1st","Q1","4","195.5","1.72","2.05","2","NBA"
"08:43:59 AM","10:55 1st","Q1","4","195.5","1.72","2.05","2","NBA"
"08:44:21 AM","10:55 1st","Q1","4","195.5","1.72","2.05","2","NBA"
"08:44:38 AM","10:55 1st","Q1","4","193.5","1.72","2.05","2","NBA"
"08:45:08 AM","10:55 1st","Q1","9","196.5","1.66","2.15","3","NBA"
"08:45:25 AM","10:14 1st","Q1","9","196.5","1.66","2.15","3","NBA"
"08:45:42 AM","10:14 1st","Q1","12","196.5","1.5","2.5","4","NBA"
"08:46:05 AM","9:57 1st","Q1","15","196.5","1.5","2.5","4","NBA"
"08:46:29 AM","9:11 1st","Q1","15","199.5","1.42","2.75","5","NBA"
"08:46:42 AM","9:11 1st","Q1","15","199.5","1.42","2.75","5","NBA"
"08:47:06 AM","9:11 1st","Q1","15","199.5","1.42","2.75","5","NBA"
"08:47:24 AM","9:11 1st","Q1","15","199.5","1.42","2.75","5","NBA"
"08:47:40 AM","9:11 1st","Q1","15","199.5","1.42","2.75","5","NBA"
"08:48:02 AM","9:11 1st","Q1","15","199.5","1.42","2.75","5","NBA"
"08:48:28 AM","9:11 1st","Q1","15","199.5","1.42","2.75","5","NBA"
"08:48:41 AM","9:11 1st","Q1","15","199.5","1.42","2.75","5","NBA"
"08:49:04 AM","8:56 1st","Q1","15","200.5","1.46","2.6","5","NBA"
"08:49:26 AM","8:56 1st","Q1","15","200.5","1.46","2.6","5","NBA"
"08:49:47 AM","8:16 1st","Q1","17","199.5","1.4","2.85","5","NBA"
"08:50:00 AM","8:16 1st","Q1","23","199.5","1.4","2.85","5","NBA"
"08:50:28 AM","8:16 1st","Q1","23","200.5","1.4","2.85","6","NBA"
"08:50:40 AM","7:45 1st","Q1","23","200.5","1.4","2.85","6","NBA"
"08:51:03 AM","7:45 1st","Q1","23","203.5","1.36","3","6","NBA"
"08:51:23 AM","6:58 1st","Q1","27","203.5","1.36","3","6","NBA"
"08:51:45 AM","6:40 1st","Q1","27","200.5","1.36","3","6","NBA"
"08:52:06 AM","6:38 1st","Q1","27","200.5","1.36","3","6","NBA"
"08:52:25 AM","6:33 1st","Q1","27","197.5","1.36","3","6","NBA"
"08:52:45 AM","6:22 1st","Q1","29","197.5","1.36","3","6","NBA"
"08:53:07 AM","5:49 1st","Q1","29","203.5","1.32","3.25","7","NBA"
"08:53:25 AM","5:49 1st","Q1","33","203.5","1.32","3.25","7","NBA"
"08:53:42 AM","5:33 1st","Q1","35","202.5","1.36","3","6","NBA"
"08:54:01 AM","5:33 1st","Q1","35","202.5","1.36","3","6","NBA"
"08:54:26 AM","5:14 1st","Q1","36","202.5","1.42","2.75","5","NBA"
"08:54:46 AM","5:02 1st","Q1","36","202.5","1.42","2.75","5","NBA"
"08:55:04 AM","5:02 1st","Q1","38","203.5","1.46","2.6","5","NBA"
"08:55:30 AM","4:36 1st","Q1","38","203.5","1.46","2.6","5","NBA"
"08:55:50 AM","4:36 1st","Q1","38","203.5","1.46","2.6","5","NBA"
"08:56:05 AM","4:36 1st","Q1","38","203.5","1.46","2.6","5","NBA"
"08:56:42 AM","4:36 1st","Q1","38","203.5","1.46","2.6","5","NBA"
"08:56:49 AM","4:36 1st","Q1","38","203.5","1.46","2.6","5","NBA"
"08:57:08 AM","4:36 1st","Q1","38","203.5","1.46","2.6","5","NBA"
"08:57:27 AM","4:36 1st","Q1","38","203.5","1.46","2.6","5","NBA"
"08:57:42 AM","4:36 1st","Q1","38","203.5","1.46","2.6","5","NBA"
"08:58:03 AM","4:16 1st","Q1","38","201.5","1.46","2.6","5","NBA"
"08:58:24 AM","4:16 1st","Q1","38","201.5","1.46","2.6","5","NBA"
"08:58:44 AM","4:16 1st","Q1","40","201.5","1.4","2.85","5","NBA"
"08:59:08 AM","4:16 1st","Q1","40","201.5","1.4","2.85","5","NBA"
"08:59:29 AM","3:29 1st","Q1","40","199.5","1.36","3","6","NBA"
"08:59:41 AM","3:13 1st","Q1","40","199.5","1.36","3","6","NBA"
"09:00:07 AM","3:13 1st","Q1","40","197.5","1.36","3","6","NBA"
"09:00:33 AM","2:49 1st","Q1","40","197.5","1.44","2.7","5","NBA"
"09:00:44 AM","2:36 1st","Q1","42","197.5","1.44","2.7","5","NBA"
"09:01:06 AM","2:36 1st","Q1","42","196.5","1.44","2.7","5","NBA"
"09:01:36 AM","2:21 1st","Q1","42","195.5","1.44","2.7","5","NBA"
"09:01:54 AM","2:08 1st","Q1","42","195.5","1.44","2.7","5","NBA"
"09:02:08 AM","2:08 1st","Q1","42","194.5","1.44","2.7","5","NBA"
"09:02:33 AM","1:51 1st","Q1","42","194.5","1.44","2.7","5","NBA"
"09:02:43 AM","1:51 1st","Q1","42","198.5","1.4","2.85","5","NBA"
"09:03:05 AM","1:40 1st","Q1","46","198.5","1.4","2.85","5","NBA"
"09:03:24 AM","1:40 1st","Q1","46","197.5","1.4","2.85","5","NBA"
"09:03:49 AM","1:40 1st","Q1","46","197.5","1.4","2.85","5","NBA"
"09:04:12 AM","1:18 1st","Q1","50","199.5","1.36","3","6","NBA"
"09:04:23 AM","1:18 1st","Q1","50","199.5","1.36","3","6","NBA"
"09:04:47 AM",":28.9 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:05:03 AM",":24.8 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:05:37 AM","End 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:05:43 AM","End 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:06:06 AM","End 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:06:31 AM","End 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:06:49 AM","End 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:07:04 AM","End 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:07:22 AM","End 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:07:42 AM","End 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:08:03 AM","End 1st","Q1","52","199.5","1.44","2.7","5","NBA"
"09:08:30 AM","11:47 2nd","Q2","54","200.5","1.4","2.85","5","NBA"
"09:08:49 AM","11:27 2nd","Q2","54","200.5","1.4","2.85","5","NBA"
"09:09:05 AM","11:27 2nd","Q2","54","199.5","1.4","2.85","5","NBA"
"09:09:29 AM","11:06 2nd","Q2","56","199.5","1.4","2.85","5","NBA"
"09:09:45 AM","11:06 2nd","Q2","56","198.5","1.32","3.25","6","NBA"
"09:10:05 AM","10:41 2nd","Q2","56","198.5","1.32","3.25","6","NBA"
"09:10:30 AM","10:41 2nd","Q2","56","200.5","1.32","3.25","8","NBA"
"09:10:45 AM","10:18 2nd","Q2","56","200.5","1.32","3.25","8","NBA"
"09:11:04 AM","10:18 2nd","Q2","59","200.5","1.2","4.1","8","NBA"
"09:11:22 AM","9:58 2nd","Q2","59","200.5","1.2","4.1","8","NBA"
"09:11:38 AM","9:58 2nd","Q2","59","200.5","1.2","4.1","8","NBA"
"09:12:05 AM","9:58 2nd","Q2","59","200.5","1.2","4.1","8","NBA"
"09:12:20 AM","9:58 2nd","Q2","59","200.5","1.2","4.1","8","NBA"
"09:12:38 AM","9:58 2nd","Q2","59","200.5","1.2","4.1","8","NBA"
"09:13:05 AM","9:58 2nd","Q2","59","199.5","1.22","4","8","NBA"
"09:13:28 AM","9:58 2nd","Q2","59","199.5","1.22","4","8","NBA"
"09:13:46 AM","9:50 2nd","Q2","60","199.5","1.22","4","8","NBA"
"09:14:02 AM","9:50 2nd","Q2","60","199.5","1.22","4","8","NBA"
"09:14:26 AM","9:34 2nd","Q2","64","202.5","1.18","4.5","9","NBA"
"09:14:39 AM","9:34 2nd","Q2","64","202.5","1.18","4.5","9","NBA"
"09:15:05 AM","9:12 2nd","Q2","64","200.5","1.16","4.8","9","NBA"
"09:15:21 AM","9:12 2nd","Q2","64","200.5","1.16","4.8","9","NBA"
"09:15:40 AM","9:12 2nd","Q2","66","199.5","1.19","4.3","8","NBA"
"09:16:04 AM","9:12 2nd","Q2","66","199.5","1.19","4.3","8","NBA"
"09:16:27 AM","5:36 2nd","Q2","66","200.5","1.2","4.2","8","NBA"
"09:16:43 AM","8:23 2nd","Q2","68","200.5","1.2","4.2","8","NBA"
"09:17:00 AM","8:07 2nd","Q2","68","201.5","1.18","4.5","9","NBA"
"09:17:22 AM","8:07 2nd","Q2","68","201.5","1.18","4.5","9","NBA"
