"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:43 AM","8:53 1st",NA,NA,"203","1.95","1.8","1","NBA"
"09:14:57 AM","8:37 1st",NA,NA,"203","1.95","1.8","1","NBA"
"09:15:17 AM","8:37 1st",NA,NA,"203","1.95","1.8","1","NBA"
"09:15:42 AM","7:53 1st",NA,NA,"203","1.95","1.8","1","NBA"
"09:15:57 AM","7:39 1st",NA,NA,"203","1.95","1.8","1","NBA"
"09:16:17 AM","7:39 1st",NA,NA,"202.5","1.95","1.8","1","NBA"
"09:16:37 AM","7:39 1st",NA,NA,"202.5","1.95","1.8","1","NBA"
