"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:33:15","6:47 3rd","Q3","117","196.5","2.15","1.66","2","NBA"
"09:34:37","6:39 3rd","Q3","117","196.5","2.15","1.66","2","NBA"
"09:34:54","6:39 3rd","Q3","117","196.5","2.15","1.66","2","NBA"
"09:35:04","6:39 3rd","Q3","117","196.5","2.15","1.66","2","NBA"
"09:35:24","6:39 3rd","Q3","117","196.5","2.15","1.66","2","NBA"
"09:35:40","6:39 3rd","Q3","121","199.5","2.15","1.66","2","NBA"
"09:35:54","6:39 3rd","Q3","121","199.5","2.15","1.66","2","NBA"
"09:36:04","6:39 3rd","Q3","121","198.5","2.25","1.62","2","NBA"
"09:36:20","6:39 3rd","Q3","121","198.5","2.25","1.62","2","NBA"
"09:36:30","6:39 3rd","Q3","123","198.5","2.25","1.62","2","NBA"
"09:36:47","5:23 3rd","Q3","123","200.5","2.45","1.52","3","NBA"
"09:36:57","5:23 3rd","Q3","124","200.5","2.45","1.52","3","NBA"
"09:37:08","5:02 3rd","Q3","124","200.5","2.45","1.52","3","NBA"
"09:37:21","5:02 3rd","Q3","124","198.5","2.45","1.52","3","NBA"
"09:37:34","5:02 3rd","Q3","124","198.5","2.45","1.52","3","NBA"
"09:37:51","5:02 3rd","Q3","124","198.5","2.45","1.52","3","NBA"
"09:38:10","4:51 3rd","Q3","124","198.5","2.45","1.52","3","NBA"
"09:38:29","4:51 3rd","Q3","124","198.5","2.45","1.52","3","NBA"
"09:38:41","4:40 3rd","Q3","124","196.5","2.45","1.52","3","NBA"
"09:38:57","4:40 3rd","Q3","124","196.5","2.45","1.52","3","NBA"
"09:39:09","4:15 3rd","Q3","124","193.5","2.5","1.5","3","NBA"
"09:39:25","4:15 3rd","Q3","124","193.5","2.5","1.5","3","NBA"
"09:39:37","4:15 3rd","Q3","124","193.5","2.5","1.5","3","NBA"
"09:39:52","4:15 3rd","Q3","127","192.5","2.6","1.48","3","NBA"
"09:40:04","3:57 3rd","Q3","127","192.5","2.6","1.48","3","NBA"
"09:40:17","3:57 3rd","Q3","127","192.5","2.85","1.4","4","NBA"
"09:40:32","3:17 3rd","Q3","127","192.5","2.85","1.4","4","NBA"
"09:40:46","3:17 3rd","Q3","127","192.5","2.85","1.4","4","NBA"
"09:41:04","3:37 3rd","Q3","127","191.5","2.85","1.4","4","NBA"
"09:41:26","3:17 3rd","Q3","127","191.5","2.85","1.4","4","NBA"
"09:41:41","3:07 3rd","Q3","128","193.5","3.6","1.26","6","NBA"
"09:41:58","3:07 3rd","Q3","129","193.5","3.6","1.26","6","NBA"
"09:42:12","3:07 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:42:26","3:07 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:42:42","3:07 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:42:56","3:07 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:43:12","2:45 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:43:28","2:45 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:43:45","2:45 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:43:57","2:45 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:44:16","2:45 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:44:27","2:45 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:44:43","2:45 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:44:55","2:45 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:45:11","2:45 3rd","Q3","129","192.5","3.6","1.26","6","NBA"
"09:45:27","2:45 3rd","Q3","131","193.5","3.25","1.32","5","NBA"
"09:45:43","2:33 3rd","Q3","131","193.5","3.25","1.32","5","NBA"
"09:45:57","2:33 3rd","Q3","131","193.5","3.25","1.32","5","NBA"
"09:46:13","2:09 3rd","Q3","131","191.5","3.3","1.3","5","NBA"
"09:46:27","2:09 3rd","Q3","131","191.5","3.3","1.3","5","NBA"
"09:46:44","1:55 3rd","Q3","131","190.5","3","1.36","4","NBA"
"09:46:59","1:55 3rd","Q3","131","190.5","3","1.36","4","NBA"
"09:47:15","1:39 3rd","Q3","131","189.5","3","1.36","5","NBA"
"09:47:30","1:39 3rd","Q3","131","189.5","3","1.36","5","NBA"
"09:47:49","1:16 3rd","Q3","134","189.5","2.55","1.48","3","NBA"
"09:48:02","1:16 3rd","Q3","134","189.5","2.55","1.48","3","NBA"
"09:48:23","1:00 3rd","Q3","134","189.5","2.85","1.4","4","NBA"
"09:48:38","1:00 3rd","Q3","134","189.5","2.85","1.4","4","NBA"
"09:48:55",":50.9 3rd","Q3","135","190.5","2.35","1.56","3","NBA"
"09:49:09",":50.9 3rd","Q3","137","190.5","2.35","1.56","3","NBA"
"09:49:25",":30.9 3rd","Q3","137","190.5","2.75","1.42","4","NBA"
"09:49:39",":30.9 3rd","Q3","139","190.5","2.75","1.42","4","NBA"
"09:49:58",":20.1 3rd","Q3","139","190.5","2.75","1.42","4.0","NBA"
