"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:50:18 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:31 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:51 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:13 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:34 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:55 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:11 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:32 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:52 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:15 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:31 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:53 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:15 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:32 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:53 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:17 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:33 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:55 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:18 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:33 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:55 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:16 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:34 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:53 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:18 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:36 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:53 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:13 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:36 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:57 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:13 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:34 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:52 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:15 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:33 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:56 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:22 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:33 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:57 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:17 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:34 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:03:53 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:13 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:32 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:04:56 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:15 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:33 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:05:58 AM","Mar 17-6:20 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:06:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:06:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
