"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"12:01:00 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:01:10 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:01:35 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:01:58 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:02:11 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:02:36 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:03:04 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:03:20 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:03:37 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:04:04 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:04:41 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:04:57 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:05:14 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:05:36 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:05:50 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:06:12 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:06:31 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:06:41 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:06:57 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:07:21 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:07:36 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:08:01 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:08:22 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:08:41 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:09:03 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:09:25 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:09:43 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:10:04 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:10:25 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:10:43 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:10:57 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:11:13 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:11:32 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:11:59 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:12:16 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:12:38 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:13:05 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:13:20 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:13:43 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:13:57 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:14:22 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:14:44 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:15:14 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:15:21 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:15:44 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:16:03 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:16:20 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:16:32 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:16:59 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:17:13 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:17:36 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:17:51 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:18:13 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:18:31 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:18:54 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:19:10 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:19:33 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:19:59 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:20:14 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:20:35 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:20:57 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:21:12 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:21:29 PM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"12:21:54 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:22:10 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:22:28 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:22:47 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:23:12 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:23:37 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:23:59 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:24:20 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:24:42 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:24:54 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:25:16 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:25:35 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:25:51 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:26:11 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:26:34 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:26:50 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:27:10 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:27:33 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:27:52 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:28:12 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:28:29 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:28:51 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:29:16 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:29:32 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:29:50 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:30:11 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:30:31 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:30:57 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:31:14 PM","Mar 11-10:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"12:33:20 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:33:42 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:33:59 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:34:20 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:34:43 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:35:01 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:35:21 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:35:33 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:36:07 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:36:15 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:36:41 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:37:07 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:37:21 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:37:42 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:38:09 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:38:21 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:38:33 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:39:03 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:39:26 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:39:38 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:39:56 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:40:16 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:40:32 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
"12:40:56 PM","1st 20:00","First Half","0","126","2.97","1.36","5.5","NCAA"
