"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:20:49 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:21:09 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:21:28 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:21:52 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:22:07 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:22:29 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:22:52 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:23:09 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:23:32 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:23:51 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:24:08 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:24:31 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:24:48 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:25:11 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:25:28 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:25:47 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:26:10 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:26:28 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:26:49 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:27:12 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:27:28 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:27:51 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:28:09 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:28:27 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:28:48 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:29:09 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:29:29 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:29:51 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:30:15 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:30:29 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:30:48 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:08 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:32 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:51 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:10 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:28 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:48 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:10 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:29 AM","Mar 17-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
