"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:57:05 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:09:15 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:09:21 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:09:40 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:21 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:49 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:10:58 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:35 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:54 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:59 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:58 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:14:04 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:14:19 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:14:41 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:15:03 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:15:23 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:15:44 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:16:08 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:16:25 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:16:42 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:17:00 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:17:18 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:17:35 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:17:54 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:18:16 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:18:39 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:18:53 AM",NA,"First Half","0","140.5","1.71","2.05","2","NCAA"
"09:19:11 AM",NA,"First Half","0","140.5","1.83","1.9","1.5","NCAA"
"09:19:30 AM",NA,"First Half","0","140.5","1.83","1.9","1.5","NCAA"
"09:19:49 AM",NA,"First Half","0","141.5","1.8","1.93","3.5","NCAA"
"09:20:11 AM",NA,"First Half","2","141.5","1.8","1.93","3.5","NCAA"
"09:20:37 AM",NA,"First Half","5","141.5","1.61","2.23","3.5","NCAA"
"09:20:56 AM",NA,"First Half","5","141.5","1.61","2.23","3.5","NCAA"
"09:21:16 AM",NA,"First Half","5","143","1.54","2.37","3.5","NCAA"
"09:21:33 AM",NA,"First Half","5","143","1.54","2.37","3.5","NCAA"
"09:21:56 AM",NA,"First Half","5","143","1.54","2.37","3.5","NCAA"
"09:22:11 AM",NA,"First Half","5","143","1.54","2.37","3.5","NCAA"
"09:22:34 AM",NA,"First Half","5","143","1.54","2.37","3.5","NCAA"
"09:23:02 AM",NA,"First Half","5","143","1.54","2.37","3.5","NCAA"
"09:23:22 AM",NA,"First Half","5","141.5","1.51","2.45","3.5","NCAA"
"09:23:42 AM",NA,"First Half","5","141.5","1.51","2.45","3.5","NCAA"
"09:24:12 AM",NA,"First Half","5","142.5","1.41","2.75","5.5","NCAA"
"09:24:29 AM",NA,"First Half","9","142.5","1.41","2.75","5.5","NCAA"
"09:24:37 AM",NA,"First Half","9","142.5","1.41","2.75","5.5","NCAA"
"09:24:54 AM",NA,"First Half","9","143.5","1.36","2.97","5.5","NCAA"
"09:25:21 AM",NA,"First Half","9","143.5","1.36","2.97","5.5","NCAA"
"09:25:35 AM",NA,"First Half","9","142.5","1.53","2.39","4.5","NCAA"
"09:25:55 AM",NA,"First Half","11","142.5","1.53","2.39","4.5","NCAA"
"09:26:19 AM",NA,"First Half","11","140.5","1.58","2.28","3.5","NCAA"
"09:26:33 AM",NA,"First Half","11","140.5","1.58","2.28","3.5","NCAA"
"09:26:50 AM",NA,"First Half","11","138.5","1.63","2.19","3.5","NCAA"
"09:27:10 AM",NA,"First Half","11","138.5","1.63","2.19","3.5","NCAA"
"09:27:31 AM",NA,"First Half","17","144","1.55","2.35","3.5","NCAA"
"09:27:53 AM",NA,"First Half","17","144","1.55","2.35","3.5","NCAA"
"09:28:17 AM",NA,"First Half","19","143","1.46","2.61","4.5","NCAA"
"09:28:35 AM",NA,"First Half","19","143","1.46","2.61","4.5","NCAA"
"09:28:54 AM",NA,"First Half","19","142.5","1.42","2.72","5.5","NCAA"
"09:29:10 AM",NA,"First Half","19","142.5","1.42","2.72","5.5","NCAA"
"09:29:30 AM",NA,"First Half","19","144","1.46","2.59","4.5","NCAA"
"09:29:51 AM",NA,"First Half","19","144","1.46","2.59","4.5","NCAA"
"09:30:15 AM",NA,"First Half","19","144","1.46","2.59","4.5","NCAA"
"09:30:42 AM",NA,"First Half","19","144","1.46","2.59","4.5","NCAA"
"09:31:12 AM",NA,"First Half","19","142.5","1.42","2.72","5.5","NCAA"
"09:31:36 AM",NA,"First Half","19","142.5","1.42","2.72","5.5","NCAA"
"09:31:56 AM",NA,"First Half","19","143.5","1.44","2.67","5.5","NCAA"
"09:32:16 AM",NA,"First Half","19","143.5","1.44","2.67","5.5","NCAA"
"09:32:37 AM",NA,"First Half","20","145","1.59","2.27","3.5","NCAA"
"09:33:00 AM",NA,"First Half","20","145","1.59","2.27","3.5","NCAA"
"09:33:17 AM",NA,"First Half","20","145.5","1.6","2.25","3.5","NCAA"
"09:33:36 AM",NA,"First Half","20","145.5","1.6","2.25","3.5","NCAA"
"09:33:49 AM",NA,"First Half","20","143.5","1.58","2.27","3.5","NCAA"
"09:34:10 AM",NA,"First Half","20","143.5","1.58","2.27","3.5","NCAA"
"09:34:21 AM",NA,"First Half","20","145","1.47","2.55","4.5","NCAA"
"09:34:35 AM",NA,"First Half","20","145","1.47","2.55","4.5","NCAA"
"09:34:54 AM",NA,"First Half","26","146.5","1.6","2.25","3.5","NCAA"
"09:35:27 AM",NA,"First Half","26","144","1.73","2.03","1.5","NCAA"
"09:35:36 AM",NA,"First Half","26","144","1.73","2.03","1.5","NCAA"
"09:36:00 AM",NA,"First Half","29","147","1.8","1.93","1.5","NCAA"
"09:36:12 AM",NA,"First Half","29","147","1.8","1.93","1.5","NCAA"
"09:36:27 AM",NA,"First Half","30","147","1.8","1.93","1.5","NCAA"
"09:36:55 AM",NA,"First Half","31","147.5","1.57","2.3","2.5","NCAA"
"09:37:09 AM",NA,"First Half","31","147.5","1.57","2.3","2.5","NCAA"
"09:37:30 AM",NA,"First Half","31","147","1.64","2.16","2.5","NCAA"
"09:37:46 AM",NA,"First Half","31","147","1.64","2.16","2.5","NCAA"
"09:38:07 AM",NA,"First Half","31","147.5","1.57","2.31","3.5","NCAA"
"09:38:26 AM",NA,"First Half","33","147.5","1.57","2.31","3.5","NCAA"
"09:38:47 AM",NA,"First Half","33","146.5","1.56","2.33","3.5","NCAA"
"09:39:08 AM",NA,"First Half","33","146.5","1.56","2.33","3.5","NCAA"
"09:39:28 AM",NA,"First Half","33","146.5","1.56","2.33","3.5","NCAA"
"09:39:44 AM",NA,"First Half","33","146.5","1.56","2.33","3.5","NCAA"
"09:40:10 AM",NA,"First Half","33","146.5","1.56","2.33","3.5","NCAA"
"09:40:27 AM",NA,"First Half","33","146.5","1.56","2.33","3.5","NCAA"
"09:40:54 AM",NA,"First Half","33","146.5","1.56","2.33","3.5","NCAA"
"09:41:07 AM",NA,"First Half","33","146.5","1.56","2.33","3.5","NCAA"
"09:41:27 AM",NA,"First Half","33","146.5","1.55","2.35","3.5","NCAA"
"09:41:50 AM",NA,"First Half","33","146.5","1.55","2.35","3.5","NCAA"
"09:42:12 AM",NA,"First Half","33","146.5","1.55","2.35","3.5","NCAA"
"09:42:36 AM",NA,"First Half","33","146.5","1.55","2.35","3.5","NCAA"
