"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"02:40:32 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:41:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:41:10 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:41:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:41:52 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:42:19 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:42:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:42:58 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:43:21 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:43:39 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:44:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:44:27 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:44:39 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:44:50 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:45:21 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:45:34 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:45:58 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:46:24 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:46:41 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:46:51 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:47:19 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:47:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:48:10 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:48:25 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:48:34 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:48:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:49:12 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:49:37 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:49:50 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:50:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:50:34 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:51:02 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:51:12 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:51:40 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:51:50 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:52:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:52:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:53:02 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:53:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:53:43 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:54:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:54:12 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:54:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:54:50 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:55:18 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:55:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:55:58 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:56:10 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:56:40 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:56:50 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:57:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:57:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:57:59 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:58:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:58:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:58:48 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:59:16 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:59:32 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"02:59:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:00:12 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:00:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:00:50 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:01:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:01:30 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:01:53 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:02:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:02:32 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:02:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:03:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:03:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:03:51 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:04:16 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:04:31 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:04:59 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:05:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:05:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:05:51 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:06:09 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:06:32 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:06:56 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:07:14 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:07:42 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:07:52 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:08:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:18:10 AM",NA,NA,NA,"140.5","3.18","1.33","6.5","NCAA"
"03:18:37 AM",NA,"First Half","0","140.5","3.18","1.33","6.5","NCAA"
"03:18:52 AM",NA,"First Half","0","140","3.1","1.34","6.5","NCAA"
"03:19:19 AM",NA,"First Half","9","142.5","3.32","1.33","7","NCAA"
"03:19:32 AM",NA,"First Half","9","142.5","3.32","1.33","7","NCAA"
"03:19:57 AM",NA,"First Half","9","146.5","3.8","1.25","8","NCAA"
"03:20:12 AM",NA,"First Half","9","146.5","3.8","1.25","8","NCAA"
"03:20:39 AM",NA,"First Half","9","146","2.94","1.37","8.5","NCAA"
"03:20:51 AM",NA,"First Half","9","146","2.94","1.37","8.5","NCAA"
"03:21:19 AM",NA,"First Half","16","145.5","4.05","1.22","9","NCAA"
"03:21:31 AM",NA,"First Half","16","145.5","4.05","1.22","9","NCAA"
"03:22:00 AM",NA,"First Half","16","144.5","3.7","1.25","8","NCAA"
"03:22:12 AM",NA,"First Half","16","144.5","3.7","1.25","8","NCAA"
"03:22:31 AM",NA,"First Half","16","144","4.3","1.2","8.5","NCAA"
"03:22:50 AM",NA,"First Half","16","144","4.3","1.2","8.5","NCAA"
"03:23:20 AM",NA,"First Half","16","143.5","4","1.22","8.5","NCAA"
"03:23:30 AM",NA,"First Half","16","143.5","4","1.22","8.5","NCAA"
"03:23:58 AM",NA,"First Half","16","144.5","4.25","1.2","8.5","NCAA"
"03:24:12 AM",NA,"First Half","16","144.5","4.25","1.2","8.5","NCAA"
"03:24:39 AM",NA,"First Half","16","144.5","4.25","1.2","8.5","NCAA"
"03:25:16 AM",NA,"First Half","16","144.5","4.25","1.2","8.5","NCAA"
"03:25:20 AM",NA,"First Half","16","144.5","4.25","1.2","8.5","NCAA"
"03:25:31 AM",NA,"First Half","16","144.5","4.25","1.2","8.5","NCAA"
"03:25:51 AM",NA,"First Half","16","144.5","4.25","1.2","8.5","NCAA"
"03:26:11 AM",NA,"First Half","16","144.5","4.25","1.2","8.5","NCAA"
"03:26:37 AM",NA,"First Half","16","146.5","5.2","1.14","9.5","NCAA"
"03:26:53 AM",NA,"First Half","16","146.5","5.2","1.14","9.5","NCAA"
"03:27:21 AM",NA,"First Half","16","147.5","4.25","1.2","9.5","NCAA"
"03:27:34 AM",NA,"First Half","16","147.5","4.25","1.2","9.5","NCAA"
"03:27:57 AM",NA,"First Half","20","148.5","3.45","1.28","7.5","NCAA"
"03:28:12 AM",NA,"First Half","20","148.5","3.45","1.28","7.5","NCAA"
"03:28:43 AM",NA,"First Half","20","146.5","3.45","1.28","7.5","NCAA"
"03:28:53 AM",NA,"First Half","23","146.5","3.45","1.28","7.5","NCAA"
"03:29:26 AM",NA,"First Half","23","145.5","3.45","1.28","7.5","NCAA"
"03:29:32 AM",NA,"First Half","23","145.5","3.45","1.28","7.5","NCAA"
"03:30:10 AM",NA,"First Half","23","144.5","3.7","1.25","7.5","NCAA"
"03:30:15 AM",NA,"First Half","23","144.5","3.7","1.25","7.5","NCAA"
"03:30:31 AM",NA,"First Half","27","144.5","3.7","1.25","7.5","NCAA"
"03:30:52 AM",NA,"First Half","27","147.5","3.7","1.25","7.5","NCAA"
"03:31:11 AM",NA,"First Half","27","147.5","3.7","1.25","7.5","NCAA"
"03:31:32 AM",NA,"First Half","27","148.5","4","1.22","8.5","NCAA"
"03:31:52 AM",NA,"First Half","27","148.5","4","1.22","8.5","NCAA"
"03:32:12 AM",NA,"First Half","34","147.5","4.25","1.2","8.5","NCAA"
"03:32:45 AM",NA,"First Half","34","147.5","4.25","1.2","8.5","NCAA"
"03:32:59 AM",NA,"First Half","34","148.5","4.25","1.2","8.5","NCAA"
"03:33:28 AM",NA,"First Half","34","148.5","4.25","1.2","8.5","NCAA"
"03:33:40 AM",NA,"First Half","34","148.5","4.25","1.2","8.5","NCAA"
"03:33:51 AM",NA,"First Half","34","148.5","4.25","1.2","8.5","NCAA"
"03:34:19 AM",NA,"First Half","34","148.5","4.25","1.2","8.5","NCAA"
"03:34:31 AM",NA,"First Half","34","148.5","4.25","1.2","8.5","NCAA"
"03:34:51 AM",NA,"First Half","34","149.5","4","1.22","8.5","NCAA"
"03:35:15 AM",NA,"First Half","34","149.5","4","1.22","8.5","NCAA"
"03:35:38 AM",NA,"First Half","34","152.5","4.6","1.17","9.5","NCAA"
"03:35:52 AM",NA,"First Half","36","152.5","4.6","1.17","9.5","NCAA"
"03:36:18 AM",NA,"First Half","36","152.5","4.65","1.17","9.5","NCAA"
"03:36:35 AM",NA,"First Half","36","152.5","4.65","1.17","9.5","NCAA"
"03:37:05 AM",NA,"First Half","36","149.5","4.25","1.2","8.5","NCAA"
"03:37:14 AM",NA,"First Half","36","149.5","4.25","1.2","8.5","NCAA"
"03:37:38 AM",NA,"First Half","36","149.5","4.25","1.2","8.5","NCAA"
"03:37:51 AM",NA,"First Half","36","148.5","4.65","1.17","9.5","NCAA"
"03:38:26 AM",NA,"First Half","36","147.5","4.65","1.17","9.5","NCAA"
"03:38:31 AM",NA,"First Half","36","147.5","4.65","1.17","9.5","NCAA"
"03:38:58 AM",NA,"First Half","36","147.5","5.4","1.13","10.5","NCAA"
"03:39:19 AM",NA,"First Half","36","147.5","5.4","1.13","10.5","NCAA"
"03:39:37 AM",NA,"First Half","36","150.5","5.2","1.14","10.5","NCAA"
"03:39:58 AM",NA,"First Half","36","149.5","5.4","1.13","10.5","NCAA"
"03:40:21 AM",NA,"First Half","39","149.5","5.4","1.13","10.5","NCAA"
"03:40:32 AM",NA,"First Half","39","148.5","4.65","1.17","9.5","NCAA"
"03:41:01 AM",NA,"First Half","39","148.5","4.65","1.17","9.5","NCAA"
"03:41:21 AM",NA,"First Half","41","150.5","4.65","1.17","9.5","NCAA"
"03:41:48 AM",NA,"First Half","41","152.5","5.9","1.11","10.5","NCAA"
"03:41:53 AM",NA,"First Half","41","152.5","5.9","1.11","10.5","NCAA"
"03:42:24 AM",NA,"First Half","41","151.5","5.4","1.13","10.5","NCAA"
"03:42:42 AM",NA,"First Half","41","151.5","5.4","1.13","10.5","NCAA"
"03:42:51 AM",NA,"First Half","46","153.5","7","1.07","12.5","NCAA"
"03:43:22 AM",NA,"First Half","46","153.5","8.5","1.05","13.5","NCAA"
"03:43:31 AM",NA,"First Half","46","153.5","8.5","1.05","13.5","NCAA"
"03:43:57 AM",NA,"First Half","48","152.5","7","1.08","12.5","NCAA"
"03:44:10 AM",NA,"First Half","48","152.5","7","1.08","12.5","NCAA"
"03:44:40 AM",NA,"First Half","48","152.5","7","1.08","12.5","NCAA"
"03:44:52 AM",NA,"First Half","48","152.5","7","1.08","12.5","NCAA"
"03:45:18 AM",NA,"First Half","48","152.5","8.5","1.05","13.5","NCAA"
"03:45:32 AM",NA,"First Half","48","152.5","8.5","1.05","13.5","NCAA"
"03:45:52 AM",NA,"First Half","48","151.5","9.5","1.04","14.5","NCAA"
"03:46:11 AM",NA,"First Half","48","151.5","9.5","1.04","14.5","NCAA"
"03:46:35 AM",NA,"First Half","48","154.5","6","1.1","11.5","NCAA"
"03:47:00 AM",NA,"First Half","48","154.5","6","1.1","11.5","NCAA"
"03:47:11 AM",NA,"First Half","51","153.5","4.25","1.2","9.5","NCAA"
"03:47:30 AM",NA,"First Half","51","153.5","4.25","1.2","9.5","NCAA"
"03:47:51 AM",NA,"First Half","51","149.5","4.25","1.2","8.5","NCAA"
"03:48:17 AM",NA,"First Half","51","149.5","4.25","1.2","8.5","NCAA"
"03:48:31 AM",NA,"First Half","54","148.5","4.25","1.2","8.5","NCAA"
"03:48:59 AM",NA,"First Half","54","148.5","4.25","1.2","8.5","NCAA"
"03:49:15 AM",NA,"First Half","54","149.5","4.25","1.2","7.5","NCAA"
"03:49:35 AM",NA,"First Half","54","149.5","4.25","1.2","7.5","NCAA"
"03:49:51 AM",NA,"First Half","54","149.5","4.25","1.2","7.5","NCAA"
"03:50:18 AM",NA,"First Half","54","149.5","4.25","1.2","7.5","NCAA"
"03:50:34 AM",NA,"First Half","54","149.5","4.25","1.2","7.5","NCAA"
"03:50:58 AM",NA,"First Half","54","149.5","4.25","1.2","7.5","NCAA"
"03:51:14 AM",NA,"First Half","54","149.5","4.25","1.2","7.5","NCAA"
"03:51:38 AM",NA,"First Half","54","149.5","4.25","1.2","7.5","NCAA"
"03:51:51 AM",NA,"First Half","54","148.5","4.6","1.17","9.5","NCAA"
"03:52:18 AM",NA,"First Half","54","148.5","4.6","1.17","9.5","NCAA"
"03:52:31 AM",NA,"First Half","55","150.5","4.65","1.17","9.5","NCAA"
"03:52:52 AM",NA,"First Half","55","150.5","4.65","1.17","9.5","NCAA"
"03:53:13 AM",NA,"First Half","55","149.5","4.65","1.17","8.5","NCAA"
"03:53:37 AM",NA,"First Half","58","149.5","4.65","1.17","8.5","NCAA"
"03:53:53 AM",NA,"First Half","58","149.5","5.2","1.14","9.5","NCAA"
"03:54:13 AM",NA,"First Half","58","149.5","5.2","1.14","9.5","NCAA"
"03:54:42 AM",NA,"First Half","58","149.5","5.2","1.14","9.5","NCAA"
"03:54:52 AM",NA,"First Half","58","149.5","5.2","1.14","9.5","NCAA"
"03:55:24 AM",NA,"First Half","58","149.5","5.2","1.14","9.5","NCAA"
"03:55:33 AM",NA,"First Half","58","149.5","5.2","1.14","9.5","NCAA"
"03:55:58 AM",NA,"First Half","58","149.5","5.2","1.14","9.5","NCAA"
"03:56:15 AM",NA,"First Half","58","149.5","5.2","1.14","9.5","NCAA"
"03:56:40 AM",NA,"First Half","58","149.5","5.4","1.13","9.5","NCAA"
"03:56:51 AM",NA,"First Half","58","149.5","5.4","1.13","9.5","NCAA"
"03:57:24 AM",NA,"First Half","58","147.5","4.65","1.17","8.5","NCAA"
"03:57:33 AM",NA,"First Half","58","147.5","4.65","1.17","8.5","NCAA"
"03:58:00 AM",NA,"First Half","60","148.5","4.6","1.17","8.5","NCAA"
"03:58:10 AM",NA,"First Half","60","148.5","4.6","1.17","8.5","NCAA"
"03:58:35 AM",NA,"First Half","60","148.5","5.2","1.14","9.5","NCAA"
"03:58:51 AM",NA,"First Half","63","148.5","5.2","1.14","9.5","NCAA"
