"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:36:51 AM","1st 20:00","First Half","0","132.5","1.13","5.4","11.5","NCAA"
"09:37:12 AM","1st 20:00","First Half","0","132.5","1.13","5.4","11.5","NCAA"
"09:37:26 AM","1st 19:30","First Half","0","130.5","1.11","6","12.5","NCAA"
"09:37:50 AM","1st 19:21","First Half","0","130.5","1.11","6","12.5","NCAA"
"09:38:06 AM","1st 19:10","First Half","2","134.5","1.11","5.9","11.5","NCAA"
"09:38:26 AM","1st 19:10","First Half","4","134.5","1.11","5.9","11.5","NCAA"
"09:38:49 AM","1st 18:40","First Half","4","132.5","1.07","7","12.5","NCAA"
"09:39:15 AM","1st 18:40","First Half","4","132.5","1.07","7","12.5","NCAA"
"09:39:27 AM","1st 17:57","First Half","4","128.5","1.1","6","13.5","NCAA"
"09:39:46 AM","1st 17:57","First Half","4","128.5","1.1","6","13.5","NCAA"
"09:40:07 AM","1st 17:30","First Half","8","133.5","1.13","5.5","11.5","NCAA"
"09:40:28 AM","1st 17:30","First Half","8","133.5","1.13","5.5","11.5","NCAA"
"09:40:49 AM","1st 16:41","First Half","8","133.5","1.13","5.5","11.5","NCAA"
"09:41:07 AM","1st 16:31","First Half","8","133.5","1.13","5.5","11.5","NCAA"
"09:41:27 AM","1st 16:31","First Half","8","133.5","1.13","5.5","11.5","NCAA"
"09:41:48 AM","1st 16:15","First Half","8","133.5","1.13","5.5","11.5","NCAA"
"09:42:09 AM","1st 15:59","First Half","8","125.5","1.14","5.2","10.5","NCAA"
"09:42:32 AM","1st 15:59","First Half","8","125.5","1.14","5.2","10.5","NCAA"
"09:42:48 AM","1st 15:20","First Half","8","125.5","1.14","5.2","10.5","NCAA"
"09:43:07 AM","1st 15:17","First Half","8","125.5","1.14","5.2","10.5","NCAA"
"09:43:26 AM","1st 15:17","First Half","8","125.5","1.14","5.2","10.5","NCAA"
"09:43:47 AM","1st 15:17","First Half","8","125.5","1.14","5.2","10.5","NCAA"
"09:44:10 AM","1st 15:17","First Half","8","125.5","1.14","5.2","10.5","NCAA"
"09:44:27 AM","1st 15:17","First Half","8","126.5","1.13","5.4","11.5","NCAA"
"09:44:49 AM","1st 15:17","First Half","8","126.5","1.13","5.4","11.5","NCAA"
"09:45:09 AM","1st 15:17","First Half","10","126.5","1.13","5.4","10.5","NCAA"
"09:45:29 AM","1st 15:17","First Half","10","126.5","1.13","5.4","10.5","NCAA"
"09:45:47 AM","1st 15:00","First Half","12","126.5","1.14","5.2","10.5","NCAA"
"09:46:09 AM","1st 14:34","First Half","12","126.5","1.14","5.2","10.5","NCAA"
"09:46:28 AM","1st 14:34","First Half","14","125.5","1.16","4.8","10.5","NCAA"
"09:46:47 AM","1st 13:52","First Half","14","125.5","1.16","4.8","10.5","NCAA"
"09:47:08 AM","1st 13:45","First Half","14","126.5","1.17","4.6","9.5","NCAA"
"09:47:29 AM","1st 13:35","First Half","14","126.5","1.17","4.6","9.5","NCAA"
