"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"12:08:59 PM","Timberwolves","First Half","15","156.5","1.46","2.58","4.5","NBA"
"12:09:21 PM","Timberwolves","First Half","15","156.5","1.46","2.58","4.5","NBA"
"12:09:41 PM","Timberwolves","First Half","22","161","1.35","3.01","6.5","NBA"
"12:09:59 PM","Timberwolves","First Half","24","161","1.35","3.01","6.5","NBA"
"12:10:28 PM","Timberwolves","First Half","24","163","1.43","2.68","4.5","NBA"
"12:10:41 PM","Timberwolves","First Half","24","163","1.43","2.68","4.5","NBA"
"12:10:59 PM","Timberwolves","First Half","24","159.5","1.42","2.73","5.5","NBA"
"12:11:24 PM","Timberwolves","First Half","26","159.5","1.42","2.73","5.5","NBA"
"12:11:42 PM","Timberwolves","First Half","26","157","1.45","2.64","4.5","NBA"
"12:12:00 PM","Timberwolves","First Half","26","157","1.45","2.64","4.5","NBA"
"12:12:22 PM","Timberwolves","First Half","26","154.5","1.44","2.67","4.5","NBA"
"12:12:39 PM","Timberwolves","First Half","26","154.5","1.44","2.67","4.5","NBA"
"12:13:01 PM","Timberwolves","First Half","26","153","1.44","2.66","4.5","NBA"
"12:13:21 PM","Timberwolves","First Half","26","153","1.44","2.66","4.5","NBA"
"12:13:40 PM","Timberwolves","First Half","26","149.5","1.52","2.42","4.5","NBA"
"12:13:59 PM","Timberwolves","First Half","26","149.5","1.52","2.42","4.5","NBA"
"12:14:21 PM","Timberwolves","First Half","26","151.5","1.44","2.67","4.5","NBA"
"12:14:41 PM","Timberwolves","First Half","27","151.5","1.44","2.67","4.5","NBA"
"12:15:01 PM","Timberwolves","First Half","27","153.5","1.39","2.83","4.5","NBA"
"12:15:22 PM","Timberwolves","First Half","27","153.5","1.39","2.83","4.5","NBA"
"12:15:41 PM","Timberwolves","First Half","27","153","1.41","2.77","5.5","NBA"
"12:15:59 PM","Timberwolves","First Half","27","153","1.41","2.77","5.5","NBA"
"12:16:47 PM","Timberwolves","First Half","28","153","1.5","2.47","3.5","NBA"
"12:16:50 PM","Timberwolves","First Half","28","153","1.5","2.47","3.5","NBA"
"12:17:02 PM","Timberwolves","First Half","28","153","1.5","2.47","3.5","NBA"
"12:17:23 PM","Timberwolves","First Half","29","153","1.47","2.57","5.5","NBA"
"12:17:41 PM","Timberwolves","First Half","31","153","1.47","2.57","5.5","NBA"
"12:18:00 PM","Timberwolves","First Half","28","154","1.41","2.77","4.5","NBA"
"12:18:18 PM","Timberwolves","First Half","31","154","1.41","2.77","4.5","NBA"
