"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:31:06 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:31 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:53 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:09 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:37 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:48 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:13 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:33 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:51 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:13 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:37 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:47 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:17 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:36 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:57 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:13 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:40 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:00 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:13 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:39 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:56 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:13 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:39 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:54 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:20 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:35 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:00 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:14 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:43 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:53 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:16 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:45 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:00 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:21 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:39 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:56 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:14 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:38 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:03 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:23 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:38 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:59 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:16 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:37 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:55 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:21 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:47 AM","Mar 10-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:04 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:47 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:03 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:43 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:46 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:03 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:23 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:54:22 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:54:48 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:03 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:56:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:56:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:05 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:25 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:01 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:24 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:23 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"08:04:39 AM","1st 20:00","First Half","0","130.5","3.14","1.33","7.5","NCAA"
"08:05:21 AM","1st 19:45","First Half","4","131.5","3.32","1.3","7.5","NCAA"
"08:05:42 AM","1st 18:08","First Half","4","131.5","3.32","1.3","7.5","NCAA"
"08:05:55 AM","1st 18:08","First Half","4","132.5","3.3","1.3","6.5","NCAA"
"08:06:19 AM","1st 18:08","First Half","4","132.5","3.3","1.3","6.5","NCAA"
"08:06:39 AM","1st 18:08","First Half","4","129.5","2.7","1.43","5.5","NCAA"
"08:07:10 AM","1st 18:08","First Half","4","129.5","2.7","1.43","5.5","NCAA"
"08:07:24 AM","1st 18:08","First Half","4","132.5","2.49","1.49","4.5","NCAA"
"08:07:41 AM","1st 18:08","First Half","4","132.5","2.49","1.49","4.5","NCAA"
"08:07:57 AM","1st 17:36","First Half","8","133.5","2.72","1.42","4.5","NCAA"
"08:08:25 AM","1st 17:36","First Half","8","133.5","2.72","1.42","4.5","NCAA"
"08:08:41 AM","1st 17:36","First Half","8","133.5","2.69","1.43","4.5","NCAA"
"08:09:05 AM","1st 17:36","First Half","8","133.5","2.69","1.43","4.5","NCAA"
"08:09:21 AM","1st 16:31","First Half","10","133.5","2.9","1.38","5.5","NCAA"
"08:09:38 AM","1st 16:31","First Half","10","133.5","2.9","1.38","5.5","NCAA"
"08:09:57 AM","1st 16:31","First Half","10","131.5","2.76","1.41","5.5","NCAA"
"08:10:25 AM","1st 16:31","First Half","10","131.5","2.76","1.41","5.5","NCAA"
"08:10:46 AM","1st 16:31","First Half","10","131.5","2.76","1.41","5.5","NCAA"
"08:10:56 AM","1st 16:31","First Half","10","131.5","2.76","1.41","5.5","NCAA"
"08:11:18 AM","1st 16:31","First Half","10","131.5","2.76","1.41","5.5","NCAA"
"08:11:45 AM","1st 16:31","First Half","10","131.5","2.76","1.41","5.5","NCAA"
"08:12:08 AM","1st 16:31","First Half","10","131.5","2.76","1.41","5.5","NCAA"
"08:12:34 AM",NA,"First Half","10","131.5","2.76","1.41","5.5","NCAA"
"08:13:11 AM","1st 15:27","First Half","10","132.5","2.75","1.41","5.5","NCAA"
"08:13:35 AM","1st 15:27","First Half","11","132.5","2.75","1.41","5.5","NCAA"
"08:13:50 AM","1st 15:27","First Half","11","130.5","3.14","1.33","6.5","NCAA"
"08:14:09 AM","1st 15:27","First Half","11","130.5","3.14","1.33","6.5","NCAA"
"08:14:34 AM","1st 15:27","First Half","11","130.5","3.7","1.25","7.5","NCAA"
"08:14:55 AM","1st 14:26","First Half","11","130.5","3.7","1.25","7.5","NCAA"
