"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"04:00:50 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:01:11 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:01:33 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:01:54 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:02:12 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:02:29 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:02:50 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:03:17 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:03:32 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:03:55 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:04:13 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:04:34 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:04:49 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:05:10 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:05:31 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:05:50 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:06:15 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:06:30 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:06:49 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:07:10 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:07:31 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:07:49 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:08:11 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:08:32 AM","Mar 16-3:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
