"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:10:59 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:15 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:36 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:00 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:19 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:36 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:58 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:13:19 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:13:36 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:14:04 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:14:20 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:14:36 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:14:56 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:15:22 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:15:37 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:15:57 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:16:21 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:16:35 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:16:56 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:17:17 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:17:34 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:17:57 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:18:17 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:18:35 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:18:57 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:19:15 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:19:34 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:19:53 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:20:22 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:20:40 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:20:57 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:16 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:35 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:53 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:16 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:34 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:53 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:16 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:32 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:56 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:17 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:33 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:53 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:17 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:33 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:55 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:15 AM","Mar 16-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:22 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:35:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:35:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:35:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:36:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:36:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:36:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:37:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:37:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:37:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
