"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:41:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
