"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:10:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:10:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:11:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:11:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:12:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:14:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:15:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:16:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:17:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:18:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:19:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:20:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:21:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:22:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:23:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:24:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:25:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:26:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:26:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:26:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:27:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:27:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:27:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:28:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:28:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:28:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:29:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:29:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:29:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:30:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:30:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:30:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:31:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:31:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:31:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:32:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:32:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:32:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:33:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:33:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:33:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:34:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:34:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:34:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:35:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:35:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:35:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:36:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:36:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:36:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:37:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:37:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
