"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:42:00 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"09:42:14 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"09:42:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:43 AM","8:00 1st","Q1","39","230.5","1.66","2.15","2","NBA"
"10:55:30 AM","5:50 2nd","Q2","93","225.5","1.15","5","9","NBA"
"10:55:33 AM","5:50 2nd","Q2","93","225.5","1.15","5","9","NBA"
"10:56:42 AM","5:50 2nd","Q2","98","222.5","1.13","5.5","10","NBA"
"10:56:51 AM","5:50 2nd","Q2","98","222.5","1.13","5.5","10","NBA"
"10:57:22 AM","5:04 2nd","Q2","98","222.5","1.13","5.5","10","NBA"
"10:58:20 AM","4:06 2nd","Q2","98","224.5","1.07","7.5","12","NBA"
"11:01:50 AM","3:42 2nd","Q2","109","227.5","1.08","7","11","NBA"
"11:03:05 AM","3:07 2nd","Q2","111","225.5","1.07","7.5","11","NBA"
"11:03:11 AM","2:14 2nd","Q2","111","225.5","1.07","7.5","11","NBA"
"11:03:31 AM","2:14 2nd","Q2","112","224.5","1.05","9","12","NBA"
"11:03:49 AM","2:14 2nd","Q2","112","225.5","1.06","8","12","NBA"
"11:03:53 AM","3:42 2nd","Q2","112","225.5","1.06","8","12","NBA"
"11:04:06 AM","2:14 2nd","Q2","112","226.5","1.07","7.5","11","NBA"
"11:04:12 AM","2:14 2nd","Q2","112","226.5","1.07","7.5","11","NBA"
"11:04:20 AM","2:14 2nd","Q2","112","227.5","1.05","9","12","NBA"
"11:04:28 AM","2:14 2nd","Q2","117","227.5","1.05","9","12","NBA"
"11:04:40 AM","2:14 2nd","Q2","117","227.5","1.05","9","12","NBA"
"11:04:44 AM","2:14 2nd","Q2","117","227.5","1.05","9","12","NBA"
"11:04:46 AM","2:14 2nd","Q2","117","225.5","1.05","9","13","NBA"
"11:04:48 AM","2:14 2nd","Q2","117","225.5","1.05","9","13","NBA"
"11:04:55 AM","2:14 2nd","Q2","117","225.5","1.05","9","13","NBA"
"11:05:04 AM","2:14 2nd","Q2","117","225.5","1.05","9","13","NBA"
"11:05:11 AM","2:14 2nd","Q2","117","225.5","1.05","9","13","NBA"
"11:05:20 AM","2:14 2nd","Q2","117","225.5","1.05","9","13","NBA"
"11:05:36 AM","2:14 2nd","Q2","117","225.5","1.05","9","13","NBA"
